FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;64.0;230;-1.0;Archiv_der_Ausrüstung;1300;Geschosshersteller
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;65.0;230;-1.0;Archiv_der_Ausrüstung;1000;Nicht jeder kann jede Pfeilspitze herstellen. Einige Spitzen erfordern besondere Kenntnisse.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;66.0;230;-1.0;Archiv_der_Ausrüstung;1000;Regel
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;67.0;230;-1.0;Archiv_der_Ausrüstung;1000;Ein Geschosshersteller bekommt im Talent Metallbearbeitung das neue Anwendungsgebiet Spezielle Geschosse herstellen. Er kann nun einige spezielle Spitzen für Pfeile und Bolzen anfertigen. Dazu benutzt er die Regeln für Geschosse herstellen/sammeln aus dem Aventurischen Kompendium Seite 116, muss aber zusätzlich eine Probe auf
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;68.0;230;-1.0;Archiv_der_Ausrüstung;1000;Metallbearbeitung (Spezielle Geschosse herstellen)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;69.0;230;-1.0;Archiv_der_Ausrüstung;1000;ablegen, um gewünschte Spitzen zu produzieren. Pro QS kann er 1 Spitze herstellen. Er benötigt pro Probe 1 Stunde.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;70.0;230;-1.0;Archiv_der_Ausrüstung;1000;Voraussetzungen
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;71.0;230;-1.0;Archiv_der_Ausrüstung;1000;Holzbearbeitung 4, Metallbearbeitung 4
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;72.0;230;-1.0;Archiv_der_Ausrüstung;1000;AP-Wert
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;73.0;230;-1.0;Archiv_der_Ausrüstung;1000;5 Abenteuerpunkte
