FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;25.0;225;-1.0;Archiv_der_Ausrüstung;1000;Knochenrüstung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;26.0;225;-1.0;Archiv_der_Ausrüstung;1000;21–6 Stn80 Sprim
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;27.0;225;-1.0;Archiv_der_Ausrüstung;900;Anmerkung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;28.0;225;-1.0;Archiv_der_Ausrüstung;900;Die Knochenrüstung ist eine Variante der Tuchrüstung.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;29.0;225;-1.0;Archiv_der_Ausrüstung;1000;Rüstungsvorteil
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;30.0;225;-1.0;Archiv_der_Ausrüstung;1000;Die Probe auf
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;31.0;225;-1.0;Archiv_der_Ausrüstung;1000;Einschüchtern (Drohung)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;32.0;225;-1.0;Archiv_der_Ausrüstung;1000;bei der Sonderfertigkeit Drohgebärden (siehe
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;33.0;225;-1.0;Archiv_der_Ausrüstung;1000;Kodex des Schwertes
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;34.0;225;-1.0;Archiv_der_Ausrüstung;1000;Seite
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;35.0;225;-1.0;Archiv_der_Ausrüstung;1000;254
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;36.0;225;-1.0;Archiv_der_Ausrüstung;1000;oder
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;37.0;225;-1.0;Archiv_der_Ausrüstung;1000;Aventurisches Kompendium
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;38.0;225;-1.0;Archiv_der_Ausrüstung;1000;Seite
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;39.0;225;-1.0;Archiv_der_Ausrüstung;1000;105
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;40.0;225;-1.0;Archiv_der_Ausrüstung;1000;) ist um +1 erleichtert.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;41.0;225;-1.0;Archiv_der_Ausrüstung;1000;Rüstungsnachteil
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;42.0;225;-1.0;Archiv_der_Ausrüstung;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;43.0;225;-1.0;Archiv_der_Ausrüstung;1000;Zweihandhiebwaffen
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;44.0;225;-1.0;Archiv_der_Ausrüstung;1000;und
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;45.0;225;-1.0;Archiv_der_Ausrüstung;1000;Zweihandschwerter
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;46.0;225;-1.0;Archiv_der_Ausrüstung;1000;schützt die Rüstung nur mit RS 1.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;47.0;225;-1.0;Archiv_der_Ausrüstung;1000;Pantherrüstung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;48.0;225;-1.0;Archiv_der_Ausrüstung;1000;63–23 Stn800 Skomp (5 AP)
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;49.0;225;-1.0;Archiv_der_Ausrüstung;900;Anmerkung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;50.0;225;-1.0;Archiv_der_Ausrüstung;900;Die Pantherrüstung ist eine Variante der Plattenrüstung. Die KO-Teilprobe bei
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;51.0;225;-1.0;Archiv_der_Ausrüstung;900;Kraftakt
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;52.0;225;-1.0;Archiv_der_Ausrüstung;900;ist beim Tragen einer Pantherrüstung nicht durch BE erschwert. Rüstung ist nur von Korgeweihten erwerbbar.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;53.0;225;-1.0;Archiv_der_Ausrüstung;1000;Waffenvorteil
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;54.0;225;-1.0;Archiv_der_Ausrüstung;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;55.0;225;-1.0;Archiv_der_Ausrüstung;1000;Zweihandhiebwaffen
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;56.0;225;-1.0;Archiv_der_Ausrüstung;1000;schützt die Rüstung nur mit RS 7.
