FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RGNLNF+Andalus;false;false;1.0;194;-1.0;Archiv_der_Ausrüstung;1200;Waffen und Ausrüstungen
PDTrueTypeFont RGNLNF+Andalus;false;false;2.0;194;-1.0;Archiv_der_Ausrüstung;1800;Helme
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;3.0;194;-1.0;Archiv_der_Ausrüstung;1300;Baburiner Hut
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;4.0;194;-1.0;Archiv_der_Ausrüstung;1000;»Schon mein Vater trug einen Baburiner Hut. Er erhielt ihn von seinem Vater und dieser bekam ihn wiederum von seinem Vater. Und bislang brachte dieser Helm jeden seiner Träger wieder wohlbehalten nach Hause. Also, achte gut auf ihn, wenn du losreitest, mein Sohn.«—Amir ibn Albakra, Krieger aus Baburin, 1037 BF
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;5.0;194;-1.0;Archiv_der_Ausrüstung;1000;Der Baburiner Hut zeichnet sich – wie die meisten Rüstungen der Tulamiden – vor allem durch seine ideale Anpassung an die Bedingungen der Wüstenreiche aus. Der mit Metallstücken verstärkte Lederhelm mit seinem langen, kettenbesetzten Nackenschutz bietet seinem Träger nämlich zwei große Vorteile: Durch das Metall werden sowohl Kopf wie auch Halswirbelsäule wirksam geschützt, gegen Nahkampfklingen wie auch gegen Fernkampfgeschosse. Das darunter angebrachte Leder sorgt für eine maximale Isolierung, wodurch die Hitze der Sonne, die sich im Metall normalerweise bündeln würde, optimal vom Träger abgeschirmt wird. Hinzu kommt das metallene Stirnband, welches ebenfalls durch Leder- und durchsichtige Tucheinfassungen ausgekleidet ist und die Augen des Trägers wirksam gegen zu helles
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;6.0;194;-1.0;Archiv_der_Ausrüstung;1000;Licht und umherfliegende Sandkörner zu schützen
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;7.0;194;-1.0;Archiv_der_Ausrüstung;1000;vermag. Dies macht den Baburiner Hut zum idealen Wüstenhelm, weshalb er sich im gesamten tulamidischen Kulturraum großer Beliebtheit erfreut.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;8.0;194;-1.0;Archiv_der_Ausrüstung;1000;Baburiner Hut
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;9.0;194;-1.0;Archiv_der_Ausrüstung;900;Anmerkung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;10.0;194;-1.0;Archiv_der_Ausrüstung;900;Der Baburiner Hut gilt als Plattenrüstung für die Trefferzone Kopf.
