FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RGNLNF+Andalus;false;false;1.0;209;-1.0;Archiv_der_Ausrüstung;1800;Rüstungsteile
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;2.0;209;-1.0;Archiv_der_Ausrüstung;1300;Armschienen, Leder
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;3.0;209;-1.0;Archiv_der_Ausrüstung;1000;»Ohne seine Armschienen sollte kein Kämpfer die Arena betreten. Man darf es seinem Feind ja nicht zu leicht machen!«—Hardas Sohn des Kurolas, Zwergenkrieger, neuzeitlich
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;4.0;209;-1.0;Archiv_der_Ausrüstung;1000;Die festen Lederpolster werden um den Unterarm gelegt und auf der Innenseite über Kreuz geschnürt. Sie haben gleich mehrere Funktionen: Zum einen schützt das harte Leder seinen Träger vor kleineren Klingen und
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;5.0;209;-1.0;Archiv_der_Ausrüstung;1000;Schnitten, was gerade an empfindlichen
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;6.0;209;-1.0;Archiv_der_Ausrüstung;1000;Stellen wie den Pulsadern von unschätzbarem Wert ist. Zum anderen geben sie – je nach Variante – ihren Trägern zugleich Halt, was das sichere Führen schwerer Waffen erleichtert. Hinzu kommt der Wärmeaspekt, den man besonders in kälteren Klimazonen zu schätzen gelernt hat.Lederne Armschienen existieren in meh-
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;7.0;209;-1.0;Archiv_der_Ausrüstung;1000;reren Varianten: Einfache oder „kurze“
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;8.0;209;-1.0;Archiv_der_Ausrüstung;1000;Armschienen bedecken ausschließlich den Unterarm ihrer Träger, was eine größere Beweglichkeit in den Handgelenken ermöglicht. Andere
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;9.0;209;-1.0;Archiv_der_Ausrüstung;1000;sogenannte „mittellange“ Arm
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;10.0;209;-1.0;Archiv_der_Ausrüstung;1000;-schienen reichen bis über das Handgelenk und stützen dadurch die Schwert- oder Schildhand, was Überlastungsverletzungen am Gelenk reduziert. Wieder andere Armschienen gehen vom Unterarm direkt in offene
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;11.0;209;-1.0;Archiv_der_Ausrüstung;1000;Handschuhe über, wodurch sowohl der empfindliche
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;12.0;209;-1.0;Archiv_der_Ausrüstung;1000;Handrücken als auch das Daumengelenk gleich mit ge-
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;13.0;209;-1.0;Archiv_der_Ausrüstung;1000;schützt werden. Diese „langen“ Varianten lassen ihrem
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;14.0;209;-1.0;Archiv_der_Ausrüstung;1000;Träger allerdings kaum noch Bewegungsspielraum im Handgelenk, weshalb die Wahl einer Schiene immer mit
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;15.0;209;-1.0;Archiv_der_Ausrüstung;1000;Blick auf die zu führende Waffe stattfinden sollte.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;16.0;209;-1.0;Archiv_der_Ausrüstung;1000;Armschienen, Leder
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;17.0;209;-1.0;Archiv_der_Ausrüstung;900;Anmerkung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;18.0;209;-1.0;Archiv_der_Ausrüstung;900;Die Armschienen aus Leder gelten als Lederrüstung für die Trefferzone Arme.
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;19.0;209;-1.0;Archiv_der_Ausrüstung;900;Darauf sollte man nie verzichten. Nicht alle Lederrüstungen schützen auch die Unterarme, die meisten sind nur darauf ausgelegt, den Rumpf und vielleicht noch die Oberarme zu schützen. Ich würde auf jeden Fall kein Schlachtfeld ohne Armschienen betreten.«—Geron Waisenmacher, Doppelsöldner»Der große Vorteil gegenüber Armschienen aus Stahl ist das Gewicht. Zwar schützt Metall besser als gehärtetes Leder, aber es ist deutlich schwerer und schränkt dich mehr in deiner Beweglichkeit ein. Darum würde ich, wenn ich eine Rüstung tragen würde, mich ebenfalls für die Ledervariante entscheiden.«—Carolan Calavanti, Vinsalter Streuner»Dennoch muss man ganz klar sagen, dass auf einem echten Schlachtfeld die Devise lauten muss: Je besser du geschützt bist, desto eher überlebst du. Für die Reise ist aber eine Lederrüstung in Kombination mit Armschienen aus Leder in Ordnung. Zumindest für euch Menschen.«—Arbosch Sohn des Angrax, ambosszwergischer Meisterschmied
PDTrueTypeFont RGNLNF+Andalus;false;false;1.0;210;-1.0;Archiv_der_Ausrüstung;1200;Waffen und Ausrüstungen
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;2.0;210;-1.0;Archiv_der_Ausrüstung;1300;Armschienen, Stahl
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;3.0;210;-1.0;Archiv_der_Ausrüstung;1000;»Du nennst dich einen Meisterschmied? Dass ich nicht lache! Sieh, das Metall rutscht mir doch beinahe vom Arm! Nein, nicht an der Schwerthand, da sitzt das Stück ganz annehmbar! Aber hier, an meiner Schildhand, sieh! Dort wird der Stahl mir die Haut wundscheuern! Bessere das nach, Unglücklicher!«
PDType0Font/PDCIDFontType2, PostScript name: HPXACK+GentiumBasic-Italic;false;true;4.0;210;-1.0;Archiv_der_Ausrüstung;1000;—Rashim ben Shafir, novadischer Krieger, neuzeitlich
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;5.0;210;-1.0;Archiv_der_Ausrüstung;1000;Eine stählerne Armschiene besteht aus einer halbrunden Metallplatte, die über Unterarm und Handgelenk gelegt und mit Lederriemen am Arm
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;6.0;210;-1.0;Archiv_der_Ausrüstung;1000;fixiert wird. Im Gegensatz zu Lederschienen, welche flexibel verstellbar sind, müssen stäh
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;7.0;210;-1.0;Archiv_der_Ausrüstung;1000;-lerne Armschienen für ihren Träger passgenau angefertigt werden, weil die Muskulatur des Schwertarms bei den meisten Kämpfern stärker ausgeprägt ist als bei ihrem Schildarm und dies den Arm-
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;8.0;210;-1.0;Archiv_der_Ausrüstung;1000;umfang empfindlich beeinflusst. Daher
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;9.0;210;-1.0;Archiv_der_Ausrüstung;1000;erkennt man unerfahrene Rüstungsschmiede auch daran, dass sie nur am Schwertarm Maß nehmen, weil dies in der Regel dazu führt, dass die Armschiene an der Kampfhand gut sitzt, während die an der Schildhand zuweilen schlackert und rutscht. Viele Ritter, die sich eine passgenaue Anfertigung nicht leisten können, behelfen sich daher oftmals mit einer besonders dicken Schicht Untergewandung, um ein Verrutschen zu verhindern. Dies führt jedoch meistens zu unangenehmen Druckstellen, welche die wattierte Gewandung eigentlich verhindern sollte. Druckstellen am Unterarm der defensiven Hand sind somit ein untrügliches Zeichen für eine unpassende Armschiene, welche dadurch schnell selbst zum Nachteil werden kann.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;10.0;210;-1.0;Archiv_der_Ausrüstung;1000;Armschienen, Stahl
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;11.0;210;-1.0;Archiv_der_Ausrüstung;900;Anmerkung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;12.0;210;-1.0;Archiv_der_Ausrüstung;900;Die Armschienen aus Stahl gelten als Plattenrüstung für die Trefferzone Arme.
