FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RGNLNF+Andalus;false;false;1.0;161;-1.0;Archiv_der_Ausrüstung;1800;Rüstungen
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;2.0;161;-1.0;Archiv_der_Ausrüstung;1300;Amazonenrüstung
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;3.0;161;-1.0;Archiv_der_Ausrüstung;1000;»Im Folgenden entspann sich ein angeregtes Gespräch. Als ich jedoch eine freundliche Bemerkung darüber machte, wie vorteilhaft ihre körperbetonte Rüstung ihre Reize zur Geltung brachte und anmerkte, dass sie darin gewiss auch in der großen Arena in der Perle des Südens eine vorzügliche Figur machen würde, da versetzte die Amazone mir eine schallende Ohrfeige und schritt brüsk davon. Diese Nordländer können einfach nicht mit Komplimenten umgehen.«—Aus den Berichten des diplomatischen Gesandten Decius Paligan an seine Vorgesetzten in Al‘Anfa, 1039 BF
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;4.0;161;-1.0;Archiv_der_Ausrüstung;1000;Zu den Grundüberzeugungen der Amazonen zählt die Ansicht, dass der schöne, gestählte und gerüstete Körper einer Kriegerin eine besonders rondragefällige Erscheinung darstellt. Sie bevorzugen daher eine knappe, die Körperformen betonende Rüstung, wie sie auch die Göttin selbst auf vielen Darstellungen trägt. Diese Rüstung dient nicht allein als Schutz, sie ist zugleich auch traditionelle Uniform und Erkennungszeichen der Ordensmitglieder. Es handelt sich dabei um eine Kombination von Rüstungsteilen, die seit Jahrhunderten in unveränderter Form verwendet wird. Das Kernstück bildet ein schulterfreier Bronzekürass, der den Körperformen der Trägerin nachgearbeitet ist, sodass jede Rüstung ein individuell angefertigtes Einzelstück ist. Ergänzt wird der Kürass durch einen Streifenschurz aus gefärbten, mit Nieten versehenen Lederstreifen. Unterarme und Unterschenkel werden durch Schienen aus verstärktem Leder geschützt. Auf dem Kopf tragen die Amazonen einen offenen, visierlosen Helm, der mit einem Schweif aus Rosshaar geschmückt ist. Die Rüs-
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;5.0;161;-1.0;Archiv_der_Ausrüstung;1000;tungen der Offizierinnen unterscheiden sich gering
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;6.0;161;-1.0;Archiv_der_Ausrüstung;1000;-fügig von den der gewöhnlichen Kriegerinnen. Sie tragen Unterarm- und Beinschienen aus Bronze und einen Helmschmuck aus Straußenfedern.Auch die als Schwarze Amazonen bekannten Mactaleänata verwenden eine ähnliche Rüstungskombination, allerdings erscheint diese wie eine düstere Verzerrung
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;7.0;161;-1.0;Archiv_der_Ausrüstung;1000;der Amazonenrüstung und die Plattenteile sind häufig
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;8.0;161;-1.0;Archiv_der_Ausrüstung;1000;mit Dornen und gebogenen Stacheln versehen.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;9.0;161;-1.0;Archiv_der_Ausrüstung;1000;AmazonenrüstungKomplexität
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;10.0;161;-1.0;Archiv_der_Ausrüstung;1000;komp (2 AP)
