FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RGNLNF+Andalus;false;false;1.0;236;-1.0;Archiv_der_Ausrüstung;1200;Anhang
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;2.0;236;-1.0;Archiv_der_Ausrüstung;1000;NahkampfwaffenWaffeRegionAchazaxt (Rimkur)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;3.0;236;-1.0;Archiv_der_Ausrüstung;1000;Maraskan, Orkland, Tiefer Süden, Tulamidenlande
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;4.0;236;-1.0;Archiv_der_Ausrüstung;1000;Achazdreizack (Achfawar)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;5.0;236;-1.0;Archiv_der_Ausrüstung;1000;Maraskan, Orkland, Tiefer Süden, Tulamidenlande
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;6.0;236;-1.0;Archiv_der_Ausrüstung;1000;Achazreißer (Drash’kor)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;7.0;236;-1.0;Archiv_der_Ausrüstung;1000;Maraskan, Orkland, Tiefer Süden, Tulamidenlande
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;8.0;236;-1.0;Archiv_der_Ausrüstung;1000;Achazschwanzkeule (Raz’Thon)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;9.0;236;-1.0;Archiv_der_Ausrüstung;1000;Maraskan, Orkland, Tiefer Süden, Tulamidenlande
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;10.0;236;-1.0;Archiv_der_Ausrüstung;1000;Amazonensäbel
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;11.0;236;-1.0;Archiv_der_Ausrüstung;1000;Albernia, Almada, Garetien, Kosch, Nordmarken, Rommilyser Mark, Tobrien, Weiden, Windhag, Aranien, Bornland, Horasreich, Kalifat, Maraskan, Schattenlande, Svellttal, Tulamidenlande, Zyklopeninseln
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;12.0;236;-1.0;Archiv_der_Ausrüstung;1000;Amazonenschild
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;13.0;236;-1.0;Archiv_der_Ausrüstung;1000;Amazonen
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;14.0;236;-1.0;Archiv_der_Ausrüstung;1000;Andergaster / Nostrianer
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;15.0;236;-1.0;Archiv_der_Ausrüstung;1000;Albernia, Almada, Garetien, Kosch, Nordmarken, Rommilyser Mark, Tobrien, Weiden,
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;16.0;236;-1.0;Archiv_der_Ausrüstung;1000;
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;17.0;236;-1.0;Archiv_der_Ausrüstung;1000;Windhag, Andergast, Horasreich, Nostria
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;18.0;236;-1.0;Archiv_der_Ausrüstung;1000;Anderthalbhänder
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;19.0;236;-1.0;Archiv_der_Ausrüstung;1000;Albernia, Almada, Garetien, Kosch, Nordmarken, Rommilyser Mark, Tobrien, Weiden, Windhag, Bornland, Horasreich, Schattenlande
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;20.0;236;-1.0;Archiv_der_Ausrüstung;1000;Avesstab
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;21.0;236;-1.0;Archiv_der_Ausrüstung;1000;überall wo Avesgeweihte existieren
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;22.0;236;-1.0;Archiv_der_Ausrüstung;1000;Bannschwert, groß (Zweihänder)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;23.0;236;-1.0;Archiv_der_Ausrüstung;1000;Gildenmagier
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;24.0;236;-1.0;Archiv_der_Ausrüstung;1000;Bannschwert, klein (Dolch)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;25.0;236;-1.0;Archiv_der_Ausrüstung;1000;Gildenmagier
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;26.0;236;-1.0;Archiv_der_Ausrüstung;1000;Bannschwert, mittel (Langschwert)
