FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RGNLNF+Andalus;false;false;1.0;215;-1.0;Archiv_der_Ausrüstung;1800;Weitere Waffen und Rüstungen
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;2.0;215;-1.0;Archiv_der_Ausrüstung;1000;Die nachfolgende Auflistung enthält weitere verbreitete Waffen und Rüstungen, die entweder als improvisierte
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;3.0;215;-1.0;Archiv_der_Ausrüstung;1000;Waffen dienen, oder bei bestimmten Kämpfern weit verbreitet sind.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;4.0;215;-1.0;Archiv_der_Ausrüstung;1000;Weitere Nahkampfwaffen
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;5.0;215;-1.0;Archiv_der_Ausrüstung;900;WaffeKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisKomplexitätAmazonenschildSchilde
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;6.0;215;-1.0;Archiv_der_Ausrüstung;900;1W6KK 16–5/+2kurz3,5 Stn60 HF 85 Seinf
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;7.0;215;-1.0;Archiv_der_Ausrüstung;900;Anmerkung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;8.0;215;-1.0;Archiv_der_Ausrüstung;900;mittlerer Schild, 35 Strukturpunkte
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;9.0;215;-1.0;Archiv_der_Ausrüstung;900;Waffenvorteil
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;10.0;215;-1.0;Archiv_der_Ausrüstung;900;Wird der Amazonenschild zur Verteidigung von Fernkampfangriffen eingesetzt, erhält der Held einen Bonus von +1 auf die Parade.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;11.0;215;-1.0;Archiv_der_Ausrüstung;900;Waffennachteil
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;12.0;215;-1.0;Archiv_der_Ausrüstung;900;Nach einem bestätigten Patzer bei einer Parade erhält der Träger zusätzlich 1 Stufe
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;13.0;215;-1.0;Archiv_der_Ausrüstung;900;Betäubung
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;14.0;215;-1.0;Archiv_der_Ausrüstung;900;.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;15.0;215;-1.0;Archiv_der_Ausrüstung;900;Tiergeistkralle (Odûn-Bakka)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;16.0;215;-1.0;Archiv_der_Ausrüstung;900;Raufen1W6+4GE/KK 140/–1kurz0,75 Stn40 HF50 Sprim
