FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RGNLNF+Andalus;false;false;1.0;82;-1.0;Archiv_der_Ausrüstung;1200;Waffen und Rüstungen
PDTrueTypeFont RGNLNF+Andalus;false;false;2.0;82;-1.0;Archiv_der_Ausrüstung;1800;Nahkampfwaffen
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;3.0;82;-1.0;Archiv_der_Ausrüstung;1300;Achazaxt
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;4.0;82;-1.0;Archiv_der_Ausrüstung;1000;»Um sich die handwerklichen Fähigkeiten der Echsen vor Auge zu führen, muss man nur ihre Äxte ansehen. Lacht nicht, verehrte Anwesende, lacht nicht! Die Echsen schmieden tatsächlich!«—der Echsenforscher und Magier Hilbert von Puspereiken bei einem Vortrag, kurz bevor dieser aufgrund von Tumulten abgebrochen wurde, 1038 BF
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;5.0;82;-1.0;Archiv_der_Ausrüstung;1000;Dass Echsen Äxte nicht nur verwenden, sondern sogar schmieden, überrascht menschliche Gelehrte, Entdecker und Questadoren immer wieder aufs Neue.Die Rimkur hat eine Länge von gut anderthalb Schritt und wird mit beiden Händen geführt. Der Kampfstil, für den sie verwendet wird, widerspricht den Kampfstilen, die man gewöhnlich bei einer Axt erwartet. Die Echsen verwenden sie auch für Hiebe, die schlimme Wunden anrichten können, jedoch benutzen sie sie teilweise eher wie einen Kampfstab zur Parade und stoßen auch mit der Spitze der Axt zu. Dies ist deshalb möglich, weil die Axt am Blatt deutlich leichter und schlanker gearbeitet wurde als viele andere Äxte ihrer Größe. In der Hand eines Menschen ließe sie sich ebenfalls auf diese Weise einsetzen, allerdings wurde noch nie ein Mensch gesehen, der eine solche Waffe abseits von Schaustücken besitzen würde. Im Echsischen steht Rimkur in der Original-
PDType0Font/PDCIDFontType2, PostScript name: FOEYAO+GentiumBasic;false;false;6.0;82;-1.0;Archiv_der_Ausrüstung;1000;bedeutung für „Feind“. Menschen haben den von den
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;7.0;82;-1.0;Archiv_der_Ausrüstung;1000;Achaz oft benutzten Begriff für die Axt übernommen und leicht zusammengezogen.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;8.0;82;-1.0;Archiv_der_Ausrüstung;1300;Achazdreizack
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;9.0;82;-1.0;Archiv_der_Ausrüstung;1000;»Nicht zu unterschätzen, eine gefährliche Waffe. Die Drachendiener bestreichen die Spitzen ihres Dreizacks
PDType0Font/PDCIDFontType2, PostScript name: HPXACK+GentiumBasic-Italic;false;true;10.0;82;-1.0;Archiv_der_Ausrüstung;1000;häufig mit lähmendem Gift. Häufig für die Jagd, aber
PDTrueTypeFont RZXEXF+GentiumBasic-Italic;false;true;11.0;82;-1.0;Archiv_der_Ausrüstung;1000;schon immer für die Jagd nach Tieren? Oder früher für die Jagd nach Sklaven eingesetzt? Menschen.«—Aufzeichnungen des Erzmagus Rakorium Muntagonus, 1000 BF
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;12.0;82;-1.0;Archiv_der_Ausrüstung;1000;Der Achfawar ist eine der bekanntesten Waffen der Echsenmenschen. Der in der Garethi-Übersetzung einfach nur Achazdreizack genannte Achfawar ist eine traditionelle Waffe der Achazjäger undkrieger, die ihn schon seit Jahrtausenden einsetzen. Noch heute wird er genutzt und ist eine effektive Waffe zur Jagd. Das Wissen um diese Waffe verdanken die Gelehrten den Aufzeichnungen des Echsenforschers Rakorium Muntagonus, der in einigen seiner Schriften die Waffe erwähnt und sie genau beschreibt (anders als die meisten anderen Waffen der Achaz). Die Echsenmenschen nutzen gern Gift und reiben die Spitzen des Dreizacks damit ein. Dabei kommt vor allem Morfugift zum Einsatz, aber auch andere Gifte, die in der jeweiligen Region, in der die Krieger und Jäger leben, gewonnen werden können.
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;13.0;82;-1.0;Archiv_der_Ausrüstung;1000;Achazaxt (Rimkur) Komplexität
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;14.0;82;-1.0;Archiv_der_Ausrüstung;1000;komp (1 AP)
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;15.0;82;-1.0;Archiv_der_Ausrüstung;900;NameKampftechnikTPL+S
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;16.0;82;-1.0;Archiv_der_Ausrüstung;800;AT/PA-Mod
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;17.0;82;-1.0;Archiv_der_Ausrüstung;900;RWGewichtLängePreis
PDTrueTypeFont WBMIPV+GentiumBasic-Bold;true;false;18.0;82;-1.0;Archiv_der_Ausrüstung;1000;Achazaxt (Rimkur) (2H)
PDTrueTypeFont IBOCBX+GentiumBasic;false;false;19.0;82;-1.0;Archiv_der_Ausrüstung;1000;Stangenwaffen1W6+5GE/KK 150/–2lang2,25 Stn150 HF250 S
