FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont HQCPYU+Andalus;false;false;1.0;266;-1.0;Archiv_der_Kreaturen;1800;Vorteile
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;2.0;266;-1.0;Archiv_der_Kreaturen;1300;Natürlicher Rüstungsschutz I-II*
PDTrueTypeFont MINOQK+GentiumBasic;false;false;3.0;266;-1.0;Archiv_der_Kreaturen;1000;Einige Wesen haben so zähe Haut oder dichtes Fell, dass dies wie eine natürliche Rüstung wirkt.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;4.0;266;-1.0;Archiv_der_Kreaturen;1000;Regel
PDTrueTypeFont MINOQK+GentiumBasic;false;false;5.0;266;-1.0;Archiv_der_Kreaturen;1000;Das Wesen verfügt pro Stufe des Vorteils über einen natürlichen Rüstungsschutz, der mit anderen Rüstungen kombiniert werden kann.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;6.0;266;-1.0;Archiv_der_Kreaturen;1000;Voraussetzungen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;7.0;266;-1.0;Archiv_der_Kreaturen;1000;Spezies, Kultur oder Profession muss
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;8.0;266;-1.0;Archiv_der_Kreaturen;1000;Natürlicher Rüstungsschutz
PDTrueTypeFont MINOQK+GentiumBasic;false;false;9.0;266;-1.0;Archiv_der_Kreaturen;1000;als automatischen oder empfohlenen Vorteil aufweisen.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;10.0;266;-1.0;Archiv_der_Kreaturen;1000;AP-Wert
PDTrueTypeFont MINOQK+GentiumBasic;false;false;11.0;266;-1.0;Archiv_der_Kreaturen;1000;20 Abenteuerpunkte pro Stufe
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;12.0;266;-1.0;Archiv_der_Kreaturen;1300;Wasserlebewesen*
PDTrueTypeFont MINOQK+GentiumBasic;false;false;13.0;266;-1.0;Archiv_der_Kreaturen;1000;Wesen, deren natürlicher Lebensraum das Wasser ist, haben einen Körper, der an diese Umgebung angepasst ist. Sie können sich besser im Wasser bewegen, als dies Landlebewesen vermögen.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;14.0;266;-1.0;Archiv_der_Kreaturen;1000;Regel
PDTrueTypeFont MINOQK+GentiumBasic;false;false;15.0;266;-1.0;Archiv_der_Kreaturen;1000;Wesen mit diesem Vorteil erhalten automatisch die Sonderfertigkeit Unterwasserkampf (die Kosten der SF sind in diesem Vorteil einberechnet). Wasserlebewesen können unter Wasser atmen. Außerdem können sie sich darin mit Leichtigkeit fortbewegen, da es sich um ihr natürliches Element handelt. Sie müssen keine Proben ablegen, um nicht zu ertrinken.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;16.0;266;-1.0;Archiv_der_Kreaturen;1000;Voraussetzungen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;17.0;266;-1.0;Archiv_der_Kreaturen;1000;Spezies, Kultur oder Profession muss Wasserlebewesen als automatischen oder empfohlenen Vorteil aufweisen.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;18.0;266;-1.0;Archiv_der_Kreaturen;1000;AP-Wert
PDTrueTypeFont MINOQK+GentiumBasic;false;false;19.0;266;-1.0;Archiv_der_Kreaturen;1000;15 Abenteuerpunkte
PDTrueTypeFont HQCPYU+Andalus;false;false;20.0;266;-1.0;Archiv_der_Kreaturen;1800;Kampfsonderfertigkeiten
PDTrueTypeFont MINOQK+GentiumBasic;false;false;21.0;266;-1.0;Archiv_der_Kreaturen;1000;Die meisten der hier vorgestellten Kampfsonderfertigkeiten sind für Tiere und Ungeheuer gedacht. Sie funktionieren zwar im Kampf genauso wie alle Kampfsonderfertigkeiten, aber wenn kein AP-Wert und keine Kampftechnik angegeben sind, bedeutet dies, dass ein Held die Sonderfertigkeit nicht erlernen kann. Sie ist vielmehr auf den Einsatz durch Kreaturen und Tiere
PDType0Font/PDCIDFontType2, PostScript name: MIQAHU+GentiumBasic;false;false;22.0;266;-1.0;Archiv_der_Kreaturen;1000;beschränkt. Die übrigen Sonderfertigkeiten findest du
PDTrueTypeFont MINOQK+GentiumBasic;false;false;23.0;266;-1.0;Archiv_der_Kreaturen;1000;im
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;24.0;266;-1.0;Archiv_der_Kreaturen;1000;Regelwerk
PDTrueTypeFont MINOQK+GentiumBasic;false;false;25.0;266;-1.0;Archiv_der_Kreaturen;1000;ab Seite
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;26.0;266;-1.0;Archiv_der_Kreaturen;1000;246
PDTrueTypeFont MINOQK+GentiumBasic;false;false;27.0;266;-1.0;Archiv_der_Kreaturen;1000;. Sollten Sonderfertigkeiten Spielwerte verändern (z. B.
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;28.0;266;-1.0;Archiv_der_Kreaturen;1000;Verbessertes Ausweichen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;29.0;266;-1.0;Archiv_der_Kreaturen;1000;oder
PDType0Font/PDCIDFontType2, PostScript name: YISPTW+GentiumBasic-Italic;false;true;30.0;266;-1.0;Archiv_der_Kreaturen;1000;Kampfreflexe
PDTrueTypeFont MINOQK+GentiumBasic;false;false;31.0;266;-1.0;Archiv_der_Kreaturen;1000;), so sind die Änderungen bei den Werten der Wesen bereits berücksichtigt.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;32.0;266;-1.0;Archiv_der_Kreaturen;1300;Angriff auf ungeschützte Stellen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;33.0;266;-1.0;Archiv_der_Kreaturen;1100;(Spezialmanöver)
