FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont MINOQK+GentiumBasic;false;false;15.0;294;-1.0;Archiv_der_Kreaturen;1000;. Außerdem werden bei bestimmten Wesen zusätzlich noch Berufsgeheimnisse verlangt. Misslingt diese Probe, wird kein Gift abgegeben oder es wird verschüttet. Bei einem Patzer kann sich der Melkende selbst damit vergiften oder das Gift wird, ohne sein Wissen, gänzlich unbrauchbar. Durch die QS kann die Gewinnung des Giftes beschleunigt werden. Jede QS sorgt dafür, dass sich der Zeitraum um 10 % verkürzt, was besonders bei lebenden Tieren ein echter Vorteil sein kann.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;16.0;294;-1.0;Archiv_der_Kreaturen;1300;Gift melken (Land- und Lufttiere)
PDTrueTypeFont MINOQK+GentiumBasic;false;false;17.0;294;-1.0;Archiv_der_Kreaturen;1000;Nicht jeder Aventurier kennt sich mit der Gewinnung von Skorpion- und Schlangengiften oder gar dem Abzapfen von Mantikorgift aus. Man benötigt die Kenntnis des richtigen Umgangs mit dem Tier und des Melkvorgangs.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;18.0;294;-1.0;Archiv_der_Kreaturen;1000;Regel
PDTrueTypeFont MINOQK+GentiumBasic;false;false;19.0;294;-1.0;Archiv_der_Kreaturen;1000;Durch diese Sonderfertigkeit erlangt der Held die Kenntnisse, um aus giftigen Tieren und Ungeheuern das Gift zu extrahieren. Die Gewinnung einiger Gifte aus bestimmten Wesen ist jedoch ein
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;20.0;294;-1.0;Archiv_der_Kreaturen;1000;komplexer
PDTrueTypeFont MINOQK+GentiumBasic;false;false;21.0;294;-1.0;Archiv_der_Kreaturen;1000;Vorgang,
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;22.0;294;-1.0;Archiv_der_Kreaturen;1000;Der ganze Rest
PDTrueTypeFont MINOQK+GentiumBasic;false;false;23.0;294;-1.0;Archiv_der_Kreaturen;1000;Neben Fleisch und Fell lässt sich natürlich noch eine Vielzahl anderer Materialien aus gejagten Tieren gewinnen. Aus dem Talg und Fett lassen sich einfache Lampen fertigen, das Horn von Rotwild eignet sich für Kämme, Flöten und andere Gerätschaften, Sehnen geben stabile Kordeln ab oder werden zum Bespannen von Bögen genutzt. Die Knochen lassen sich nicht nur ihres leckeren Marks wegen auskochen oder zu Kleber verarbeiten, sondern sind auch Rohmaterial für Nadeln, Pfeilspitzen und andere Gerätschaften. Fast alles an einem Tier ist irgendwie verwertbar, und die meisten Naturvölker haben eine wahre Kunst daraus gemacht, kein Stück von einem erjagten Tier verkommen zu lassen. Ob und wie weit ein erjagtes Tier verwertet werden kann, überlassen wir Meister und Spielern.
PDTrueTypeFont HQCPYU+Andalus;false;false;1.0;295;-1.0;Archiv_der_Kreaturen;1200;Anhang
PDTrueTypeFont MINOQK+GentiumBasic;false;false;2.0;295;-1.0;Archiv_der_Kreaturen;1000;sodass der Held dafür zusätzlich das entsprechende Berufsgeheimnis braucht. Gift melken (Land- und Lufttiere) ist ein Einsatzgebiet des Talents
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;3.0;295;-1.0;Archiv_der_Kreaturen;1000;Tierkunde
PDTrueTypeFont MINOQK+GentiumBasic;false;false;4.0;295;-1.0;Archiv_der_Kreaturen;1000;.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;5.0;295;-1.0;Archiv_der_Kreaturen;1000;Voraussetzungen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;6.0;295;-1.0;Archiv_der_Kreaturen;1000;Tierkunde 8, Heilkunde Gift 4
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;7.0;295;-1.0;Archiv_der_Kreaturen;1000;AP-Wert
