FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont HQCPYU+Andalus;false;false;1.0;279;-1.0;Archiv_der_Kreaturen;1200;Anhang
PDTrueTypeFont MINOQK+GentiumBasic;false;false;2.0;279;-1.0;Archiv_der_Kreaturen;1000;kann weiterhin nur durch Mondlicht oder Silberwaffen endgültig vernichtet werden. Ein Minderer Feylamia kann zwar wieder Sikaryan rauben und
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;3.0;279;-1.0;Archiv_der_Kreaturen;1000;Sikaryan-Verlust
PDTrueTypeFont MINOQK+GentiumBasic;false;false;4.0;279;-1.0;Archiv_der_Kreaturen;1000;abbauen, aber niemals mehr den Status
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;5.0;279;-1.0;Archiv_der_Kreaturen;1000;Feylamia
PDTrueTypeFont MINOQK+GentiumBasic;false;false;6.0;279;-1.0;Archiv_der_Kreaturen;1000;erhalten.
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;7.0;279;-1.0;Archiv_der_Kreaturen;1000;Sikaryan-Verlust
PDTrueTypeFont MINOQK+GentiumBasic;false;false;8.0;279;-1.0;Archiv_der_Kreaturen;1000;Stufe IV hat keine weiteren Auswirkungen auf einen Minderen Feylamia. Ein Minderer Feylamia kann keine Vampirischen Gaben außer der
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;9.0;279;-1.0;Archiv_der_Kreaturen;1000;Hypnose
PDTrueTypeFont MINOQK+GentiumBasic;false;false;10.0;279;-1.0;Archiv_der_Kreaturen;1000;mehr einsetzen.
PDTrueTypeFont HQCPYU+Andalus;false;false;11.0;279;-1.0;Archiv_der_Kreaturen;1800;Sikaryan-Raub-Sonderfertigkeiten
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;12.0;279;-1.0;Archiv_der_Kreaturen;1300;Blick des Nachtmahrs
PDTrueTypeFont MINOQK+GentiumBasic;false;false;13.0;279;-1.0;Archiv_der_Kreaturen;1000;Einige Vampire verfügen über die Fähigkeit, ihren Opfern nur mit einem eindringlichen Blick ihre Lebenskraft zu rauben.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;14.0;279;-1.0;Archiv_der_Kreaturen;1000;Regel
PDTrueTypeFont MINOQK+GentiumBasic;false;false;15.0;279;-1.0;Archiv_der_Kreaturen;1000;Konzentriert sich ein Vampir auf ein Opfer in maximal 12 (Kinder der Nacht) bzw. 13 Schritt Entfernung, kann es bei ihm einen Sikaryan-Raub durchführen.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;16.0;279;-1.0;Archiv_der_Kreaturen;1000;Voraussetzungen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;17.0;279;-1.0;Archiv_der_Kreaturen;1000;Status
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;18.0;279;-1.0;Archiv_der_Kreaturen;1000;Kind der Finsternis
PDTrueTypeFont MINOQK+GentiumBasic;false;false;19.0;279;-1.0;Archiv_der_Kreaturen;1000;oder
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;20.0;279;-1.0;Archiv_der_Kreaturen;1000;Kind der Nacht
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;21.0;279;-1.0;Archiv_der_Kreaturen;1000;AP-Wert
PDTrueTypeFont MINOQK+GentiumBasic;false;false;22.0;279;-1.0;Archiv_der_Kreaturen;1000;10 Abenteuerpunkte
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;23.0;279;-1.0;Archiv_der_Kreaturen;1300;Blutdurst der Fledermaus
PDTrueTypeFont MINOQK+GentiumBasic;false;false;24.0;279;-1.0;Archiv_der_Kreaturen;1000;Vampire sind Blutsauger und sie verfügen fast alle über die Fähigkeit, Fangzähne auszubilden und sich so am Blut ihres Opfers zu laben.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;25.0;279;-1.0;Archiv_der_Kreaturen;1000;Regel
PDTrueTypeFont MINOQK+GentiumBasic;false;false;26.0;279;-1.0;Archiv_der_Kreaturen;1000;Der Vampir besitzt einziehbare Fangzähne, mit denen er sein Opfer beißen kann, um einen Sikaryan-Raub durchzuführen.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;27.0;279;-1.0;Archiv_der_Kreaturen;1000;Voraussetzungen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;28.0;279;-1.0;Archiv_der_Kreaturen;1000;Status
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;29.0;279;-1.0;Archiv_der_Kreaturen;1000;Feylamia
PDTrueTypeFont MINOQK+GentiumBasic;false;false;30.0;279;-1.0;Archiv_der_Kreaturen;1000;,
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;31.0;279;-1.0;Archiv_der_Kreaturen;1000;Kind der Finsternis
PDTrueTypeFont MINOQK+GentiumBasic;false;false;32.0;279;-1.0;Archiv_der_Kreaturen;1000;oder
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;33.0;279;-1.0;Archiv_der_Kreaturen;1000;Kind der Nacht
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;34.0;279;-1.0;Archiv_der_Kreaturen;1000;AP-Wert
PDTrueTypeFont MINOQK+GentiumBasic;false;false;35.0;279;-1.0;Archiv_der_Kreaturen;1000;beherrschen viele Sikaryan-Räuber von Anfang an
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;36.0;279;-1.0;Archiv_der_Kreaturen;1300;Kuss der Todesfee
PDTrueTypeFont MINOQK+GentiumBasic;false;false;37.0;279;-1.0;Archiv_der_Kreaturen;1000;Manchmal reicht nur der Kuss eines Vampirs aus, um sich der Lebenskraft seines Opfers zu bemächtigen.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;38.0;279;-1.0;Archiv_der_Kreaturen;1000;Regel
PDTrueTypeFont MINOQK+GentiumBasic;false;false;39.0;279;-1.0;Archiv_der_Kreaturen;1000;Für den Sikaryan-Raub reicht ein inniger Kuss des Vampirs aus.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;40.0;279;-1.0;Archiv_der_Kreaturen;1000;Voraussetzungen
PDTrueTypeFont MINOQK+GentiumBasic;false;false;41.0;279;-1.0;Archiv_der_Kreaturen;1000;Status
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;42.0;279;-1.0;Archiv_der_Kreaturen;1000;Kind der Finsternis
PDTrueTypeFont MINOQK+GentiumBasic;false;false;43.0;279;-1.0;Archiv_der_Kreaturen;1000;,
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;44.0;279;-1.0;Archiv_der_Kreaturen;1000;Kind der Nacht
PDTrueTypeFont MINOQK+GentiumBasic;false;false;45.0;279;-1.0;Archiv_der_Kreaturen;1000;oder
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;46.0;279;-1.0;Archiv_der_Kreaturen;1000;Lamijah
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;47.0;279;-1.0;Archiv_der_Kreaturen;1000;AP-Wert
