FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont HQCPYU+Andalus;false;false;1.0;13;-1.0;Archiv_der_Kreaturen;1200;Kulturschaffende & Ungeheuer
PDTrueTypeFont HQCPYU+Andalus;false;false;2.0;13;-1.0;Archiv_der_Kreaturen;1800;Affenmensch
PDType0Font/PDCIDFontType2, PostScript name: YIKICM+GentiumBasic-Italic;false;true;3.0;13;-1.0;Archiv_der_Kreaturen;1000;»Um die Klassifizierung des Neandertalers vornehmen zu kön
PDTrueTypeFont SZNYWY+GentiumBasic-Italic;false;true;4.0;13;-1.0;Archiv_der_Kreaturen;1000;-nen, so heißt es in den Schriften des Magisters Timeus Salzacker, sei vordergründig die Frage zu klären, ob es sich bei diesem Volke primär um Affen handle, deren Äußeres dem des Menschen nahekomme, oder um Menschen, deren Erscheinung sich dem Affen genähert habe. Ich muss dem geschätzten Magister in diesem entscheidenden Punkte widersprechen, ist doch die äußere Erscheinung ein höchst subjektives Kriterium. Vielmehr entscheidend sei, ob die kulturelle Aktivität der fraglichen Stämme dem Menschen ähnlich genug ist, auf dass man von einem Menschenvolke sprechen könne. Sie scheinen eine Religion zu besitzen, wenn auch in der Gestalt primitiver Knochenkulte. Ebenso verfügen sie über Hierarchien, wiewohl dies im Tierreiche allerdings auch vorkommt. Sie haben die Benutzung simpler Werkzeuge gemeistert und verstehen sich auf die Jagd. All dies sind interessante, wenn auch keine eindeutigen, Faktoren. Aus diesem Grunde postuliere ich eine nähere Untersuchung ihrer Sprache, denn allein an der Sprache lässt sich die Komplexität des Gedanklichen messen. Allerdings ist der Fachwelt zu diesem Thema kaum mehr als jene Überlieferung bekannt, als eine Kollega, die den Affenmenschen Karten vorlegte und auf verschiedene Täler deutete. Dabei erwiderte das Gegenüber stets „Nee, ander Tal“. Das geneigte Gremium wird daher verstehen, dass weitere Forschungsgelder zur Ausrüstung einer neuen Expedition in die Schwarze Sichel dringend bereitzustellen sind.«—aus den Briefen des Völkerkundlers und Linguisten Elwin von Schwarzborn
PDTrueTypeFont MINOQK+GentiumBasic;false;false;5.0;13;-1.0;Archiv_der_Kreaturen;1000;Die Gestalt der Affenmenschen, der auch als Neandertaler bekannt ist, entspricht ebenso wie ihre Körpergröße, von 1,60 bis 1,80 Schritt der Statur kräftiger Menschen. Ihre Gesichter weisen jedoch deutlich kantigere Züge auf. Überaugenwülste, ein breiter Unterkiefer, und starke, bei einigen Stämmen sogar fellähnliche, Körperbehaarung rücken diese Spezies in den Augen der meisten Aventurier in die Nähe zum Affen. Neandertaler verfügen über ein starkes Knochengerüst und bauen schneller und stärker Muskeln auf als Menschen, was ihnen nicht nur eine breite Gestalt, sondern auch Robustheit im Kampf und gegenüber Kälte verleiht.
PDType0Font/PDCIDFontType2, PostScript name: SRPYWY+GentiumBasic;false;false;6.0;13;-1.0;Archiv_der_Kreaturen;1000;Ihr flaumartiges Körperhaar ist von Stamm zu Stamm
PDTrueTypeFont MINOQK+GentiumBasic;false;false;7.0;13;-1.0;Archiv_der_Kreaturen;1000;unterschiedlich stark ausgeprägt, hilft ihnen aber in jedem Fall dabei, die kalten Gebirgswinter zu überstehen. Ihre Zähne sind wie die Kieferknochen stark ausgebildet. Die Schneidezähne werden nicht nur zur Nahrungsaufnahme, sondern auch im Kampf als Waffe oder bei der Arbeit als Werkzeug und „dritte Hand“ genutzt. Die Beißkraft der Neandertaler übersteigt die der Menschen bei weitem.Sie beherrschen den Umgang mit Speer und Keule, können schleichen und stundenlang auch bei Kälte reglos in Lauerstellung verbringen. Sie sind durch ihre Lebensweise trainierte und ausdauernde Läufer.Wenn Affenmenschen provoziert oder gereizt werden, sollte man sie besser schnell besänftigen oder sich für einen Kampf bereitmachen, den sie vorzugsweise mit Speeren, Keulen, Steinen oder Fäusten führen.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;8.0;13;-1.0;Archiv_der_Kreaturen;1300;Verbreitung
PDTrueTypeFont MINOQK+GentiumBasic;false;false;9.0;13;-1.0;Archiv_der_Kreaturen;1000;Um einem Affenmenschen zu begegnen, muss man sich tief in die Wildnis begeben. Die wenigen Stämme haben sich in abgeschiedene Gebirgstäler der Schwarzen Sichel, des Ehernen Schwertes, der Salamandersteine, der Walberge, Eiszinnen, Ogerzähne oder der Grimmfrostöde zurückgezogen. Ein durchschnittlicher Handelsreisender dürfte kaum jemals in Kontakt mit den Affenmenschen kommen. Selbst bei einer Reise durchs Gebirge ist eine zufällige Begegnung mit den scheuen Bergbewohnern unwahrscheinlich.
PDTrueTypeFont XWCCOO+GentiumBasic-Bold;true;false;1.0;14;-1.0;Archiv_der_Kreaturen;1300;Lebensweise
