FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont GUKQNC+Andalus;false;false;1.0;268;-1.0;Archiv_der_Kräuter;1800;Die Wirkungen der Pflanzen im Überblick
PDType0Font/PDCIDFontType2, PostScript name: SKIXEJ+GentiumBasic;false;false;2.0;268;-1.0;Archiv_der_Kräuter;1000;Die folgende Tabelle fasst zusammen, welchen Wirkungstypen die Pflanzen des Aventurischen Herbariums in ihrer rohen Form aufweisen, wie man sie wild in der Natur oder frisch gepflückt bei aventurischen Kräuterkundigen findet. Für eine Übersicht der
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;3.0;268;-1.0;Archiv_der_Kräuter;1000;Wirkungstypen siehe Seite
PDTrueTypeFont RVXELG+GentiumBasic-Bold;true;false;4.0;268;-1.0;Archiv_der_Kräuter;1000;10
PDType0Font/PDCIDFontType2, PostScript name: SKIXEJ+GentiumBasic;false;false;5.0;268;-1.0;Archiv_der_Kräuter;1000;.
PDType0Font/PDCIDFontType2, PostScript name: QHJLCN+GentiumBasic-Bold;true;false;6.0;268;-1.0;Archiv_der_Kräuter;1000;PflanzeHeilungGiftphysische Wirkungpsychische WirkungNützlichWehrhaftÜbernatürlichAlraune
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;7.0;268;-1.0;Archiv_der_Kräuter;1000;XXXXX
PDType0Font/PDCIDFontType2, PostScript name: QHJLCN+GentiumBasic-Bold;true;false;8.0;268;-1.0;Archiv_der_Kräuter;1000;Alveranie
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;9.0;268;-1.0;Archiv_der_Kräuter;1000;XX
PDType0Font/PDCIDFontType2, PostScript name: QHJLCN+GentiumBasic-Bold;true;false;10.0;268;-1.0;Archiv_der_Kräuter;1000;Aranische Wassernuss
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;11.0;268;-1.0;Archiv_der_Kräuter;1000;XX
PDType0Font/PDCIDFontType2, PostScript name: QHJLCN+GentiumBasic-Bold;true;false;12.0;268;-1.0;Archiv_der_Kräuter;1000;Arganstrauch
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;13.0;268;-1.0;Archiv_der_Kräuter;1000;XX
PDType0Font/PDCIDFontType2, PostScript name: QHJLCN+GentiumBasic-Bold;true;false;14.0;268;-1.0;Archiv_der_Kräuter;1000;Atan-Kiefer
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;15.0;268;-1.0;Archiv_der_Kräuter;1000;X
PDType0Font/PDCIDFontType2, PostScript name: QHJLCN+GentiumBasic-Bold;true;false;16.0;268;-1.0;Archiv_der_Kräuter;1000;Atmon
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;17.0;268;-1.0;Archiv_der_Kräuter;1000;XXX
