FONT                                                                   ;ISBOLD;ISITALIC;ONLINE;;ONPAGE;ORDER;PUBLICATION       ;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: TYWQNC+GentiumBasic-Bold  ;true  ;false   ;1.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1300;Pflanzliche Hilfsmittel
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;2.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Atanax
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;3.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;4.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Aus der Rinde der Atan-Kiefer lässt sich ein Sud namens Atanax gewinnen, ein seltenes Heilmit-
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic       ;false ;false   ;5.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;tel, das Verwendung bei vielen Krankheiten fin
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;6.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;-det. Nach der Einnahme sinkt der tägliche Schaden von Krankheiten um 2 SP und die Dauer der Krankheit um 2 Tage (bei Fieberkrankheiten sinkt der Schaden um 4 SP und die Dauer verkürzt sich um 4 Tage). Außerdem nimmt die Krankheit nur noch den weniger schlimmen Verlauf. Tut sie das bereits, endet die Krankheit augenblicklich. Atanax hat keine Auswirkungen bei übernatürlichen Krankheiten.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;7.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;8.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Atan-Kiefer, Salz, Wasser
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;9.0   ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;10.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Kessel
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;11.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;12.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;+1
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;13.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Atmonbrei
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;14.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;15.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Eine Anwendung Atmonbüschel wird in einem Kessel zu einem zähen Brei verkocht. Um eine leicht aufzutragende Paste zu erzeugen, kann dem Brei Öl oder Fett beigemengt werden. Reibt man den Brei auf den Körper, so fallen körperliche Anstrengungen leichter: Proben auf
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false ;true    ;16.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Klettern
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;17.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;,
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false ;true    ;18.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Körperbeherrschung
