FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;1.0;160;-1.0;Archiv_der_Kräuter;1000;Rauschmittel können, ebenso wie bei Elixieren, Ingredienzien gemäß der alchimistischen Äquivalenzlehre ersetzt werden. Der Raum für Experimente ist hier jedoch geringer, da eine Hauptingredienz in ihrer bereits bestehenden Rauschwirkung bei manchen Rezepten nur verstärkt wird, also beim Brauprozess nicht im strengen Sinne eine völlig neue Substanz entsteht. Das letzte Wort hat hierbei die Meisterin. Die Wirkungstypen der alchimistischen Rezepte wer-
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic;false;false;2.0;160;-1.0;Archiv_der_Kräuter;1000;den, wie die Pflanzen des Herbariums, durch die folgen
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;3.0;160;-1.0;Archiv_der_Kräuter;1000;-den Symbole illustriert:
PDTrueTypeFont RVXELG+GentiumBasic-Bold;true;false;4.0;160;-1.0;Archiv_der_Kräuter;1300;Elixiere
PDTrueTypeFont RVXELG+GentiumBasic-Bold;true;false;5.0;160;-1.0;Archiv_der_Kräuter;1000;1001 Rausch
PDTrueTypeFont IKMCPY+GentiumBasic-Italic;false;true;6.0;160;-1.0;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;7.0;160;-1.0;Archiv_der_Kräuter;1000;1001 Rausch ist ein streng gehütetes Parfümeriegeheimnis, das zuerst die Belhankaner Familie ya Arinori erfand. Der Duft der Malomis-Blüte wird hier in Parfümform gebannt und sorgt für ein unwiderstehliches Sinneserlebnis, welches bedeutend stärker ist als beispielsweise das Tharvun-Parfüm. Betroffen sind ausschließlich Personen, die sich länger als 10 Sekunden am Stück in einem Radius von 5 Schritt um den Anwender aufhalten.
PDTrueTypeFont RVXELG+GentiumBasic-Bold;true;false;8.0;160;-1.0;Archiv_der_Kräuter;1000;Typische Ingredienzien
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;9.0;160;-1.0;Archiv_der_Kräuter;1000;Alkohol, Duftwasser, Malomis, Rosenwasser, eine Prise einer Geheimzutat
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic;false;false;10.0;160;-1.0;Archiv_der_Kräuter;1000;pflanzlichen Ursprungs
