FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RVXELG+GentiumBasic-Bold;true;false;1.0;12;-1.0;Archiv_der_Kräuter;1300;Alraune
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false;true;2.0;12;-1.0;Archiv_der_Kräuter;1000;»Die Alraune, auch Mandragora geheißen, gilt häufig als die Pflanze der Alchimie, denn sie ist Grundlage für viele alchi
PDTrueTypeFont IKMCPY+GentiumBasic-Italic;false;true;3.0;12;-1.0;Archiv_der_Kräuter;1000;-
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false;true;4.0;12;-1.0;Archiv_der_Kräuter;1000;mistische Mittel. Die Wurzel ist stets von unterschiedlicher Gestalt, und ihre Anwendung folgt dem Grundsatz der Gleich
PDTrueTypeFont IKMCPY+GentiumBasic-Italic;false;true;5.0;12;-1.0;Archiv_der_Kräuter;1000;-artigkeit, nach der die forma die essentia bestimmt. Soll euer
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false;true;6.0;12;-1.0;Archiv_der_Kräuter;1000;Werk also einer Frau helfen, wählt eine Wurzel, die einer Frau
PDTrueTypeFont IKMCPY+GentiumBasic-Italic;false;true;7.0;12;-1.0;Archiv_der_Kräuter;1000;gleicht et cetera.«
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false;true;8.0;12;-1.0;Archiv_der_Kräuter;1000;—Hitta von Ilmenstein in einer Vorlesung für den Zirkel des Wissens Liebliches Feld, 1028 BF
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;9.0;12;-1.0;Archiv_der_Kräuter;1000;Die Alraune gedeiht unter Bäumen und bevorzugt Wälder. Ihre dunkelgrünen, runzeligen und unregelmäßig gekrausten Blätter sind beinahe stängellos. Aus den von Phex bis Peraine erscheinenden gelben Blüten entwickeln sich gleichfarbige Beeren. Beide sind nützlich, aber von untergeordneter alchimistischer Bedeutung. So stellen Kräuterkundige daraus eine Salbe her, die Linderung bei Geschwüren verspricht. Die Einnahme zerstoßener Beerensamen hilft hingegen bei Frauenleiden.
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic;false;false;10.0;12;-1.0;Archiv_der_Kräuter;1000;Der alchimistisch bedeutsame Teil der Pflanze ist ihre fleischige, bis zu zwei Spann tief reichende Wurzel, de
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;11.0;12;-1.0;Archiv_der_Kräuter;1000;-
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic;false;false;12.0;12;-1.0;Archiv_der_Kräuter;1000;ren Form häufig an die eines Menschen erinnert. Just
PDTrueTypeFont NPZGHO+GentiumBasic;false;false;13.0;12;-1.0;Archiv_der_Kräuter;1000;diese Gestalt führt dazu, dass der Alraune von jeher wundersame Fähigkeiten zugesprochen werden und sich allerlei Aberglaube um sie rankt. So soll die Mandragora etwa nur dort gedeihen, wo zuvor ein Mensch gewaltsam zu Tode kam. Mancherorts wird ihr eine Seele zuerkannt, und hier wird sie als hilfreicher Hausgeist verehrt, dort aber als Dämonenbrut gefürchtet. Dennoch spielt sie auch in der Volksheilkunde eine Rolle. Unverarbeitet ist der Wurzelsaft ein leichtes Gift und starkes Brechmittel, wirkt, mit Honig und Schnaps vermischt, jedoch bei Verdauungsproblemen. In Wein ge-
