FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;1.0;152;-1.0;Arkane_Schmiede;1300;Alchimie ohne Rücksicht auf Verluste
PDTrueTypeFont LNWWER+GentiumBasic;false;false;2.0;152;-1.0;Arkane_Schmiede;1000;Es gibt Situationen, die sofort Lösungen erfordern. Manche Alchimisten haben sich daher darauf spezialisiert, Rezepte und Labor bis zu den kleinsten Einzelheiten in ihr Gedächtnis zu prägen. So können sie in Sekundenschnelle Alchimika zusammenzuschütten und sich erst später um das Aufräumen kümmern.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;3.0;152;-1.0;Arkane_Schmiede;1000;Regel
PDTrueTypeFont LNWWER+GentiumBasic;false;false;4.0;152;-1.0;Arkane_Schmiede;1000;Der Held benötigt unter Zuhilfenahme von 8 AsP oder KaP nur 2 KR, um ein Alchimikum zu brauen. Danach muss er sich in den nächsten 24 Stunden darum kümmern, in der Zeit, die das Brauen normalerweise dauert, das Chaos in seinem Labor zu beseitigen, das er angerichtet hat. Das genutzte Labor verliert 10 % Strukturpunkte.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;5.0;152;-1.0;Arkane_Schmiede;1000;Voraussetzungen
PDTrueTypeFont LNWWER+GentiumBasic;false;false;6.0;152;-1.0;Arkane_Schmiede;1000;Alchimie 12, Zauberer oder SF Göttliche Alchimie
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;7.0;152;-1.0;Arkane_Schmiede;1000;AP-Wert
PDTrueTypeFont LNWWER+GentiumBasic;false;false;8.0;152;-1.0;Arkane_Schmiede;1000;15 Abenteuerpunkte
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;9.0;152;-1.0;Arkane_Schmiede;1300;Alchimieverstärkung
PDTrueTypeFont LNWWER+GentiumBasic;false;false;10.0;152;-1.0;Arkane_Schmiede;1000;Manche Alchimisten unter den Zauberkundigen haben gelernt, ihre magischen Kräfte noch stärker in ein Elixier einzubinden, als dies üblicherweise möglich wäre. So entstehen deutlich potentere Tränke durch den Einsatz von Magie.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;11.0;152;-1.0;Arkane_Schmiede;1000;Regel
PDTrueTypeFont LNWWER+GentiumBasic;false;false;12.0;152;-1.0;Arkane_Schmiede;1000;Der Held kann bis zu 12 AsP (statt 8) beim Brau-
PDType0Font/PDCIDFontType2, PostScript name: OVMZSW+GentiumBasic;false;false;13.0;152;-1.0;Arkane_Schmiede;1000;en in ein Elixier fließen lassen, um eine Erleichterung
PDTrueTypeFont LNWWER+GentiumBasic;false;false;14.0;152;-1.0;Arkane_Schmiede;1000;von bis zu +3 (statt +2) auf
PDTrueTypeFont WHXQNV+GentiumBasic-Italic;false;true;15.0;152;-1.0;Arkane_Schmiede;1000;Alchimie (Elixiere)
PDTrueTypeFont LNWWER+GentiumBasic;false;false;16.0;152;-1.0;Arkane_Schmiede;1000;zu erzielen (siehe
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;17.0;152;-1.0;Arkane_Schmiede;1000;Regelwerk
PDTrueTypeFont LNWWER+GentiumBasic;false;false;18.0;152;-1.0;Arkane_Schmiede;1000;Seite
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;19.0;152;-1.0;Arkane_Schmiede;1000;271
PDTrueTypeFont LNWWER+GentiumBasic;false;false;20.0;152;-1.0;Arkane_Schmiede;1000;).
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;21.0;152;-1.0;Arkane_Schmiede;1000;Voraussetzungen
PDTrueTypeFont LNWWER+GentiumBasic;false;false;22.0;152;-1.0;Arkane_Schmiede;1000;Vorteil
PDTrueTypeFont WHXQNV+GentiumBasic-Italic;false;true;23.0;152;-1.0;Arkane_Schmiede;1000;Zauberer
PDTrueTypeFont LNWWER+GentiumBasic;false;false;24.0;152;-1.0;Arkane_Schmiede;1000;, Alchimie 12
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;25.0;152;-1.0;Arkane_Schmiede;1000;AP-Wert
PDTrueTypeFont LNWWER+GentiumBasic;false;false;26.0;152;-1.0;Arkane_Schmiede;1000;10 Abenteuerpunkte
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;27.0;152;-1.0;Arkane_Schmiede;1300;Alchimiezirkel I-III
PDTrueTypeFont LNWWER+GentiumBasic;false;false;28.0;152;-1.0;Arkane_Schmiede;1000;Einige Alchimisten haben sich auf die Zusammenarbeit in Zirkeln spezialisiert. Sie können gemeinsam besonders effektiv und schnell Alchimika herstellen.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;29.0;152;-1.0;Arkane_Schmiede;1000;Regel
PDTrueTypeFont LNWWER+GentiumBasic;false;false;30.0;152;-1.0;Arkane_Schmiede;1000;Bis zu Stufe der SF + 1 Personen können gemeinsam in einem Zirkel an der Herstellung eines Alchimikums arbeiten. Der Held mit dem höchsten FW in Alchimie ist der Anleiter des Brauvorgangs. Seine FP
PDType0Font/PDCIDFontType2, PostScript name: OVMZSW+GentiumBasic;false;false;31.0;152;-1.0;Arkane_Schmiede;1000;fließen voll in die Ermittlung der Qualität des Alchimi
PDTrueTypeFont LNWWER+GentiumBasic;false;false;32.0;152;-1.0;Arkane_Schmiede;1000;-kums ein. Alle anderen können FP/2 aus ihrer Probe beisteuern. Maximal können so 18 FP erzielt werden. Sofern genug Ingredienzien vorhanden sind, können
PDType0Font/PDCIDFontType2, PostScript name: OVMZSW+GentiumBasic;false;false;33.0;152;-1.0;Arkane_Schmiede;1000;vom Zirkel bis zu [Anzahl der Beteiligten] + [QS der
PDTrueTypeFont LNWWER+GentiumBasic;false;false;34.0;152;-1.0;Arkane_Schmiede;1000;Brauprobe des Anleiters / 2] Anwendungen des Alchimikums innerhalb eines Tages hergestellt werden.Ggf. anfallende AsP-Kosten aus dem Brauprozess kann der Anleiter beliebig auf die Zauberer des Zirkels aufteilen. Falls diese Möglichkeit genutzt wird, muss jeder Zauberer, der teilgenommen hat, eine Probe auf
PDTrueTypeFont WHXQNV+GentiumBasic-Italic;false;true;35.0;152;-1.0;Arkane_Schmiede;1000;Selbstbeherrschung (Handlungsfähigkeit
PDTrueTypeFont LNWWER+GentiumBasic;false;false;36.0;152;-1.0;Arkane_Schmiede;1000;
PDTrueTypeFont WHXQNV+GentiumBasic-Italic;false;true;37.0;152;-1.0;Arkane_Schmiede;1000;bewahren)
PDTrueTypeFont LNWWER+GentiumBasic;false;false;38.0;152;-1.0;Arkane_Schmiede;1000;erschwert um –2 ablegen, bei Misslingen erleidet er 1 Stufe
PDTrueTypeFont WHXQNV+GentiumBasic-Italic;false;true;39.0;152;-1.0;Arkane_Schmiede;1000;Betäubung
