FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont VHKVVX+Andalus;false;false;1.0;139;-1.0;Arkane_Schmiede;2900;ALCHIMISTISCHE REZEPTE
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;2.0;139;-1.0;Arkane_Schmiede;1000;Heilmittel
PDTrueTypeFont LNWWER+GentiumBasic;false;false;3.0;139;-1.0;Arkane_Schmiede;1000;Hierunter fällt alles, was LeP, AsP oder andere verlorene Werte wiederherstellt, sowie Gegengifte.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;4.0;139;-1.0;Arkane_Schmiede;1000;Gifte
PDTrueTypeFont LNWWER+GentiumBasic;false;false;5.0;139;-1.0;Arkane_Schmiede;1000;Alles, was Schaden verursacht und/oder über Zustände, Status oder Nachteile schwächt, fällt in diese Kategorie, auch Rauschmittel.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;6.0;139;-1.0;Arkane_Schmiede;1000;Physische Wirkung
PDTrueTypeFont LNWWER+GentiumBasic;false;false;7.0;139;-1.0;Arkane_Schmiede;1000;Alle Alchimika, die auf den Körper wirken und seine Fähigkeiten oder Eigenschaften verändern.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;8.0;139;-1.0;Arkane_Schmiede;1000;Psychische Wirkung
PDTrueTypeFont LNWWER+GentiumBasic;false;false;9.0;139;-1.0;Arkane_Schmiede;1000;Alle Alchimika, die auf den Geist wirken und seine Fähigkeiten oder Eigenschaften verändern.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;10.0;139;-1.0;Arkane_Schmiede;1000;Nützliches
PDTrueTypeFont LNWWER+GentiumBasic;false;false;11.0;139;-1.0;Arkane_Schmiede;1000;Alchimika, die allgemein nützlich in der Anwendung sind und eine Vielzahl von Effekten hervorrufen, die von keinem anderen Typ abgedeckt werden.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;12.0;139;-1.0;Arkane_Schmiede;1000;Übernatürliches
PDTrueTypeFont LNWWER+GentiumBasic;false;false;13.0;139;-1.0;Arkane_Schmiede;1000;Alchimika, die spezielle, göttliche, dämonische oder magische Wirkungen haben (Alchimie der Sonne etc.).
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;14.0;139;-1.0;Arkane_Schmiede;1300;Alkahest
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;15.0;139;-1.0;Arkane_Schmiede;1000;Alternativer Name
PDTrueTypeFont LNWWER+GentiumBasic;false;false;16.0;139;-1.0;Arkane_Schmiede;1000;KaiserwasserDiese legendäre Säure ist noch stärker als Königswasser und in der Lage, alles zu zerfressen. Weder vor Glas noch Edelmetallen macht sie halt, sogar magische Metalle werden zerstört. Lediglich
PDType0Font/PDCIDFontType2, PostScript name: HCIZLF+GentiumBasic-Italic;false;true;17.0;139;-1.0;Arkane_Schmiede;1000;Schalen der Alchimie
PDTrueTypeFont LNWWER+GentiumBasic;false;false;18.0;139;-1.0;Arkane_Schmiede;1000;und
PDType0Font/PDCIDFontType2, PostScript name: HCIZLF+GentiumBasic-Italic;false;true;19.0;139;-1.0;Arkane_Schmiede;1000;Hexenkessel
PDTrueTypeFont LNWWER+GentiumBasic;false;false;20.0;139;-1.0;Arkane_Schmiede;1000;können dem Alkahest widerstehen. Es gibt zahlreiche Rezepturen, die nie zuverlässig funktionieren, doch das eigentliche Problem besteht in der Handhabung der beständig blubbernden und spritzenden Säure.
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;21.0;139;-1.0;Arkane_Schmiede;1000;Typische Ingredienzien
PDTrueTypeFont LNWWER+GentiumBasic;false;false;22.0;139;-1.0;Arkane_Schmiede;1000;verschiedene starke Säuren, verschiedene Gifte, Speichel eines Kaiserdrachen, Basilamine, Saft der Naftanstaude, Vitriol, Wühlschrat-
