FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;1.0;158;-1.0;Arkane_Schmiede;1000;MaterialVerfügbarkeitPreis pro SteinUnedle MetalleBlei
PDTrueTypeFont LNWWER+GentiumBasic;false;false;2.0;158;-1.0;Arkane_Schmiede;1000;selten10 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;3.0;158;-1.0;Arkane_Schmiede;1000;Eisen
PDTrueTypeFont LNWWER+GentiumBasic;false;false;4.0;158;-1.0;Arkane_Schmiede;1000;verbreitet80 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;5.0;158;-1.0;Arkane_Schmiede;1000;Kobalt
PDTrueTypeFont LNWWER+GentiumBasic;false;false;6.0;158;-1.0;Arkane_Schmiede;1000;selten90 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;7.0;158;-1.0;Arkane_Schmiede;1000;Kupfer
PDTrueTypeFont LNWWER+GentiumBasic;false;false;8.0;158;-1.0;Arkane_Schmiede;1000;verbreitet30 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;9.0;158;-1.0;Arkane_Schmiede;1000;Zink
PDTrueTypeFont LNWWER+GentiumBasic;false;false;10.0;158;-1.0;Arkane_Schmiede;1000;selten70 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;11.0;158;-1.0;Arkane_Schmiede;1000;Zinn
PDTrueTypeFont LNWWER+GentiumBasic;false;false;12.0;158;-1.0;Arkane_Schmiede;1000;verbreitet30 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;13.0;158;-1.0;Arkane_Schmiede;1000;Halbedle MetalleAntimon
PDTrueTypeFont LNWWER+GentiumBasic;false;false;14.0;158;-1.0;Arkane_Schmiede;1000;selten70 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;15.0;158;-1.0;Arkane_Schmiede;1000;Bronze
PDTrueTypeFont LNWWER+GentiumBasic;false;false;16.0;158;-1.0;Arkane_Schmiede;1000;verbreitet40 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;17.0;158;-1.0;Arkane_Schmiede;1000;Chrom
PDTrueTypeFont LNWWER+GentiumBasic;false;false;18.0;158;-1.0;Arkane_Schmiede;1000;selten90 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;19.0;158;-1.0;Arkane_Schmiede;1000;Epharit
PDTrueTypeFont LNWWER+GentiumBasic;false;false;20.0;158;-1.0;Arkane_Schmiede;1000;(Gumijok)sehr selten150 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;21.0;158;-1.0;Arkane_Schmiede;1000;Stahl
PDTrueTypeFont LNWWER+GentiumBasic;false;false;22.0;158;-1.0;Arkane_Schmiede;1000;selten100 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;23.0;158;-1.0;Arkane_Schmiede;1000;Wismut
PDTrueTypeFont LNWWER+GentiumBasic;false;false;24.0;158;-1.0;Arkane_Schmiede;1000;selten80 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;25.0;158;-1.0;Arkane_Schmiede;1000;Edle MetalleAngrak
PDTrueTypeFont LNWWER+GentiumBasic;false;false;26.0;158;-1.0;Arkane_Schmiede;1000;(Zwergengold)Abenteurer800 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;27.0;158;-1.0;Arkane_Schmiede;1000;Elektrum
PDTrueTypeFont LNWWER+GentiumBasic;false;false;28.0;158;-1.0;Arkane_Schmiede;1000;(Wassergold)sehr selten300 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;29.0;158;-1.0;Arkane_Schmiede;1000;Gold
PDTrueTypeFont LNWWER+GentiumBasic;false;false;30.0;158;-1.0;Arkane_Schmiede;1000;selten500 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;31.0;158;-1.0;Arkane_Schmiede;1000;Mondsilber
PDTrueTypeFont LNWWER+GentiumBasic;false;false;32.0;158;-1.0;Arkane_Schmiede;1000;(Platin)sehr selten750 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;33.0;158;-1.0;Arkane_Schmiede;1000;Quecksilber
PDTrueTypeFont LNWWER+GentiumBasic;false;false;34.0;158;-1.0;Arkane_Schmiede;1000;sehr selten750 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;35.0;158;-1.0;Arkane_Schmiede;1000;Silber
PDTrueTypeFont LNWWER+GentiumBasic;false;false;36.0;158;-1.0;Arkane_Schmiede;1000;verbreitet250 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;37.0;158;-1.0;Arkane_Schmiede;1000;Toschkril
