FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;5.0;157;-1.0;Arkane_Schmiede;1000;AnwendungAmbra
PDTrueTypeFont LNWWER+GentiumBasic;false;false;6.0;157;-1.0;Arkane_Schmiede;1000;selten20 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;7.0;157;-1.0;Arkane_Schmiede;1000;Kaiserdrachentränen
PDTrueTypeFont LNWWER+GentiumBasic;false;false;8.0;157;-1.0;Arkane_Schmiede;1000;Abenteurer1.000 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;9.0;157;-1.0;Arkane_Schmiede;1000;Ameisensäure
PDTrueTypeFont LNWWER+GentiumBasic;false;false;10.0;157;-1.0;Arkane_Schmiede;1000;verbreitet2,4 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;11.0;157;-1.0;Arkane_Schmiede;1000;Karmalenergie
PDTrueTypeFont LNWWER+GentiumBasic;false;false;12.0;157;-1.0;Arkane_Schmiede;1000;verbreitetauf individuelle Bitte
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;13.0;157;-1.0;Arkane_Schmiede;1000;Alchimistensäure
PDTrueTypeFont LNWWER+GentiumBasic;false;false;14.0;157;-1.0;Arkane_Schmiede;1000;selten150 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;15.0;157;-1.0;Arkane_Schmiede;1000;Khunchomer Pfeffer
PDTrueTypeFont LNWWER+GentiumBasic;false;false;16.0;157;-1.0;Arkane_Schmiede;1000;verbreitet6 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;17.0;157;-1.0;Arkane_Schmiede;1000;Alter Schnee
PDTrueTypeFont LNWWER+GentiumBasic;false;false;18.0;157;-1.0;Arkane_Schmiede;1000;verbreitet0,3 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;19.0;157;-1.0;Arkane_Schmiede;1000;Koboldseide
PDTrueTypeFont LNWWER+GentiumBasic;false;false;20.0;157;-1.0;Arkane_Schmiede;1000;Abenteurer300 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;21.0;157;-1.0;Arkane_Schmiede;1000;Asche
PDTrueTypeFont LNWWER+GentiumBasic;false;false;22.0;157;-1.0;Arkane_Schmiede;1000;verbreitet0,5 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;23.0;157;-1.0;Arkane_Schmiede;1000;Königswasser
PDTrueTypeFont LNWWER+GentiumBasic;false;false;24.0;157;-1.0;Arkane_Schmiede;1000;sehr selten75 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;25.0;157;-1.0;Arkane_Schmiede;1000;Astralenergie
PDTrueTypeFont LNWWER+GentiumBasic;false;false;26.0;157;-1.0;Arkane_Schmiede;1000;selten20 S pro Punkt
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;27.0;157;-1.0;Arkane_Schmiede;1000;Magisches Wasser
PDTrueTypeFont LNWWER+GentiumBasic;false;false;28.0;157;-1.0;Arkane_Schmiede;1000;selten18 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;29.0;157;-1.0;Arkane_Schmiede;1000;Banchaber Blende
PDTrueTypeFont LNWWER+GentiumBasic;false;false;30.0;157;-1.0;Arkane_Schmiede;1000;selten15 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;31.0;157;-1.0;Arkane_Schmiede;1000;Mehl
PDTrueTypeFont LNWWER+GentiumBasic;false;false;32.0;157;-1.0;Arkane_Schmiede;1000;verbreitet0,1 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;33.0;157;-1.0;Arkane_Schmiede;1000;Bei Vollmond geerntetes Kairanrohr
PDTrueTypeFont LNWWER+GentiumBasic;false;false;34.0;157;-1.0;Arkane_Schmiede;1000;sehr selten45 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;35.0;157;-1.0;Arkane_Schmiede;1000;Mondmilch
PDTrueTypeFont LNWWER+GentiumBasic;false;false;36.0;157;-1.0;Arkane_Schmiede;1000;sehr selten58 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;37.0;157;-1.0;Arkane_Schmiede;1000;Bergnebel
PDTrueTypeFont LNWWER+GentiumBasic;false;false;38.0;157;-1.0;Arkane_Schmiede;1000;selten20 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;39.0;157;-1.0;Arkane_Schmiede;1000;Neunaugenhaar (Gestein)
PDTrueTypeFont LNWWER+GentiumBasic;false;false;40.0;157;-1.0;Arkane_Schmiede;1000;selten16,5 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;41.0;157;-1.0;Arkane_Schmiede;1000;Blut (Kulturschaffend)
PDTrueTypeFont LNWWER+GentiumBasic;false;false;42.0;157;-1.0;Arkane_Schmiede;1000;verbreitet10 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;43.0;157;-1.0;Arkane_Schmiede;1000;Pechblende
PDTrueTypeFont LNWWER+GentiumBasic;false;false;44.0;157;-1.0;Arkane_Schmiede;1000;selten12 S
PDTrueTypeFont PTZUIJ+GentiumBasic-Bold;true;false;45.0;157;-1.0;Arkane_Schmiede;1000;Blut eines niederen Drachen
PDTrueTypeFont LNWWER+GentiumBasic;false;false;46.0;157;-1.0;Arkane_Schmiede;1000;selten35 S
