FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont CWTGIO+Andalus;false;false;13.0;129;-1.0;Aventurische_Tiergefährten;1800;Neue Sonderfertigkeiten für Kulturschaffende
PDTrueTypeFont QHSHWM+GentiumBasic-Bold;true;false;14.0;129;-1.0;Aventurische_Tiergefährten;1300;Abrichter
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;15.0;129;-1.0;Aventurische_Tiergefährten;1000;Der Held hat sich angeeignet, wie man wilde Tiere ausbildet. Er kann Wildtiere dressieren und sie dazu bringen, seinen Befehlen zu gehorchen.
PDTrueTypeFont QHSHWM+GentiumBasic-Bold;true;false;16.0;129;-1.0;Aventurische_Tiergefährten;1000;Regel
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;17.0;129;-1.0;Aventurische_Tiergefährten;1000;Durch diese Sonderfertigkeit erhält der Abenteurer die Einsatzmöglichkeit
PDTrueTypeFont LKDDEW+GentiumBasic-Italic;false;true;18.0;129;-1.0;Aventurische_Tiergefährten;1000;Abrichten
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;19.0;129;-1.0;Aventurische_Tiergefährten;1000;im Talent
PDTrueTypeFont LKDDEW+GentiumBasic-Italic;false;true;20.0;129;-1.0;Aventurische_Tiergefährten;1000;Tierkunde
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;21.0;129;-1.0;Aventurische_Tiergefährten;1000;. Als Abrichter ist der Abenteurer in der Lage, Wesen abzurichten, die als Wildtiere im Sinne des Anwendungsgebietes
PDTrueTypeFont LKDDEW+GentiumBasic-Italic;false;true;22.0;129;-1.0;Aventurische_Tiergefährten;1000;Wildtiere
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;23.0;129;-1.0;Aventurische_Tiergefährten;1000;im Talent
PDTrueTypeFont LKDDEW+GentiumBasic-Italic;false;true;24.0;129;-1.0;Aventurische_Tiergefährten;1000;Tierkunde
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;25.0;129;-1.0;Aventurische_Tiergefährten;1000;gelten. Ohne diese SF kann ein Held mit
PDTrueTypeFont LKDDEW+GentiumBasic-Italic;false;true;26.0;129;-1.0;Aventurische_Tiergefährten;1000;Tierkunde
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;27.0;129;-1.0;Aventurische_Tiergefährten;1000;nur domestizierte Tiere abrichten. Das Abrichten bestimmter Tiere gilt als komplex und benötigt ein entsprechendes Berufsgeheimnis.
PDTrueTypeFont QHSHWM+GentiumBasic-Bold;true;false;28.0;129;-1.0;Aventurische_Tiergefährten;1000;Voraussetzungen
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;29.0;129;-1.0;Aventurische_Tiergefährten;1000;Tierkunde 8, kein Nachteil Unfähig (Tierkunde)
PDTrueTypeFont QHSHWM+GentiumBasic-Bold;true;false;30.0;129;-1.0;Aventurische_Tiergefährten;1000;AP-Wert
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;31.0;129;-1.0;Aventurische_Tiergefährten;1000;5 Abenteuerpunkte
PDTrueTypeFont QHSHWM+GentiumBasic-Bold;true;false;32.0;129;-1.0;Aventurische_Tiergefährten;1300;Tierheilerin (Tierart)
PDTrueTypeFont KYQXQY+GentiumBasic;false;false;33.0;129;-1.0;Aventurische_Tiergefährten;1000;Mit etwas Zeit kann jeder sich durch Beobachtung erschließen, was einem verletzten Tier grob fehlt. Die Tierheilerin allerdings hat sich darauf spezialisiert, Wunden nicht nur zu erkennen, sondern schnell und effektiv zu behandeln, indem sie ihr ganzheitliches Wissen über eine Tierart anwendet.
PDTrueTypeFont QHSHWM+GentiumBasic-Bold;true;false;34.0;129;-1.0;Aventurische_Tiergefährten;1000;Regel
