FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;32.0;133;-1.0;Aventurisches_Animatorium;1300;Automatentüftler
PDType0Font/PDCIDFontType2, PostScript name: CEXCWU+GentiumBasic;false;false;33.0;133;-1.0;Aventurisches_Animatorium;1000;Zum Bauen von Automaten sind feinmechanische An
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;34.0;133;-1.0;Aventurisches_Animatorium;1000;-
PDType0Font/PDCIDFontType2, PostScript name: CEXCWU+GentiumBasic;false;false;35.0;133;-1.0;Aventurisches_Animatorium;1000;wendungskenntnisse nötig, die über bloße Lehrbuch
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;36.0;133;-1.0;Aventurisches_Animatorium;1000;-theorie hinausgehen.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;37.0;133;-1.0;Aventurisches_Animatorium;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: CEXCWU+GentiumBasic;false;false;38.0;133;-1.0;Aventurisches_Animatorium;1000;Durch diese Sonderfertigkeit wird das Anwen
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;39.0;133;-1.0;Aventurisches_Animatorium;1000;-dungsgebiet
PDTrueTypeFont PSKKJU+GentiumBasic-Italic;false;true;40.0;133;-1.0;Aventurisches_Animatorium;1000;Metallbearbeitung (Automatenkonstruktion)
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;41.0;133;-1.0;Aventurisches_Animatorium;1000;freigeschaltet, welches den Mechanikus dazu befähigt, Automaten der Komplexität
PDTrueTypeFont PSKKJU+GentiumBasic-Italic;false;true;42.0;133;-1.0;Aventurisches_Animatorium;1000;einfach
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;43.0;133;-1.0;Aventurisches_Animatorium;1000;und
PDTrueTypeFont PSKKJU+GentiumBasic-Italic;false;true;44.0;133;-1.0;Aventurisches_Animatorium;1000;komplex
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;45.0;133;-1.0;Aventurisches_Animatorium;1000;zu erschaffen. Für Automaten der Komplexität
PDTrueTypeFont PSKKJU+GentiumBasic-Italic;false;true;46.0;133;-1.0;Aventurisches_Animatorium;1000;komplex
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;47.0;133;-1.0;Aventurisches_Animatorium;1000;benötigt er zudem ein entsprechendes Berufsgeheimnis.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;48.0;133;-1.0;Aventurisches_Animatorium;1000;Voraussetzungen
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;49.0;133;-1.0;Aventurisches_Animatorium;1000;Mechanik 10, Rechnen 8
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;50.0;133;-1.0;Aventurisches_Animatorium;1000;AP-Wert
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;51.0;133;-1.0;Aventurisches_Animatorium;1000;15 AbenteuerpunkteEine
