FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;3.0;136;-1.0;Aventurisches_Animatorium;1300;Golemprägung
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;4.0;136;-1.0;Aventurisches_Animatorium;1000;Manche Golemantiker wollen jemand anderem ein bleibendes Geschenk überreichen und nehmen daher an ihrem Werk eine Golemprägung vor.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;5.0;136;-1.0;Aventurisches_Animatorium;1000;Regel
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;6.0;136;-1.0;Aventurisches_Animatorium;1000;Als Veredelung eines Golemkorpus kann ein Körperteil eines Kulturschaffenden (Haare, Fleisch oder Knochen)
PDType1CFont MQWSTA+TheDarkEyeRegular;false;false;7.0;136;-1.0;Aventurisches_Animatorium;400;#
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;8.0;136;-1.0;Aventurisches_Animatorium;1000;verwendet werden. Der Golem wird auf die zugehörige Person geprägt und gehorcht nach der Erschaffung nur noch dieser. Stirbt das Ziel der Prägung, erhält der Erschaffer die Kontrolle. Stirbt auch dieser, ist der Golem frei in seinem Willen. Stirbt der Erschaffer vor der eingeprägten Person, so erhält diese den Status des Erschaffers. Eine solche Prägung muss bewusst vorgenommen werden und kann nicht als zufälliges Beiprodukt einer Veredelung mit Körperteilen passieren.
PDType1CFont MQWSTA+TheDarkEyeRegular;false;false;9.0;136;-1.0;Aventurisches_Animatorium;400;##
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;10.0;136;-1.0;Aventurisches_Animatorium;1000;Voraussetzungen
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;11.0;136;-1.0;Aventurisches_Animatorium;1000;Spiel mit der Fokusregel Veredelung (siehe Seite
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;12.0;136;-1.0;Aventurisches_Animatorium;1000;106
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;13.0;136;-1.0;Aventurisches_Animatorium;1000;), Sonderfertigkeit
PDTrueTypeFont PSKKJU+GentiumBasic-Italic;false;true;14.0;136;-1.0;Aventurisches_Animatorium;1000;Golembauer
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;15.0;136;-1.0;Aventurisches_Animatorium;1000;(siehe Seite
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;16.0;136;-1.0;Aventurisches_Animatorium;1000;103
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;17.0;136;-1.0;Aventurisches_Animatorium;1000;)
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;18.0;136;-1.0;Aventurisches_Animatorium;1000;AP-Wert
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;19.0;136;-1.0;Aventurisches_Animatorium;1000;5 Abenteuerpunkte
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;20.0;136;-1.0;Aventurisches_Animatorium;1300;Kontrollobjekt
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;21.0;136;-1.0;Aventurisches_Animatorium;1000;Professionelle Golembauer fertigen zu ihren verkäuflichen Golems gehörige Kontrollobjekte, die es einem Klienten zwar erlauben, den Golem zu befehligen, die Urkontrolle des Erschaffers jedoch erhalten, sodass dieser bei unsachgemäßem Gebrauch einschreiten kann.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;22.0;136;-1.0;Aventurisches_Animatorium;1000;Regel
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;23.0;136;-1.0;Aventurisches_Animatorium;1000;Bei der Erschaffung wird ein zum Golem gehöriges Kontrollobjekt mitgefertigt (in der Regel ein Schmuckstück mit Siegel des Erschaffers). Wer das Kontrollobjekt in seiner Hand hält, kann dem Golem Aufträge erteilen. Der Erschaffer behält jedoch die Kontrolle und kann jeden Auftrag abbrechen oder überschreiben, sofern die nötige Loyalitätsprobe gelingt. Das Kontrollobjekt behält auch nach dem Tod des Erschaffers seine Wirkung, sodass derjenige im Besitz des Kontrollobjekts dann jeweils zeitweilig den Status des Erschaffers erhält. Die Grundloyalität eines
