FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;5.0;123;-1.0;Aventurisches_Animatorium;1300;HomunculusfähigkeitenAlraunenbeere
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;6.0;123;-1.0;Aventurisches_Animatorium;1000;Wirkung
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;7.0;123;-1.0;Aventurisches_Animatorium;1000;Der Alraunige kann durch Aufwendung von Astral- und Lebenspunkten nach 8 Stunden eine Beere an seinem Haupt wachsen lassen. Das Wachsen einer zweiten Beere dauert weitere 8 Stunden. Wird eine (maximal 2) Beere einem alchimistischen Rezept entweder beim Brauen oder dem fertigen Elixier beigegeben, erhöht sich die QS pro Beere augenblicklich um 1 (max. QS 6).
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;8.0;123;-1.0;Aventurisches_Animatorium;1000;Kreaturenarten
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;9.0;123;-1.0;Aventurisches_Animatorium;1000;Alrauniger Homunculus
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;10.0;123;-1.0;Aventurisches_Animatorium;1000;AsP-Kosten
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;11.0;123;-1.0;Aventurisches_Animatorium;1000;1 AsP und 6 LeP pro Beere
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;12.0;123;-1.0;Aventurisches_Animatorium;1000;Wirkungsdauer
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;13.0;123;-1.0;Aventurisches_Animatorium;1000;sofort
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;14.0;123;-1.0;Aventurisches_Animatorium;1000;Merkmal
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;15.0;123;-1.0;Aventurisches_Animatorium;1000;Verwandlung
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;16.0;123;-1.0;Aventurisches_Animatorium;1000;AP-Wert
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;17.0;123;-1.0;Aventurisches_Animatorium;1000;12 Abenteuerpunkte
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;18.0;123;-1.0;Aventurisches_Animatorium;1300;Alraunenschrei
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;19.0;123;-1.0;Aventurisches_Animatorium;1000;Wirkung
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;20.0;123;-1.0;Aventurisches_Animatorium;1000;Der Alraunige wandelt auf einen Schlag seine gesamten AsP in einen magischen Schrei um, der allen Wesen in einem Radius von 3 Schritt 2W6+2 Schadenspunkte zufügt. Der Einsatz dieser Homunculusfähigkeit dauert 1 Aktion.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;21.0;123;-1.0;Aventurisches_Animatorium;1000;Kreaturenarten
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;22.0;123;-1.0;Aventurisches_Animatorium;1000;Alrauniger Homunculus
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;23.0;123;-1.0;Aventurisches_Animatorium;1000;AsP-Kosten
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;24.0;123;-1.0;Aventurisches_Animatorium;1000;alle AsP, mindestens aber 8 AsP
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;25.0;123;-1.0;Aventurisches_Animatorium;1000;Wirkungsdauer
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;26.0;123;-1.0;Aventurisches_Animatorium;1000;sofort
