FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;1.0;122;-1.0;Aventurisches_Animatorium;1300;Homunculusbindung
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;2.0;122;-1.0;Aventurisches_Animatorium;1000;Durch die Bindung des Homunculus an den Erschaffer erhält das Wesen seinen Willen. Sie
PDType0Font/PDCIDFontType2, PostScript name: OZRZCW+GentiumBasic;false;false;3.0;122;-1.0;Aventurisches_Animatorium;1000;stellt die Krönung und den fi
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;4.0;122;-1.0;Aventurisches_Animatorium;1000;-nalen Schritt des Rezeptes dar.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;5.0;122;-1.0;Aventurisches_Animatorium;1000;Wirkung
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;6.0;122;-1.0;Aventurisches_Animatorium;1000;Mit dieser Sonderfertigkeit kann der Erschaffer eines Homunculus diesen an sich binden. Sie ermöglicht es, den Homunculus mit Eigenblut vor dem Verfall zu bewahren und dessen Verletzungen zu heilen. Diese Sonderfertigkeit muss vor der Erschaffung des Homunculus erworben werden, andernfalls misslingt die Brauprobe automatisch. Es wird nicht empfohlen, diese Sonderfertigkeit bei der Generierung des Helden zu erwerben.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;7.0;122;-1.0;Aventurisches_Animatorium;1000;Voraussetzungen
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;8.0;122;-1.0;Aventurisches_Animatorium;1000;keine<br> Es ist möglich, gleichzeitig die Sonderfertigkeiten Vertrautenbindung und Homunculusbindung zu besitzen. Es ist jedoch nicht möglich, gleichzeitig ein Vertrautentier und einen Homunculus an sich zu binden.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;9.0;122;-1.0;Aventurisches_Animatorium;1000;AP-Wert
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;10.0;122;-1.0;Aventurisches_Animatorium;1000;30 Abenteuerpunkte
