FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NHIDHY+Andalus;false;false;26.0;148;-1.0;Aventurisches_Animatorium;1800;Sonderfertigkeiten für Golembauer, Homunculusalchimisten und Automatentüftler
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;27.0;148;-1.0;Aventurisches_Animatorium;1300;Bastler
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;28.0;148;-1.0;Aventurisches_Animatorium;1000;Ein Bastler ist ein Erfinder, der durch Ausprobieren im
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;29.0;148;-1.0;Aventurisches_Animatorium;1000;-
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;30.0;148;-1.0;Aventurisches_Animatorium;1000;mer neue Wege entdeckt, seine Erfindungen zu verbes
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;31.0;148;-1.0;Aventurisches_Animatorium;1000;-
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;32.0;148;-1.0;Aventurisches_Animatorium;1000;sern bzw. sie schneller herzustellen.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;33.0;148;-1.0;Aventurisches_Animatorium;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;34.0;148;-1.0;Aventurisches_Animatorium;1000;Wer über diese Sonderfertigkeit verfügt, der kann das Intervall einer Herstellungsprobe für mecha
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;35.0;148;-1.0;Aventurisches_Animatorium;1000;-
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;36.0;148;-1.0;Aventurisches_Animatorium;1000;nische Konstruktionen um 25 % verkürzen. Außerdem erhöhen sich die Strukturpunkte für gewöhnliche Gegenstände und mechanische Konstruktionen, die er herstellt, um 10 % im Verhältnis zu den Listenwerten.
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;37.0;148;-1.0;Aventurisches_Animatorium;1000;Voraussetzungen
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;38.0;148;-1.0;Aventurisches_Animatorium;1000;Mechanik 4, um die SF für die Kons
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;39.0;148;-1.0;Aventurisches_Animatorium;1000;-
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;40.0;148;-1.0;Aventurisches_Animatorium;1000;truktion von Automaten zu nutzen ist die SF
PDTrueTypeFont PSKKJU+GentiumBasic-Italic;false;true;41.0;148;-1.0;Aventurisches_Animatorium;1000;Automatentüftler
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;42.0;148;-1.0;Aventurisches_Animatorium;1000;(siehe Seite
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;43.0;148;-1.0;Aventurisches_Animatorium;1000;132
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;44.0;148;-1.0;Aventurisches_Animatorium;1000;) Voraussetzung
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;45.0;148;-1.0;Aventurisches_Animatorium;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;46.0;148;-1.0;Aventurisches_Animatorium;1000;8 Abenteuerpunkte
PDTrueTypeFont FVHCZO+GentiumBasic-Bold;true;false;47.0;148;-1.0;Aventurisches_Animatorium;1300;Konstruktsimulacrum
PDType0Font/PDCIDFontType2, PostScript name: OLSDEW+GentiumBasic;false;false;48.0;148;-1.0;Aventurisches_Animatorium;1000;Manchen Zauberern gelingt es, ein Konstrukt zu er
PDTrueTypeFont YIVMFC+GentiumBasic;false;false;49.0;148;-1.0;Aventurisches_Animatorium;1000;-
