FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;1.0;162;-1.0;Aventurisches_Elementarium;1300;Bindung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;2.0;162;-1.0;Aventurisches_Elementarium;1000;(Elementare)Nur die mächtigsten Elementaristen können Elementare an die 3. Sphäre binden.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;3.0;162;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;4.0;162;-1.0;Aventurisches_Elementarium;1000;Mit dieser Sonderfertigkeit kann ein Zauberer Elementare binden (siehe Seite
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;5.0;162;-1.0;Aventurisches_Elementarium;1000;136
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;6.0;162;-1.0;Aventurisches_Elementarium;1000;). Die Sonderfertigkeit muss für jede Stufe von Elementaren einzeln erlernt werden, bauen jedoch nicht aufeinander auf.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;7.0;162;-1.0;Aventurisches_Elementarium;1000;Voraussetzungen
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;8.0;162;-1.0;Aventurisches_Elementarium;1000;passendes Beschwörungsritual des Wesens FW 12
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;9.0;162;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;10.0;162;-1.0;Aventurisches_Elementarium;1000;Elementargeister/Dschinne/Elementare Meister: 10/20/40 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;11.0;162;-1.0;Aventurisches_Elementarium;1300;Golemidenbauer
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;12.0;162;-1.0;Aventurisches_Elementarium;1000;Zum Bauen fortgeschrittener Golemiden muss ein Erschaffer sich Kenntnisse aneignen, die über das gewöhnliche Maß eines Zauberers, der sich für den Golemidenbau interessiert, hinausgehen.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;13.0;162;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;14.0;162;-1.0;Aventurisches_Elementarium;1000;Durch diese Sonderfertigkeit ist der Zauberer in der Lage, Golemiden der Komplexität
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;15.0;162;-1.0;Aventurisches_Elementarium;1000;einfach
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;16.0;162;-1.0;Aventurisches_Elementarium;1000;und
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;17.0;162;-1.0;Aventurisches_Elementarium;1000;komplex
