FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont VDNWMI+Andalus;false;false;1.0;150;-1.0;Aventurisches_Elementarium;1800;Elementarpakte
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;2.0;150;-1.0;Aventurisches_Elementarium;1000;Ein Pakt ist ein Bündnis zwischen einem Sterblichen und einer mächtigen Wesenheit, beispielsweise einem Dämon oder einem Elementarwesen. Ein solcher Bund bringt einem Sterblichen viele Vorteile, allerdings be-
PDType0Font/PDCIDFontType2, PostScript name: KKYIOE+GentiumBasic;false;false;3.0;150;-1.0;Aventurisches_Elementarium;1000;deutet dies auch, dass er dem Wesen verpflichtet ist.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;4.0;150;-1.0;Aventurisches_Elementarium;1300;Paktschluss
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;5.0;150;-1.0;Aventurisches_Elementarium;1000;Sterbliche können nur mit einer einzigen Wesenheit einen Pakt eingehen und diesen auch nicht ohne weiteres brechen. Will ein Sterblicher ein Elementarwesen überzeugen, einen Pakt mit ihm einzugehen, sind verschiedene Bedingungen zu erfüllen (siehe folgende Liste). Grundlegend muss der Elementar einverstanden sein und beide, Elementar und Sterblicher, müssen sich in unmittelbarer Nähe zu-
PDType0Font/PDCIDFontType2, PostScript name: KKYIOE+GentiumBasic;false;false;6.0;150;-1.0;Aventurisches_Elementarium;1000;einander befinden, also in Sicht- und Sprechreichweite.
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;7.0;150;-1.0;Aventurisches_Elementarium;1000;Elementare bieten niemals von sich aus Pakte an, die Verhandlungen dazu müssen stets vom Sterblichen initiiert werden.Ein Held kann mit dem Elementarwesen im Laufe der Zeit mehrmals in Kontakt treten, um den Pakt zu stärken und dadurch mehr Paktgeschenke zu erwerben. Dies ist in der Regel an einen Beweis seiner Loyalität oder einen erfolgreich abgeschlossenen Auftrag gekoppelt. Elementarpakte können maximal eine Stufe von III aufweisen.Der Pakt mit einem Elementaren Meister ist immer mit dem Nachteil
PDType0Font/PDCIDFontType2, PostScript name: EBBYIQ+GentiumBasic-Italic;false;true;8.0;150;-1.0;Aventurisches_Elementarium;1000;Verpflichtung (Elementarer Meister)
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;9.0;150;-1.0;Aventurisches_Elementarium;1000;verbunden, den der Held nach Paktschluss erhält und der pro Stärkung des Bündnisses um 1 Stufe zunimmt. Diese
PDType0Font/PDCIDFontType2, PostScript name: KKYIOE+GentiumBasic;false;false;10.0;150;-1.0;Aventurisches_Elementarium;1000;Verpflichtung geht meist mit einer Aufgabe einher oder
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;11.0;150;-1.0;Aventurisches_Elementarium;1000;ist ein Treueschwur gegenüber dem Elementar.
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;12.0;150;-1.0;Aventurisches_Elementarium;1000;Der Pakt mit Elementargeistern:
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;13.0;150;-1.0;Aventurisches_Elementarium;1000;Mit Elementargeistern kann ein Sterblicher keinen Pakt eingehen, da sie dafür nicht ausreichend Individualität aufweisen.
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;14.0;150;-1.0;Aventurisches_Elementarium;1000;Der Pakt mit Dschinnen:
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;15.0;150;-1.0;Aventurisches_Elementarium;1000;Um mit einem Dschinn einen Pakt einzugehen, müssen der Held und der Dschinn ein mündliches Versprechen ablegen, sich gegenseitig beizustehen. Außerdem muss der Held eine Probe auf
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;16.0;150;-1.0;Aventurisches_Elementarium;1000;Überreden
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;17.0;150;-1.0;Aventurisches_Elementarium;1000;bestehen, die um –2 erschwert ist. Misslingt die Probe, so beschließt der Dschinn, keinen Pakt mit dem Helden einzugehen.
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;18.0;150;-1.0;Aventurisches_Elementarium;1000;Der Pakt mit Elementaren Meistern:
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;19.0;150;-1.0;Aventurisches_Elementarium;1000;Um mit einem Elementaren Meister einen Pakt einzugehen, muss der Held neben dem Versprechen auch eine Probe auf
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;20.0;150;-1.0;Aventurisches_Elementarium;1000;Überreden
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;21.0;150;-1.0;Aventurisches_Elementarium;1000;–4 bestehen. Bei einer misslungenen Probe kommt es zu keinem Paktschluss. Hat der Held bereits einen Pakt mit einem Dschinn des gleichen Elements geschlossen, ist die Probe nur um –3 erschwert. Durch den Paktschluss endet der alte Pakt mit dem Dschinn dann automatisch und ohne negative Konsequenzen für den Helden.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;22.0;150;-1.0;Aventurisches_Elementarium;1300;Paktdauer und Paktende
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;23.0;150;-1.0;Aventurisches_Elementarium;1000;Der Pakt mit einem Elementarwesen kann unterschiedlich lange andauern. Es gibt Elementare, die einen solchen Bund bis zum Ableben ihres sterblichen Verbündeten schließen, aber auch eine zeitliche Begrenzung ist möglich, die Tage, Wochen oder Jahre umfassen kann. Im Fall einer Erblinie mag ein Elementarpakt sogar mehrere Generationen andauern und so über Jahrhunderte Bestand haben. Beispielhafte Zeitintervalle sind mystische Zahlen wie 1, 2, 3, 6, 18 oder 36. Nach diesem festgelegten Zeitraum endet der Bund automatisch, so er nicht erneuert wird.Alle Paktgeschenke gehen bei Paktende verloren. Für erworbene Paktgeschenke (und ggf. die Sonderfertigkeit
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;24.0;150;-1.0;Aventurisches_Elementarium;1000;Elementarrettung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;25.0;150;-1.0;Aventurisches_Elementarium;1000;) bekommt der Held die entrichteten AP-Kosten wieder gutgeschrieben. Sterbliche können auch versuchen, einen geschlossenen Pakt selbst zu beenden. Hierzu ist eine bestandene Sammelprobe auf
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;26.0;150;-1.0;Aventurisches_Elementarium;1000;Willenskraft
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;27.0;150;-1.0;Aventurisches_Elementarium;1000;, 1 Woche, 5 Versuche erforderlich. Üblicherweise sind Elementare wenig erbaut über solche Eigenmächtigkeiten. Auch ein Ende des Pakts durch einen neuen Paktschluss mit einem höherrangigen Elementar des gleichen Elements kommt infrage. In diesem Fall ist der Dschinn des älteren Paktes auch nicht verärgert, es sei denn, die Probe für den neuen Paktschluss misslingt (Meisterentscheid). Ein Elementar kann einen Sterblichen jederzeit aus seinem Pakt entlassen, wird dies jedoch in der Regel nicht ohne triftigen Grund tun. Der Versuch eines Sterblichen, mit einem anderen Wesen (z. B. einem Feenwesen oder Dämon) oder dem Elementarwesen eines anderen Elements einen Pakt zu schließen, sorgt immer für das Ende eines alten Paktes – und für einen verärgerten Elementar.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;1.0;151;-1.0;Aventurisches_Elementarium;1000;Vorteile eines Paktschlusses
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;2.0;151;-1.0;Aventurisches_Elementarium;1000;Elementare und Menschen schließen einen Pakt üblicherweise, um dadurch gegenseitige Vorteile zu erhalten. Ele-
PDType0Font/PDCIDFontType2, PostScript name: DHHECX+GentiumBasic;false;false;3.0;151;-1.0;Aventurisches_Elementarium;1000;mentare profitieren durch das Bündnis, da Sterbliche so
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;4.0;151;-1.0;Aventurisches_Elementarium;1000;auf Dere ihre Ziele vorantreiben und ihre Interessen wahren. Für Menschen hat der Pakt mit dem Elementar den Vorteil, dass sie dadurch die Hilfe dieser Wesen erhalten oder sogar besondere Fähigkeiten verliehen bekommen.
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;5.0;151;-1.0;Aventurisches_Elementarium;1000;Der Pakt mit Dschinnen
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;6.0;151;-1.0;Aventurisches_Elementarium;1000;Ein Dschinn kann einem Helden mit seinen Kräften oder seiner Magie beistehen. Auch besondere Leistungen sind möglich, so kann der Dschinn dem Helden z. B. einen magischen Gegenstand schenken, den er nutzen kann.
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;7.0;151;-1.0;Aventurisches_Elementarium;1000;Der Pakt mit Elementaren Meistern:
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;8.0;151;-1.0;Aventurisches_Elementarium;1000;Elementare Meister stellen einem Helden neben den bereits erwähnen Hilfen auch Paktgeschenke zur Verfügung. Ist ein Held einen Bund mit einem Elementaren Meister eingegangen, kann dessen Spieler für AP Paktgeschenke kaufen. Pro Elementarpaktstufe darf er 1 Paktgeschenk erwerben. Der Held kann zusätzlich eine neue Schicksalspunkte-Sonderfertigkeit einsetzen, um sich von dem Elementar aus einer lebensbedrohlichen Situation erretten zu lassen. Die Sonderfertigkeit muss zuvor jedoch ebenfalls mittels AP aktiviert werden.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;9.0;151;-1.0;Aventurisches_Elementarium;1300;Elementarrettung I-III
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;10.0;151;-1.0;Aventurisches_Elementarium;1000;Elementare Meister können ihren verbündeten Sterblichen beistehen, sollte ein Schützling dem sicheren Tod ins Auge sehen.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;11.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;12.0;151;-1.0;Aventurisches_Elementarium;1000;Der Elementar rettet den Helden aus einer lebensgefährlichen Situation. Bei einem Elementarpakt der Stufe I kostet dies 3 Schips, bei Stufe II 2 Schips, und bei Stufe III 1 Schip.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;13.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzungen
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;14.0;151;-1.0;Aventurisches_Elementarium;1000;Elementarpakt der entsprechenden Stufe
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;15.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;16.0;151;-1.0;Aventurisches_Elementarium;1000;3/6/9 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;17.0;151;-1.0;Aventurisches_Elementarium;1300;Paktgeschenke
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;18.0;151;-1.0;Aventurisches_Elementarium;1000;Jeder Elementare Meister kann einem Sterblichen, mit dem er einen Pakt eingegangen ist, Paktgeschenke anbieten, die regeltechnische Sonderfertigkeiten sind. Ein Held muss die entsprechenden Voraussetzungen erfüllen und sein Spieler die AP aufwenden, um das Geschenk zu erhalten. Je nach Element des Paktpartners stehen dem Helden unterschiedliche Paktgeschenke zur Verfügung, und für jedes Paktgeschenk ist eine bestimmte Elementarpaktstufe notwendig. Wenn nichts anderes angegeben ist, kostet der Einsatz eines Paktgeschenks den Helden 1 Aktion.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;19.0;151;-1.0;Aventurisches_Elementarium;1300;Elementare Härte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;20.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;21.0;151;-1.0;Aventurisches_Elementarium;1000;Proben auf
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;22.0;151;-1.0;Aventurisches_Elementarium;1000;Selbstbeherrschung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;23.0;151;-1.0;Aventurisches_Elementarium;1000;sind für den Helden um +1 erleichtert und der Held bekommt einen natürlichen RS von +1. Die Wirkung hält 10 Minuten an. Danach erleidet der Held 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;24.0;151;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;25.0;151;-1.0;Aventurisches_Elementarium;1000;.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;26.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;27.0;151;-1.0;Aventurisches_Elementarium;1000;Element Erz,
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;28.0;151;-1.0;Aventurisches_Elementarium;1000;
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;29.0;151;-1.0;Aventurisches_Elementarium;1000;Elementarpakt Stufe I
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;30.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;31.0;151;-1.0;Aventurisches_Elementarium;1000;25 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;32.0;151;-1.0;Aventurisches_Elementarium;1300;Elementare Tarnung
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;33.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;34.0;151;-1.0;Aventurisches_Elementarium;1000;Der Anwender wird innerhalb des Geländes des Elements für andere Kulturschaffende so gut wie unsichtbar, solange er nicht mit ihnen interagiert. Vergleichsproben auf
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;35.0;151;-1.0;Aventurisches_Elementarium;1000;Sinnesschärfe
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;36.0;151;-1.0;Aventurisches_Elementarium;1000;, um ihn zu entdecken, sind zusätzlich um –3 erschwert. Der Einsatz dieser Wirkung hält 6 Stunden an. Danach erleidet der Held 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;37.0;151;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;38.0;151;-1.0;Aventurisches_Elementarium;1000;.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;39.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;40.0;151;-1.0;Aventurisches_Elementarium;1000;Elemente Eis oder Humus, Elementarpakt Stufe I
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;41.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;42.0;151;-1.0;Aventurisches_Elementarium;1000;10 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;43.0;151;-1.0;Aventurisches_Elementarium;1300;Feuersturm
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;44.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;45.0;151;-1.0;Aventurisches_Elementarium;1000;Der Anwender kann innerhalb von 1 Aktion einen Flammenstrahl aus seinen Händen verschießen, der 16 Schritt weit reicht und 2W6+12 TP anrichtet. Der Angriff gilt als Fernkampfangriff und man kann gegen ihn ausweichen oder eine Schilde-PA ablegen. Der Anwender erleidet danach 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;46.0;151;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;47.0;151;-1.0;Aventurisches_Elementarium;1000;.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;48.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;49.0;151;-1.0;Aventurisches_Elementarium;1000;Element Feuer, Elementarpakt Stufe I
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;50.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;51.0;151;-1.0;Aventurisches_Elementarium;1000;20 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;52.0;151;-1.0;Aventurisches_Elementarium;1300;Flugfähigkeit
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;53.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;54.0;151;-1.0;Aventurisches_Elementarium;1000;Der Held kann sich mit GS frei durch die Luft bewegen. Er kann diese Bewegung 5 Minuten aufrechterhalten und erleidet am Ende 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;55.0;151;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;56.0;151;-1.0;Aventurisches_Elementarium;1000;.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;57.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;58.0;151;-1.0;Aventurisches_Elementarium;1000;Element Luft,
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;59.0;151;-1.0;Aventurisches_Elementarium;1000;
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;60.0;151;-1.0;Aventurisches_Elementarium;1000;Elementarpakt Stufe III
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;61.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;62.0;151;-1.0;Aventurisches_Elementarium;1000;25 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;63.0;151;-1.0;Aventurisches_Elementarium;1300;Geschwind
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;64.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;65.0;151;-1.0;Aventurisches_Elementarium;1000;Die GS des Anwender sind um +2 erhöht, seine INI um +4. Nach 1 Stunde endet die Wirkung und er erhält 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;66.0;151;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;67.0;151;-1.0;Aventurisches_Elementarium;1000;.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;68.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;69.0;151;-1.0;Aventurisches_Elementarium;1000;Element Luft Elementarpakt Stufe I
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;70.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;71.0;151;-1.0;Aventurisches_Elementarium;1000;10 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;72.0;151;-1.0;Aventurisches_Elementarium;1300;Immunität gegen elementaren Schaden
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;73.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;74.0;151;-1.0;Aventurisches_Elementarium;1000;Der Held erleidet durch sein Element keinen Schaden. Dies gilt sowohl für die physischen Auswirkungen durch z. B. Brände, Steinschläge als auch für Kampfzauber usw.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;75.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;76.0;151;-1.0;Aventurisches_Elementarium;1000;alle Elemente bis auf Humus und Wasser, Elementarpakt Stufe I
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;77.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;78.0;151;-1.0;Aventurisches_Elementarium;1000;15 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;79.0;151;-1.0;Aventurisches_Elementarium;1300;Kiemen des Barschs
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;80.0;151;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;81.0;151;-1.0;Aventurisches_Elementarium;1000;Der Held kann unter Wasser unbegrenzt atmen, ganz so, als ob er über Kiemen verfügen würde. Der Einsatz dieser Wirkung hält 1 Stunde an. Danach erleidet der Held 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;82.0;151;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;83.0;151;-1.0;Aventurisches_Elementarium;1000;. Seine Atmung an der
PDType0Font/PDCIDFontType2, PostScript name: FNFGET+GentiumBasic;false;false;84.0;151;-1.0;Aventurisches_Elementarium;1000;Luft ist davon unbeeinflusst.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;85.0;151;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;86.0;151;-1.0;Aventurisches_Elementarium;1000;Element Wasser, Elementarpakt Stufe II
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;87.0;151;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;88.0;151;-1.0;Aventurisches_Elementarium;1000;15 Abenteuerpunkte
PDTrueTypeFont VDNWMI+Andalus;false;false;89.0;151;-1.0;Aventurisches_Elementarium;1200;Anhang
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;1.0;152;-1.0;Aventurisches_Elementarium;1300;Kraft des Lebens
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;2.0;152;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;3.0;152;-1.0;Aventurisches_Elementarium;1000;Der Anwender kann mit 1 Aktion 1W6 LeP regenerieren. Maximal kann er diese Fähigkeit dreimal alle 24 Stunden einsetzen. Für jeden Einsatz erhält er 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;4.0;152;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;5.0;152;-1.0;Aventurisches_Elementarium;1000;.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;6.0;152;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;7.0;152;-1.0;Aventurisches_Elementarium;1000;Element Humus oder Wasser,
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;8.0;152;-1.0;Aventurisches_Elementarium;1000;
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;9.0;152;-1.0;Aventurisches_Elementarium;1000;Elementarpakt Stufe I
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;10.0;152;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;11.0;152;-1.0;Aventurisches_Elementarium;1000;20 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;12.0;152;-1.0;Aventurisches_Elementarium;1300;Lodernde Flammensäulen
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;13.0;152;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;14.0;152;-1.0;Aventurisches_Elementarium;1000;Der Anwender kann innerhalb von 1 Aktion bis zu 4 Flammensäulen innerhalb von 16 Schritt erschaffen, die 2W6+15 TP zufügen. Diesem Angriff kann man nur mit einer Ausweichenprobe –2 entgehen. Der Anwender erleidet danach 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;15.0;152;-1.0;Aventurisches_Elementarium;1000;Betäubung
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;16.0;152;-1.0;Aventurisches_Elementarium;1000;.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;17.0;152;-1.0;Aventurisches_Elementarium;1000;Voraussetzung
