FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;22.0;147;-1.0;Aventurisches_Elementarium;1300;Ahnenblut-VorteileDschinnenblut (Eisdschinn)
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;23.0;147;-1.0;Aventurisches_Elementarium;1000;Die Abstammung von einem Eiselementar sorgt dafür, dass Kälte einem kaum mehr etwas anhaben kann.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;24.0;147;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;25.0;147;-1.0;Aventurisches_Elementarium;1000;Der Held kann weist gegen Kälte 2 Stufen Kälteschutz auf (siehe
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;26.0;147;-1.0;Aventurisches_Elementarium;1000;Regelwerk
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;27.0;147;-1.0;Aventurisches_Elementarium;1000;Seite
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;28.0;147;-1.0;Aventurisches_Elementarium;1000;346
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;29.0;147;-1.0;Aventurisches_Elementarium;1000;) und erleidet bei Zustandsstufen
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;30.0;147;-1.0;Aventurisches_Elementarium;1000;Paralyse
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;31.0;147;-1.0;Aventurisches_Elementarium;1000;, die durch Kälte entstehen (z. B. auch bei Zaubern und Liturgien), 1 Stufe weniger (bei 1 Stufe
PDTrueTypeFont BUNGSW+GentiumBasic-Italic;false;true;32.0;147;-1.0;Aventurisches_Elementarium;1000;Paralyse
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;33.0;147;-1.0;Aventurisches_Elementarium;1000;erleidet er keine Stufe, bei 2 Stufen nur 1 Stufe usw.).
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;34.0;147;-1.0;Aventurisches_Elementarium;1000;Voraussetzungen
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;35.0;147;-1.0;Aventurisches_Elementarium;1000;kein anderer Ahnenblut-Vorteil
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;36.0;147;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;37.0;147;-1.0;Aventurisches_Elementarium;1000;10 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;38.0;147;-1.0;Aventurisches_Elementarium;1300;Dschinnenblut (Erzdschinn)
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;39.0;147;-1.0;Aventurisches_Elementarium;1000;Wer von einem Erzdschinn abstammen soll, dem sagt man eine Haut hart wie Stein nach. Dies mag zwar übertrieben sein, doch stimmt es, dass eine Klinge einen Erz-Dschinnengeborenen deutlich schwerer verletzen kann als einen gewöhnlichen Sterblichen.
PDTrueTypeFont VDNWMI+Andalus;false;false;40.0;147;-1.0;Aventurisches_Elementarium;1200;Anhang
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;1.0;148;-1.0;Aventurisches_Elementarium;1000;Regel
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;2.0;148;-1.0;Aventurisches_Elementarium;1000;Der Held weist einen natürlichen RS von 1 auf. Dieser kann mit dem RS von Rüstungen kombiniert werden, aber nur bis zu einem Wert von insgesamt RS 4.
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;3.0;148;-1.0;Aventurisches_Elementarium;1000;Voraussetzungen
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;4.0;148;-1.0;Aventurisches_Elementarium;1000;kein anderer Ahnenblut-Vorteil
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;5.0;148;-1.0;Aventurisches_Elementarium;1000;AP-Wert
PDTrueTypeFont HIKQYK+GentiumBasic;false;false;6.0;148;-1.0;Aventurisches_Elementarium;1000;15 Abenteuerpunkte
PDTrueTypeFont OQBGSW+GentiumBasic-Bold;true;false;7.0;148;-1.0;Aventurisches_Elementarium;1300;Dschinnenblut (Feuerdschinn)
