FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont IFQKGN+GentiumBasic-Bold;true;false;1.0;152;-1.0;Aventurisches_Nekromantäum;1300;Anatomie (Spezies)
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;2.0;152;-1.0;Aventurisches_Nekromantäum;1000;Die Kenntnisse über den inneren Aufbau eines menschlichen (oder zwergischen, orkischen oder grolmischen) Körpers sind in Aventurien selten. Nur an wenigen Orten wie der al’anfanischen Akademie, dem Anatomischen Institut von Vinsalt oder bei mutigen Privatgelehrten kann ein Held das entsprechende Wissen erlangen.
PDTrueTypeFont IFQKGN+GentiumBasic-Bold;true;false;3.0;152;-1.0;Aventurisches_Nekromantäum;1000;Regel
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;4.0;152;-1.0;Aventurisches_Nekromantäum;1000;Ein Held mit Kenntnis des Körperaufbaus einer Spezies ist in der Lage, chirurgische Eingriffe im Körperinneren mit höherer Erfolgswahrscheinlichkeit vorzunehmen. Seine Proben auf
PDTrueTypeFont MAPXJU+GentiumBasic-Italic;false;true;5.0;152;-1.0;Aventurisches_Nekromantäum;1000;Heilkunde Wunden (Amputieren
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;6.0;152;-1.0;Aventurisches_Nekromantäum;1000;,
PDTrueTypeFont MAPXJU+GentiumBasic-Italic;false;true;7.0;152;-1.0;Aventurisches_Nekromantäum;1000;Chirurgie
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;8.0;152;-1.0;Aventurisches_Nekromantäum;1000;oder
PDTrueTypeFont MAPXJU+GentiumBasic-Italic;false;true;9.0;152;-1.0;Aventurisches_Nekromantäum;1000;Knochenbrüche)
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;10.0;152;-1.0;Aventurisches_Nekromantäum;1000;sind um +5 erleichtert.Für jede Spezies muss die SF
PDTrueTypeFont MAPXJU+GentiumBasic-Italic;false;true;11.0;152;-1.0;Aventurisches_Nekromantäum;1000;Anatomie
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;12.0;152;-1.0;Aventurisches_Nekromantäum;1000;einzeln erworben werden.
PDTrueTypeFont IFQKGN+GentiumBasic-Bold;true;false;13.0;152;-1.0;Aventurisches_Nekromantäum;1000;Voraussetzungen
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;14.0;152;-1.0;Aventurisches_Nekromantäum;1000;Heilkunde Wunden 10, kein Nachteil
PDTrueTypeFont MAPXJU+GentiumBasic-Italic;false;true;15.0;152;-1.0;Aventurisches_Nekromantäum;1000;Angst vor Blut
PDTrueTypeFont IFQKGN+GentiumBasic-Bold;true;false;16.0;152;-1.0;Aventurisches_Nekromantäum;1000;AP-Wert
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;17.0;152;-1.0;Aventurisches_Nekromantäum;1000;10 Abenteuerpunkte
PDTrueTypeFont IFQKGN+GentiumBasic-Bold;true;false;18.0;152;-1.0;Aventurisches_Nekromantäum;1300;Nekromant
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;19.0;152;-1.0;Aventurisches_Nekromantäum;1000;Wer bestimmte komplexere Untote erschaffen will, benötigt diese Sonderfertigkeit.
PDTrueTypeFont IFQKGN+GentiumBasic-Bold;true;false;20.0;152;-1.0;Aventurisches_Nekromantäum;1000;Regel
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;21.0;152;-1.0;Aventurisches_Nekromantäum;1000;Durch diese Sonderfertigkeit ist der Zauberer oder Geweihte in der Lage, Untote der Komplexität
PDTrueTypeFont MAPXJU+GentiumBasic-Italic;false;true;22.0;152;-1.0;Aventurisches_Nekromantäum;1000;einfach
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;23.0;152;-1.0;Aventurisches_Nekromantäum;1000;zu erschaffen. Für Untote der Komplexität
PDTrueTypeFont MAPXJU+GentiumBasic-Italic;false;true;24.0;152;-1.0;Aventurisches_Nekromantäum;1000;komplex
PDTrueTypeFont FYCSQT+GentiumBasic;false;false;25.0;152;-1.0;Aventurisches_Nekromantäum;1000;benötigt er zudem ein entsprechendes Berufsgeheimnis.
PDTrueTypeFont IFQKGN+GentiumBasic-Bold;true;false;26.0;152;-1.0;Aventurisches_Nekromantäum;1000;Voraussetzungen
