FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: PAJSFE+Vollkorn-Bold;true;false;12.0;87;-1.0;Das_Dornenreich;900;KunsthandwerkPreis
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;13.0;87;-1.0;Das_Dornenreich;900;Anchopaler Astrolabium
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;14.0;87;-1.0;Das_Dornenreich;900;300 SGorisches Glas20 S (5 HF auf 5 HF)
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;15.0;87;-1.0;Das_Dornenreich;900;Ommdablabader Dablatrommel
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;16.0;87;-1.0;Das_Dornenreich;900;30 S
PDType0Font/PDCIDFontType2, PostScript name: PAJSFE+Vollkorn-Bold;true;false;17.0;87;-1.0;Das_Dornenreich;900;KleidungPreis
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;18.0;87;-1.0;Das_Dornenreich;900;Burnus15 SFez
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;19.0;87;-1.0;Das_Dornenreich;900;10 SGoldschleier50 SHemd
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;20.0;87;-1.0;Das_Dornenreich;900;3 S
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;21.0;87;-1.0;Das_Dornenreich;900;Kaftan
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;22.0;87;-1.0;Das_Dornenreich;900;7,5 SKörperschmuck
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;23.0;87;-1.0;Das_Dornenreich;900;8-10 SPantoffeln2 S
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;24.0;87;-1.0;Das_Dornenreich;900;Pluderhose3 SSeidenschleier
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;25.0;87;-1.0;Das_Dornenreich;900;25 S
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;26.0;87;-1.0;Das_Dornenreich;900;Turban
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;27.0;87;-1.0;Das_Dornenreich;900;0,8 S
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;28.0;87;-1.0;Das_Dornenreich;900;Weste3 SZungenperle15 S
PDType0Font/PDCIDFontType2, PostScript name: PAJSFE+Vollkorn-Bold;true;false;29.0;87;-1.0;Das_Dornenreich;900;Besondere GegenständePreis
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;30.0;87;-1.0;Das_Dornenreich;900;Rahkatza-Statuette
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;31.0;87;-1.0;Das_Dornenreich;900;20 S
