FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;1.0;19;-1.0;Das_Dornenreich;1000;Land & Leute
PDTrueTypeFont WAXNZQ+Vollkorn-Medium;false;false;2.0;19;-1.0;Das_Dornenreich;900;18
PDType0Font/PDCIDFontType2, PostScript name: VJLHLS+JanaThorkPro;false;false;3.0;19;-1.0;Das_Dornenreich;3400;Land & Leute
PDTrueTypeFont ORVHRG+MorrisJensonInitialen-Regular;false;false;4.0;19;-1.0;Das_Dornenreich;4900;O
PDType0Font/PDCIDFontType2, PostScript name: GSWQJW+Vollkorn-Italic;false;true;5.0;19;-1.0;Das_Dornenreich;900;h Aranien, das ist mehr als nur Zorgan, Sahiba! Hier in Zorgan begegnet man zwar der ganzen Welt und ist ganz nahe bei unserer Mhaharani, aber wenn ihr Aranien erleben wollt, dann müsst ihr reisen. Weltoffener als hier wird es nicht mehr und nirgendwo anders werdet ihr größere Söhne und Töchter des Gleichmuts finden. In Zorgan kann jede sie selbst sein.Doch Aranien ist aus fünf Völkern entstanden und heute sind es noch mehr. Allein in Baburien findet ihr eine tsagefällige Vielfalt unter Rondras Segen, ach dem aller Zwölfe – kein Landstrich hat wohl mehr Heilige hervorgebracht und mehr Völkerschaften. Da gibt es Baburen und Nebachoten, Mittelländer und Aranier, sogar Ferkina. Von den Stämmen will ich gar nicht erst anfangen, aber verwech
PDTrueTypeFont XCGONO+Vollkorn-Italic;false;true;6.0;19;-1.0;Das_Dornenreich;900;-
PDType0Font/PDCIDFontType2, PostScript name: GSWQJW+Vollkorn-Italic;false;true;7.0;19;-1.0;Das_Dornenreich;900;selt nie einen Aimaristani mit einem Kharaman.In Palmyramis sind die Leute weniger aufbrausend, zumindest die im Tal, in den Bergen sind es praktisch Wilde, wie im ältesten Tulami
PDTrueTypeFont XCGONO+Vollkorn-Italic;false;true;8.0;19;-1.0;Das_Dornenreich;900;-
PDType0Font/PDCIDFontType2, PostScript name: GSWQJW+Vollkorn-Italic;false;true;9.0;19;-1.0;Das_Dornenreich;900;distan. Die Tal-Palmyrenerinnen wissen den heimeligen Luxus zu schätzen und lassen es sich am Leibesumfang ablesen. Ja, besonders die Frauen – was in Zorgan einem Mann gut zu Gesicht stehen würde, zeigt die Palmyrener Dame lieber am eigenen Leib. Mein Leben wäre es nicht, ich Tochter der Wanderlust reise zu gern. Ob auf dem Rücken eines Kamels durch die Gorische Steppe, dem eines Pferdes über die Transaranica oder mit einem Floß den Gadang herunter. Sogar auf dem Rücken eines Elefanten habe ich schon das Yalaiad erkundet, wo sie es nicht wahrhaben wollen, dass sie zu Aranien gehören.Aussuchen kann Frau es sich nicht, das haben auch die Elburier gelernt. Die sind verschroben wie eh und je, wahre Kinder der Unfreundlich
PDTrueTypeFont XCGONO+Vollkorn-Italic;false;true;10.0;19;-1.0;Das_Dornenreich;900;-
PDTrueTypeFont WAXNZQ+Vollkorn-Medium;false;false;1.0;20;-1.0;Das_Dornenreich;900;19
PDTrueTypeFont CEVSFE+TypeEmbellishmentsOne;false;false;2.0;20;-1.0;Das_Dornenreich;2700;.
PDTrueTypeFont ZXHAPK+MorrisBlackLetter;false;false;3.0;20;-1.0;Das_Dornenreich;1800;Radjarat Zorghana
PDTrueTypeFont CEVSFE+TypeEmbellishmentsOne;false;false;4.0;20;-1.0;Das_Dornenreich;2700;,
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;5.0;20;-1.0;Das_Dornenreich;900;Im Umland der Hauptstadt Zorgan ist die Zentralmacht
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;6.0;20;-1.0;Das_Dornenreich;900;der Mhaharani stark, ihr Sohn Amaryd herrscht als Rad-
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;7.0;20;-1.0;Das_Dornenreich;900;jar über den reichen Landstrich und übt sich in der Staats
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;8.0;20;-1.0;Das_Dornenreich;900;-
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;9.0;20;-1.0;Das_Dornenreich;900;führung. Die Garden von Radjar, Königin und Mada Basa
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;10.0;20;-1.0;Das_Dornenreich;900;-
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;11.0;20;-1.0;Das_Dornenreich;900;ri sorgen für Sicherheit. Mit der Stadt Barbrück und dem Hauptsitz in Zorgan hat der phexgefällige Handelsbund
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;12.0;20;-1.0;Das_Dornenreich;900;Mada Basari sein Zentrum ebenfalls in der Region und
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;13.0;20;-1.0;Das_Dornenreich;900;kontrolliert einen der wichtigsten Handelsknotenpunkte Araniens. Auch im Hafen von Zorgan sind die Agenten der
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;14.0;20;-1.0;Das_Dornenreich;900;Mada Basari aktiv, doch stellt der Orden hier bei weitem
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;15.0;20;-1.0;Das_Dornenreich;900;nicht die einzigen Händler, Karawanen und Schiffe. Aus ganz Aventurien treffen jene in Zorgan zusammen und
PDTrueTypeFont LHIZBM+Vollkorn-Regular;false;false;16.0;20;-1.0;Das_Dornenreich;900;machen die Metropole zu einem bunten Schmelztiegel und
PDType0Font/PDCIDFontType2, PostScript name: UXYBXU+Vollkorn-Regular;false;false;17.0;20;-1.0;Das_Dornenreich;900;die Karawansereien Zorghanas zu Kulturtreffpunkten.Auch die Hofhaltung der Mhaharansfamilie prägt die Re
