FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont URZHBK+Vollkorn-Regular;false;false;1.0;19;-1.0;Die_Echsensümpfe;1000;Land & Leute
PDTrueTypeFont HNNHBK+Vollkorn-Medium;false;false;2.0;19;-1.0;Die_Echsensümpfe;900;18
PDTrueTypeFont GWBBNM+JanaThorkPro;false;false;3.0;19;-1.0;Die_Echsensümpfe;3400;Land & Leute
PDTrueTypeFont GMXWNM+MorrisJensonInitialen-Regular;false;false;4.0;19;-1.0;Die_Echsensümpfe;4900;E
PDType0Font/PDCIDFontType2, PostScript name: WPZODG+Vollkorn-Italic;false;true;5.0;19;-1.0;Die_Echsensümpfe;900;inst, als mein Volk groß und mächtig war, erstreckte sich unser Reich vom heiligen Grenzfluss H’Kuir weit nach Süden, bis ins Dracrr’Zchch, jenes Gebirge, welches ihr Regengebirge nennt, und bis zu den Azl’Tzirtsatach, den Bunten Inseln. Zze Tha blühte dort, wo heute nur noch Sand ist, Yash’Hualay blühte, Raxx’Mal, H’Rezxem und H’Rabaal blühten und schließlich blühte auch Elem, das letzte Juwel, dessen geliehenen Glanz die Warmblüter meinem Volk verdankten. Doch Elem fiel wie auch Yash’Hualay und Raxx’Mal fielen und auch H’Rexxem und H’Rabaal sind nur noch Schatten ihrer selbst. Heute sind uns nur die Sümpfe von Zsakssh’Ksh und Cha’Uchch’Ksziss, die ihr schlicht Echsensümpfe heißt, geblieben. Ihr denkt, dass wir nur noch in Ruinen hausen und alles vergessen haben, was uns einst zu einem großen Volk machte. Doch nein, wir heißen Achaz, das Ewige Volk. So wie unsere einzelnen Seelen immer in einem neuen Körper wiedergeboren werden, so wird auch eines Tages unser ganzes Volk wie
PDTrueTypeFont LWKAFC+Vollkorn-Italic;false;true;6.0;19;-1.0;Die_Echsensümpfe;900;-
PDTrueTypeFont HNNHBK+Vollkorn-Medium;false;false;1.0;20;-1.0;Die_Echsensümpfe;900;19
PDTrueTypeFont KKXURE+TypeEmbellishmentsOne;false;false;2.0;20;-1.0;Die_Echsensümpfe;2700;.
PDTrueTypeFont JLNODG+MorrisBlackLetter;false;false;3.0;20;-1.0;Die_Echsensümpfe;1800;Die Szinto-Mündung
PDTrueTypeFont KKXURE+TypeEmbellishmentsOne;false;false;4.0;20;-1.0;Die_Echsensümpfe;2700;,
