FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont LQGBZW+Vollkorn-SemiBold;true;false;41.0;87;-1.0;Die_Flusslande;900;WerkzeugePreis
PDTrueTypeFont PGNEDO+Vollkorn-Regular;false;false;42.0;87;-1.0;Die_Flusslande;1000;Holzhammer3 SilbertalerKoscher Grevenstecken18 Silbertaler
PDTrueTypeFont TCHXHG+TypeEmbellishmentsOne;false;false;43.0;87;-1.0;Die_Flusslande;2700;.
PDTrueTypeFont TCHXHG+TypeEmbellishmentsOne;false;false;44.0;87;-1.0;Die_Flusslande;2400;
PDTrueTypeFont RZILFK+MorrisBlackLetter;false;false;45.0;87;-1.0;Die_Flusslande;1800;Handel & Dienstleistungen
PDTrueTypeFont VFGJJC+Vollkorn-Medium;false;false;1.0;88;-1.0;Die_Flusslande;1200;87
PDTrueTypeFont PGNEDO+Vollkorn-Regular;false;false;2.0;88;-1.0;Die_Flusslande;1000;SchmiedewerkzeugunterschiedlichVorschlaghammer30 Silbertaler
PDTrueTypeFont LQGBZW+Vollkorn-SemiBold;true;false;3.0;88;-1.0;Die_Flusslande;900;KleidungPreis
PDTrueTypeFont PGNEDO+Vollkorn-Regular;false;false;4.0;88;-1.0;Die_Flusslande;1000;Bäckerschürze6 SilbertalerBarett1 SilbertalerBrauerschürze15 SilbertalerGugel2 SilbertalerHaube0,5 SilbertalerHolzpantinen4 SilbertalerHose3 SilbertalerKappe2 SilbertalerKittel1 SilbertalerSchaube50 SilbertalerSchmiedeschürze25 SilbertalerSchuhe5 SilbertalerSchürze1 SilbertalerStiefel12 SilbertalerTracht12 SilbertalerWams7 Silbertaler
PDTrueTypeFont LQGBZW+Vollkorn-SemiBold;true;false;5.0;88;-1.0;Die_Flusslande;900;KunsthandwerkPreis
PDTrueTypeFont PGNEDO+Vollkorn-Regular;false;false;6.0;88;-1.0;Die_Flusslande;1000;Addiermaschine2.000 SilbertalerAngbarer Handpuppe3 SilbertalerBottich, 15 l2 SilbertalerFass, 60 l12 Silbertaler
PDType0Font/PDCIDFontType2, PostScript name: ULAIVE+Vollkorn-Regular;false;false;7.0;88;-1.0;Die_Flusslande;1000;Ferdoker Zinnfigur
PDTrueTypeFont PGNEDO+Vollkorn-Regular;false;false;8.0;88;-1.0;Die_Flusslande;1000;4 SilbertalerHolzeimer, 5 l3 SilbertalerHügelzwergische Pfeife15 SilbertalerKoschbasalt-Kästchen100 SilbertalerZinsspindel6.000 SilbertalerZwergisches Essgeschirr aus Zinn30 SilbertalerZwergisches Schloss100 Silbertaler
