FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont VFGJJC+Vollkorn-Medium;false;false;1.0;22;-1.0;Die_Flusslande;1200;21
PDType0Font/PDCIDFontType2, PostScript name: JSLUXA+JanaThorkPro;false;false;2.0;22;-1.0;Die_Flusslande;3400;Land & Leute
PDTrueTypeFont XQIQLY+MorrisJensonInitialen-Regular;false;false;3.0;22;-1.0;Die_Flusslande;5500;A
PDType0Font/PDCIDFontType2, PostScript name: GGTXHG+Vollkorn-Italic;false;true;4.0;22;-1.0;Die_Flusslande;900;ber natürlich gibt es auf unserer Reise viel zu sehen, meine Süße, glaub deinem miesepetrigen Vater bloß kein Wort. Erst reisen wir nach Ferdok, wo dieses berühmte Bier herkommt. Tja und dann, Liebes, werden wir einen Flusskahn besteigen und auf Efferds Wogen durch das Land gleiten. Glaub mir, es gibt nichts Schöneres, als vom Deck aus die Landschaft zu beobachten, die saftigen Felder, die schneebedeckten Koschberge in der Ferne, und über allem kreisen die Adler. Und dann erst Albenhus! Liebes, ich sag dir, da werden wir nicht nur ein richtig gutes Geschäft machen, nein, da wird es dir gefallen. Und überall Zwerge, man kann gutes Gold im Handel mit ihnen verdienen. Außerdem ist es dann nicht mehr weit bis zur Kaiserpfalz in Weidleth, und mit etwas Glück sind wir da, wenn auch der Kaiserhof Halt macht. Ja, ganz genau, unsere geliebte Kaiserin, und wenn Phex uns hold ist, dürfen wir ihr sogar ein Geschenk überbringen. Kannst du dir überhaupt vorstellen, was das für uns bedeutet? Sag mal, hörst du mir überhaupt noch zu? Diese Jugend von heute, erst Fragen stellen und dann träumend in den Himmel starren ... na, dann pack wenigstens die guten Waren unten in die Säcke mit dem Buchweizen, wir wollen ja nicht, dass die Flusspiraten uns alles wegnehmen, was wir der Kaiserin anbieten könnten.
PDTrueTypeFont CAVUDO+Vollkorn-Italic;false;true;5.0;22;-1.0;Die_Flusslande;900;—
PDType0Font/PDCIDFontType2, PostScript name: GGTXHG+Vollkorn-Italic;false;true;6.0;22;-1.0;Die_Flusslande;900;der garetische Fernhändler Raul Winterkalt zu seiner fünfzehnjährigen Enkelin Rovena, Tsa 1040 BF
PDTrueTypeFont XQIQLY+MorrisJensonInitialen-Regular;false;false;7.0;22;-1.0;Die_Flusslande;5500;L
PDType0Font/PDCIDFontType2, PostScript name: GGTXHG+Vollkorn-Italic;false;true;8.0;22;-1.0;Die_Flusslande;900;ieber Vater,leider schreibe ich dir nicht aus Elenvina, wo unsere Waren dringend erwartet werden, sondern aus einem Kaff namens Twer
PDTrueTypeFont CAVUDO+Vollkorn-Italic;false;true;9.0;22;-1.0;Die_Flusslande;900;-
PDType0Font/PDCIDFontType2, PostScript name: GGTXHG+Vollkorn-Italic;false;true;10.0;22;-1.0;Die_Flusslande;900;genhausen. Großvater ist hier bei einem Heiler untergekommen, weil er ... ja, es ist eine lange Geschichte. Jedenfalls hat er zu den Leuten auf unserem Flussschiff ein paar Dinge gesagt, die nicht nett waren, und dann gab es eine Prügelei. Jetzt sitzen wir hier fest, bis Großvater wieder selbst laufen und mehr als Brei essen kann. Aber gräme dich nicht, denn Phex ist mit mir! In ein paar Tagen soll es hier eine Messe für Metallwaren geben, bei der ich sicher gute, zwergische Waren für den Heimweg sichern kann. Hab unterwegs ein paar Brocken ihrer Sprache gelernt, und irgendwie glaube ich, sie mögen mich, weil ich kaum größer bin als sie ...
