FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;1.0;83;-1.0;Die_Siebenwindküste;1000;Handel & Wandel
PDTrueTypeFont RHIWUL+Vollkorn-Medium;false;false;2.0;83;-1.0;Die_Siebenwindküste;900;82
PDTrueTypeFont WHRVMB+TypeEmbellishmentsOne;false;false;3.0;83;-1.0;Die_Siebenwindküste;2700;.
PDTrueTypeFont WHRVMB+TypeEmbellishmentsOne;false;false;4.0;83;-1.0;Die_Siebenwindküste;2400;
PDTrueTypeFont UESJKF+MorrisBlackLetter;false;false;5.0;83;-1.0;Die_Siebenwindküste;1800;Recht & Gesetz
PDTrueTypeFont WHRVMB+TypeEmbellishmentsOne;false;false;6.0;83;-1.0;Die_Siebenwindküste;2700;,
PDType0Font/PDCIDFontType2, PostScript name: HIEEKF+Vollkorn-Italic;false;true;7.0;83;-1.0;Die_Siebenwindküste;900;»Im Namen des unergründlichen Efferd, des Tobenden, gegen des
PDTrueTypeFont BZCUER+Vollkorn-Italic;false;true;8.0;83;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: HIEEKF+Vollkorn-Italic;false;true;9.0;83;-1.0;Die_Siebenwindküste;900;sen alte Gebote du verstoßen hast, und im Namen der Gemeinschaft aller rechtschaffenden Kapitäne, verurteile ich dich wegen schänd
PDTrueTypeFont BZCUER+Vollkorn-Italic;false;true;10.0;83;-1.0;Die_Siebenwindküste;900;-licher Piraterie und damit wegen des Hämmerns an der gottgege-
PDType0Font/PDCIDFontType2, PostScript name: HIEEKF+Vollkorn-Italic;false;true;11.0;83;-1.0;Die_Siebenwindküste;900;benen Ordnung sowie wegen Verstoßes gegen die Gesetze der Bran
PDTrueTypeFont BZCUER+Vollkorn-Italic;false;true;12.0;83;-1.0;Die_Siebenwindküste;900;-dung und der Gischt zum Tode durch den Strick. Es kann weder
PDType0Font/PDCIDFontType2, PostScript name: HIEEKF+Vollkorn-Italic;false;true;13.0;83;-1.0;Die_Siebenwindküste;900;Gnade noch Mitleid für dich geben, also mach’ deinen Frieden mit den Göttern. Das Urteil wird im Morgengrauen vollstreckt.«
PDTrueTypeFont BZCUER+Vollkorn-Italic;false;true;14.0;83;-1.0;Die_Siebenwindküste;900;—Kapitän Caerwyn ui Merodin, Haupt des Havener Rats der Kapitäne, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;15.0;83;-1.0;Die_Siebenwindküste;900;Als Provinzen des Mittelreiches gelten in Albernia und dem Windhag die Rechtsgrundlagen des Raulschen Rei
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;16.0;83;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;17.0;83;-1.0;Die_Siebenwindküste;900;ches, allen voran der Codex Raulis und das Ius Concordia sowie das Garether Pamphlet (siehe
PDType0Font/PDCIDFontType2, PostScript name: STQXIJ+Vollkorn-Bold;true;false;18.0;83;-1.0;Die_Siebenwindküste;900;Aventurischer Al
PDTrueTypeFont JDFVMB+Vollkorn-Bold;true;false;19.0;83;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: STQXIJ+Vollkorn-Bold;true;false;20.0;83;-1.0;Die_Siebenwindküste;900;manach
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;21.0;83;-1.0;Die_Siebenwindküste;900;Seite
PDTrueTypeFont JDFVMB+Vollkorn-Bold;true;false;22.0;83;-1.0;Die_Siebenwindküste;900;140
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;23.0;83;-1.0;Die_Siebenwindküste;900;).Der Fürst ist die höchste Autorität in allen Rechtsfragen und kann Gesetze erlassen oder aufheben, solange sie nicht dem Kaiserrecht zuwiderlaufen. Der lokale Adel herrscht in Albernia und dem Windhag sehr eigenmäch
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;24.0;83;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;25.0;83;-1.0;Die_Siebenwindküste;900;tig, aber weil der Anteil der Freien außergewöhnlich hoch ist, haben sich einige Besonderheiten entwickelt. So erle
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;26.0;83;-1.0;Die_Siebenwindküste;900;-
