FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RHIWUL+Vollkorn-Medium;false;false;1.0;22;-1.0;Die_Siebenwindküste;900;21
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;2.0;22;-1.0;Die_Siebenwindküste;900;Im weiten Abagund findet man ganz unterschiedliche Menschenschläge, denn die einzelnen Landesteile wurden in der Vergangenheit durch verschiedene Herrscher ge
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;3.0;22;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;4.0;22;-1.0;Die_Siebenwindküste;900;prägt. Im Westen bezeichnen sich die Familien als Fluss
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;5.0;22;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;6.0;22;-1.0;Die_Siebenwindküste;900;leute und verweisen stolz auf ihr thorwalsches Erbe, wäh
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;7.0;22;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;8.0;22;-1.0;Die_Siebenwindküste;900;rend der alte Adel in Bredenhag und Honingen sie noch immer skeptisch beäugt, obwohl sie sich das Land doch schon seit so vielen Jahrhunderten teilen. Gemein scheint den Abagundern ihr nachtragendes Gemüt zu sein. Oft wird ein erlittenes Unrecht auch noch nach Jahren oder so
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;9.0;22;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;10.0;22;-1.0;Die_Siebenwindküste;900;gar in der nächsten Generation nicht vergessen.
PDType0Font/PDCIDFontType2, PostScript name: STQXIJ+Vollkorn-Bold;true;false;11.0;22;-1.0;Die_Siebenwindküste;900;Wirtschaft & Handel
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;12.0;22;-1.0;Die_Siebenwindküste;900;In großer Zahl gehandelt werden Produkte, die aus der Viehzucht erwachsen, seien es Würs
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;13.0;22;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;14.0;22;-1.0;Die_Siebenwindküste;900;te, Leder oder Tuche, die aus der Wolle der Heidschnucken und anderer Schafe gewebt werden. In den großen Städten werden zudem Handel und Handwerkskunst hochgehal
PDTrueTypeFont ELURUL+Vollkorn-Regular;false;false;15.0;22;-1.0;Die_Siebenwindküste;900;-
PDType0Font/PDCIDFontType2, PostScript name: LYGHOX+Vollkorn-Regular;false;false;16.0;22;-1.0;Die_Siebenwindküste;900;ten. Honigen kann mit einer großen Markthalle und einem Viehmarkt aufwarten und ist für seinen Honig und die zahlreichen Seifensieder und Papiermacher bekannt. In Abilacht, wo das Geburtshaus des Ingerimmheiligen Rhÿs des Schnitters steht, fühlt man sich dem Handwerk besonders verbunden, erhebt sich hier doch einer der wichtigsten Ingerimmtempel Aventuriens.
PDType0Font/PDCIDFontType2, PostScript name: STQXIJ+Vollkorn-Bold;true;false;17.0;22;-1.0;Die_Siebenwindküste;1100;Der Gundelwald und das Krummholz
PDTrueTypeFont BZCUER+Vollkorn-Italic;false;true;18.0;22;-1.0;Die_Siebenwindküste;900;»Dereinst war das Abagund von undurchdringlichen Wäldern bestanden. Jahrhundertealte Buchen erhoben sich dicht
PDType0Font/PDCIDFontType2, PostScript name: HIEEKF+Vollkorn-Italic;false;true;19.0;22;-1.0;Die_Siebenwindküste;900;an dicht, und mächtige Eichen waren vielerorts zu finden. Mit der Ankunft der Siedler jedoch fiel Baum um Baum den Äxten zum Opfer, bis der Zorn der Feen erwachte und sie den
PDTrueTypeFont BZCUER+Vollkorn-Italic;false;true;20.0;22;-1.0;Die_Siebenwindküste;900;Menschen verboten, weiterhin Holz zu schlagen. Wenig ist bekannt, wie diese Wesen ihre Forderung durchsetzten, aber es muss eindringlich gewesen sein, denn niemals wieder wurde in den letzten Wäldern ungefragt Holzeinschlag betrieben. Manche munkeln von ganzen Heeren von Waldschraten, die ihre Heimat verteidigten, andere glauben zu wissen, dass die Siedler ihren Verstand verloren oder gänzlich aus dieser Welt gerissen wurden. Geblieben ist seither der Gundelwald, der letzte urtümliche Wald des Abagund. Auf dem Gebiet der Baronien Draustein und Crumold gelegen, spinnen sich viele Sagen um dieses düstere Gehölz. Von übelwollenden Wald-
PDType0Font/PDCIDFontType2, PostScript name: HIEEKF+Vollkorn-Italic;false;true;21.0;22;-1.0;Die_Siebenwindküste;900;schraten ist die Rede, von finsteren Druiden, zwielichtigen
