FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;1.0;17;-1.0;Die_Winterwacht;1000;Land & Leute
PDTrueTypeFont HWHNIF+Vollkorn-Medium;false;false;2.0;17;-1.0;Die_Winterwacht;900;16
PDTrueTypeFont DGFKEN+JanaThorkPro;false;false;3.0;17;-1.0;Die_Winterwacht;3400;Land & Leute
PDTrueTypeFont UBMYIF+MorrisJensonInitialen-Regular;false;false;4.0;17;-1.0;Die_Winterwacht;4900;D
PDType0Font/PDCIDFontType2, PostScript name: BOYOCR+Vollkorn-Italic;false;true;5.0;17;-1.0;Die_Winterwacht;900;as Bornland ist meine Heimat! Ich stamme aus der Mark, dort wo der Born aus dem großen dunklen Wald kommt, in wel
PDTrueTypeFont YHPWMX+Vollkorn-Italic;false;true;6.0;17;-1.0;Die_Winterwacht;900;-
PDTrueTypeFont HWHNIF+Vollkorn-Medium;false;false;1.0;18;-1.0;Die_Winterwacht;900;17
PDTrueTypeFont LVABMX+TypeEmbellishmentsOne;false;false;2.0;18;-1.0;Die_Winterwacht;2700;.
PDTrueTypeFont LVABMX+TypeEmbellishmentsOne;false;false;3.0;18;-1.0;Die_Winterwacht;2400;
PDTrueTypeFont KRQVYZ+MorrisBlackLetter;false;false;4.0;18;-1.0;Die_Winterwacht;1800;Das Ïestenland
PDTrueTypeFont LVABMX+TypeEmbellishmentsOne;false;false;5.0;18;-1.0;Die_Winterwacht;2700;,
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;6.0;18;-1.0;Die_Winterwacht;900;Wenn Südaventurier an das Bornland denken, so kommen ihnen zumeist einflussreiche Händlerinnen und Bürger
PDTrueTypeFont PYEEQP+Vollkorn-Regular;false;false;7.0;18;-1.0;Die_Winterwacht;900;-
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;8.0;18;-1.0;Die_Winterwacht;900;liche in den Sinn, die im Streit mit rondrianisch gesinn
PDTrueTypeFont PYEEQP+Vollkorn-Regular;false;false;9.0;18;-1.0;Die_Winterwacht;900;-
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;10.0;18;-1.0;Die_Winterwacht;900;ten, traditionsbewussten Adligen liegen, oder eine stolze Handelsflotte, die von Abgängern von Krieger- und Ma
PDTrueTypeFont PYEEQP+Vollkorn-Regular;false;false;11.0;18;-1.0;Die_Winterwacht;900;-
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;12.0;18;-1.0;Die_Winterwacht;900;gierakademien geschützt wird. Das Festenland wird diesen Vorstellungen gerecht. Hier zeigt sich der Konflikt zwi
PDTrueTypeFont PYEEQP+Vollkorn-Regular;false;false;13.0;18;-1.0;Die_Winterwacht;900;-
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;14.0;18;-1.0;Die_Winterwacht;900;schen Bronnjaren und Bürgern am deutlichsten. Es wird von der Metropole Festum, einer der größten Städte Aven
PDTrueTypeFont PYEEQP+Vollkorn-Regular;false;false;15.0;18;-1.0;Die_Winterwacht;900;-
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;16.0;18;-1.0;Die_Winterwacht;900;turiens, dominiert. Den größten Einfluss haben hier die sprichwörtlichen
PDType0Font/PDCIDFontType2, PostScript name: BOYOCR+Vollkorn-Italic;false;true;17.0;18;-1.0;Die_Winterwacht;900;Festumer Pfeffersäcke
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;18.0;18;-1.0;Die_Winterwacht;900;, mächtige Händler, in deren Schuld dutzende Adlige des Landes stehen. Die
PDTrueTypeFont PYEEQP+Vollkorn-Regular;false;false;19.0;18;-1.0;Die_Winterwacht;900;-
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;20.0;18;-1.0;Die_Winterwacht;900;se Adligen sehen sich wiederum als Bewohner der wahren Kernlande der Theaterritter und ihre rechtmäßigen Erben und halten Traditionen besonders hoch. Der Streit beider Parteien wird durch kirchliche Uneinigkeiten befeuert, wenn die alteingesessene Rondrakirche das Aufstreben der Korkirche, deren Anhänger als Söldner in Diensten von Händlern stehen, scharf verurteilt und zu verhindern versucht.Entlang der Garbelner Dünenküste bis Neersand erstreckt sich der am stärksten besiedelte Teil des Bornlands. Doch bereits im Hinterland liegen dichte Wälder, und die Ausei
PDTrueTypeFont PYEEQP+Vollkorn-Regular;false;false;21.0;18;-1.0;Die_Winterwacht;900;-
PDType0Font/PDCIDFontType2, PostScript name: AJVXOT+Vollkorn-Regular;false;false;22.0;18;-1.0;Die_Winterwacht;900;nandersetzungen zwischen Handel und Adel oder der Kor- und Rondrakirche werden vom Erwachen des Landes (siehe Seite
PDTrueTypeFont LNCBMX+Vollkorn-Bold;true;false;23.0;18;-1.0;Die_Winterwacht;900;96
