FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;8.0;12;-1.0;Divinarium;1000;Eidsegen
PDType1CFont YUYAGX+Litania-Regular;false;false;9.0;12;-1.0;Divinarium;900;Der Geweihte lässt jemanden einen Eid ablegen. Der Gesegnete empfindet den Eid als bindend und kann sich diesem nur durch eine Probe entziehen. Der Eidsprechende muss den Eid freiwillig leisten. Der Eid kann nur durch eine Probe auf Willenskraft erschwert um –1 gebrochen werden.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;10.0;12;-1.0;Divinarium;800;Reichweite:
PDType1CFont YUYAGX+Litania-Regular;false;false;11.0;12;-1.0;Divinarium;900;4 Schritt
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;12.0;12;-1.0;Divinarium;800;Wirkungsdauer:
PDType1CFont YUYAGX+Litania-Regular;false;false;13.0;12;-1.0;Divinarium;900;1 Jahr
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;14.0;12;-1.0;Divinarium;800;Zielkategorie:
PDType1CFont YUYAGX+Litania-Regular;false;false;15.0;12;-1.0;Divinarium;900;Kulturschaffende
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;16.0;12;-1.0;Divinarium;800;Verbreitung:
PDType1CFont YUYAGX+Litania-Regular;false;false;17.0;12;-1.0;Divinarium;900;allgemein, Praios, Chr’Ssir’Ssr, Ifirn, Kor, Marbo, Nandus, Numinoru, Shinxir, Swafnir
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;18.0;12;-1.0;Divinarium;800;Stoßgebete:
PDType1CFont VAIDQD+DSASymboleRegular;false;false;19.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;20.0;12;-1.0;Divinarium;900;allgemein: „Aus den Schatten, ins Licht. Deine Worte wurden vernommen, [Name der Gottheit] sieht dich!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;21.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;22.0;12;-1.0;Divinarium;900;Praios: „Diene dem Licht! Diene der Wahrheit! Praios sieht dich! In seinem Licht sei gebunden!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;23.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;24.0;12;-1.0;Divinarium;900;Chr’Ssir’Ssr: „Der Blitz trifft Lügner im starren Blick des Himmelsgottes! Schwöre!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;25.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;26.0;12;-1.0;Divinarium;900;Ifirn: „Sei gebunden vor Ifirns mildem Blick. Treue mit dir in Herz und Handeln! Ifirn kennt dich!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;27.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;28.0;12;-1.0;Divinarium;900;Kor: „Lügen bezahle mit Blut. Betrüge Kor und dein Innerstes wird nach außen gekehrt. Korshar!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;29.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;30.0;12;-1.0;Divinarium;900;Marbo: „Jedes gebrochene Wort ist ein kleiner Tod. Halte lebendig, was du Marbo gibst, oder vergehe.“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;31.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;32.0;12;-1.0;Divinarium;900;Nandus: „Bei Nandus’ verborgenem Wissen, dein Eid wurde gehört und angenommen. Nandushar!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;33.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;34.0;12;-1.0;Divinarium;900;Numinoru: „Deine Zukunft sehe ich, deinen Frevel kenne ich, deinen Eid segne ich. Sei! Werde!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;35.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;36.0;12;-1.0;Divinarium;900;Shinxir: „Standhaft halte fest! Beuge dich nicht dem Dunkel der Lüge! Hoch das Banner! Wehe!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;37.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;38.0;12;-1.0;Divinarium;900;Swafnir: „Aus tiefem Geist tauche hervor und beuge dich nicht dem Sog am Rande der Klippen. Wohl!“
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;39.0;12;-1.0;Divinarium;1000;Feuersegen
PDType1CFont YUYAGX+Litania-Regular;false;false;40.0;12;-1.0;Divinarium;900;Auf der Handfläche oder dem Zeigefinger des Geweihten entsteht eine kleine Flamme, die einen Raum erhellt oder ausreicht, um eine Kerze zu entzünden. Der Geweihte kann durch die Flamme nicht verletzt werden (wohl aber durch Flammen, die durch den Feuersegen entzündet werden). Die Helligkeit der Flamme entspricht einer gewöhnlichen Kerze normaler Machart.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;41.0;12;-1.0;Divinarium;800;Reichweite:
PDType1CFont YUYAGX+Litania-Regular;false;false;42.0;12;-1.0;Divinarium;900;selbst
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;43.0;12;-1.0;Divinarium;800;Wirkungsdauer:
PDType1CFont YUYAGX+Litania-Regular;false;false;44.0;12;-1.0;Divinarium;900;5 Minuten
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;45.0;12;-1.0;Divinarium;800;Zielkategorie:
PDType1CFont YUYAGX+Litania-Regular;false;false;46.0;12;-1.0;Divinarium;900;Kulturschaffende
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;47.0;12;-1.0;Divinarium;800;Verbreitung:
PDType1CFont YUYAGX+Litania-Regular;false;false;48.0;12;-1.0;Divinarium;900;allgemein, Ingerimm, Aves, Ifirn, Kor, Levthan, Marbo, Shinxir
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;49.0;12;-1.0;Divinarium;800;Stoßgebete:
PDType1CFont VAIDQD+DSASymboleRegular;false;false;50.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;51.0;12;-1.0;Divinarium;900;allgemein: „Deine göttliche Flamme sei mit mir! Dunkelheit weiche!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;52.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;53.0;12;-1.0;Divinarium;900;Ingerimm: „Herr Ingerimm, entzünde Dein heiliges Feuer!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;54.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;55.0;12;-1.0;Divinarium;900;Aves: „Wandervogel, schick mir eine Flamme, die mein Herz erwärmt und mir den Weg leuchtet.“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;56.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;57.0;12;-1.0;Divinarium;900;Ifirn: „Schwanengleiche, gewähre uns Milde und Wärme. Schenke uns eine Flamme, vor der die Kälte weicht.“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;58.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;59.0;12;-1.0;Divinarium;900;Kor: „Kor, lass lodern! Sende mir Deinen feurigen Zorn!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;60.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;61.0;12;-1.0;Divinarium;900;Levthan: „Levthan, lass das Feuer meiner Lenden und meiner Lust zu einer echten Flamme werden!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;62.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;63.0;12;-1.0;Divinarium;900;Marbo: „Marbo, lass mich sehen! Schenke mir Feuer!“
PDType1CFont VAIDQD+DSASymboleRegular;false;false;64.0;12;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;65.0;12;-1.0;Divinarium;900;Shinxir: „Herr der Legionen, gewähre mir Feuer! Lodernde Flammen weisen uns den Weg zum Sieg!“
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;66.0;12;-1.0;Divinarium;1000;Geburtssegen
PDTrueTypeFont DMJEYN+Dominican;false;false;1.0;13;-1.0;Divinarium;1500;11
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;2.0;13;-1.0;Divinarium;800;Reichweite:
PDType1CFont YUYAGX+Litania-Regular;false;false;3.0;13;-1.0;Divinarium;900;Berührung
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;4.0;13;-1.0;Divinarium;800;Wirkungsdauer:
