FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont DMJEYN+Dominican;false;false;1.0;240;-1.0;Divinarium;1500;238
PDTrueTypeFont RZJKML+SolberaImitation-SC700;false;false;2.0;240;-1.0;Divinarium;9800;A
PDTrueTypeFont OXVSWR+PrimitiveNew;false;false;3.0;240;-1.0;Divinarium;3200;chtung
PDTrueTypeFont OXVSWR+PrimitiveNew;false;false;4.0;240;-1.0;Divinarium;2000;(Exkommunikation)
PDType1CFont YUYAGX+Litania-Regular;false;false;5.0;240;-1.0;Divinarium;900;Frevelt eine Person im groben Maße gegen die Gebote einer Gottheit, kann sie von deren Dienern der göttlichen Gnade enthoben werden.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;6.0;240;-1.0;Divinarium;800;Probe:
PDType1CFont YUYAGX+Litania-Regular;false;false;7.0;240;-1.0;Divinarium;900;MU/IN/CH (modifiziert um SK)
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;8.0;240;-1.0;Divinarium;800;Wirkung:
PDType1CFont YUYAGX+Litania-Regular;false;false;9.0;240;-1.0;Divinarium;900;Die betroffene Person wird aus dem Kreis der Initiaten des Pantheons ausgestoßen und erhält den Makel des Frevlers (siehe
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;10.0;240;-1.0;Divinarium;800;Aventurisches Götterwirken
PDType1CFont YUYAGX+Litania-Regular;false;false;11.0;240;-1.0;Divinarium;900;Seite
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;12.0;240;-1.0;Divinarium;800;71
PDType1CFont YUYAGX+Litania-Regular;false;false;13.0;240;-1.0;Divinarium;900;bzw.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;14.0;240;-1.0;Divinarium;800;Kodex des Götterwirkens
PDType1CFont YUYAGX+Litania-Regular;false;false;15.0;240;-1.0;Divinarium;900;). Die Berührung muss nicht über die ganze Dauer der Exkommunikation erfolgen, dies ist von Kult zu Kult unterschiedlich. Die Meisterin hat hierbei das letzte Wort. Geweihte des Pantheons können nicht von dieser Zeremonie betroffen sein.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;16.0;240;-1.0;Divinarium;800;Zeremoniedauer:
PDType1CFont YUYAGX+Litania-Regular;false;false;17.0;240;-1.0;Divinarium;900;30 Minuten
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;18.0;240;-1.0;Divinarium;800;KaP-Kosten:
PDType1CFont YUYAGX+Litania-Regular;false;false;19.0;240;-1.0;Divinarium;900;16 KaP, davon 2 KaP permanent (Kosten sind nicht modifizierbar)
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;20.0;240;-1.0;Divinarium;800;Reichweite:
PDType1CFont YUYAGX+Litania-Regular;false;false;21.0;240;-1.0;Divinarium;900;Berührung
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;22.0;240;-1.0;Divinarium;800;Wirkungsdauer:
PDType1CFont YUYAGX+Litania-Regular;false;false;23.0;240;-1.0;Divinarium;900;permanent bzw. bis zur Buße
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;24.0;240;-1.0;Divinarium;800;Zielkategorie:
PDType1CFont YUYAGX+Litania-Regular;false;false;25.0;240;-1.0;Divinarium;900;Kulturschaffende (Initiat des Pantheons des Geweihten)
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;26.0;240;-1.0;Divinarium;800;Verbreitung:
PDType1CFont YUYAGX+Litania-Regular;false;false;27.0;240;-1.0;Divinarium;900;allgemein, allgemein (Schamanenritus)
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;28.0;240;-1.0;Divinarium;800;Steigerungsfaktor:
PDType1CFont YUYAGX+Litania-Regular;false;false;29.0;240;-1.0;Divinarium;900;D
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;30.0;240;-1.0;Divinarium;800;Liturgieerweiterungen:
PDType1CFont VAIDQD+DSASymboleRegular;false;false;31.0;240;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;32.0;240;-1.0;Divinarium;900;Geweihten-Exkommunikation 1 (FW 8, 4 AP): Auch Geweihte sind von der Zeremonie betroffen. Sie können nach der Exkommunikation kein Karma mehr regenerieren.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;33.0;240;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;34.0;240;-1.0;Divinarium;900;Größere Reichweite (FW 10, 4 AP): Die Reichweite ist unbegrenzt. Das Ziel muss dem Geweihten persönlich bekannt sein.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;35.0;240;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;36.0;240;-1.0;Divinarium;900;Für immer exkommuniziert (FW 12, 8 AP): Die Exkommunikation kann nicht durch eine Buße wieder aufgehoben werden (siehe
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;37.0;240;-1.0;Divinarium;800;Aventurisches Götterwirken
PDType1CFont YUYAGX+Litania-Regular;false;false;38.0;240;-1.0;Divinarium;900;Seite
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;39.0;240;-1.0;Divinarium;800;72
PDType1CFont YUYAGX+Litania-Regular;false;false;40.0;240;-1.0;Divinarium;900;bzw.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;41.0;240;-1.0;Divinarium;800;Kodex des Götterwirkens
PDType1CFont YUYAGX+Litania-Regular;false;false;42.0;240;-1.0;Divinarium;900;). Sie ist permanent und kostet den Geweihten zusätzlich 2 permanente KaP (also insgesamt 4 pKaP). Voraussetzung: Liturgieerweiterung Geweihten-Exkommunikation 1.
