FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont DMJEYN+Dominican;false;false;1.0;18;-1.0;Divinarium;1500;16
PDType1CFont YUYAGX+Litania-Regular;false;false;2.0;18;-1.0;Divinarium;900;Um Kämpfer zu unterstützen, kann ein Geweihter sie mit zusätzlicher Kraft und Angriffslust erfüllen.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;3.0;18;-1.0;Divinarium;800;Probe:
PDType1CFont YUYAGX+Litania-Regular;false;false;4.0;18;-1.0;Divinarium;900;MU/MU/IN
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;5.0;18;-1.0;Divinarium;800;Wirkung:
PDType1CFont YUYAGX+Litania-Regular;false;false;6.0;18;-1.0;Divinarium;900;Der Geweihte kann bis zu QS Ziele vor dem Wirken der Liturgie auswählen (inklusive sich selbst), die bis zum Ende der Wirkungsdauer +2 AT und +1 TP erhalten. Kann er durch seine erzielten QS weniger Ziele als geplant von der Angriffslust profitieren lassen, wählt der Spieler des Geweihten aus, wer die Boni der Liturgie erhält.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;7.0;18;-1.0;Divinarium;800;Liturgiedauer:
PDType1CFont YUYAGX+Litania-Regular;false;false;8.0;18;-1.0;Divinarium;900;2 Aktionen
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;9.0;18;-1.0;Divinarium;800;KaP-Kosten:
PDType1CFont YUYAGX+Litania-Regular;false;false;10.0;18;-1.0;Divinarium;900;8 KaP (Kosten sind nicht modifizierbar)
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;11.0;18;-1.0;Divinarium;800;Reichweite:
PDType1CFont YUYAGX+Litania-Regular;false;false;12.0;18;-1.0;Divinarium;900;8 Schritt
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;13.0;18;-1.0;Divinarium;800;Wirkungsdauer:
PDType1CFont YUYAGX+Litania-Regular;false;false;14.0;18;-1.0;Divinarium;900;10 KR
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;15.0;18;-1.0;Divinarium;800;Zielkategorie:
