FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RZJKML+SolberaImitation-SC700;false;false;4.0;404;-1.0;Divinarium;9800;Z
PDTrueTypeFont OXVSWR+PrimitiveNew;false;false;5.0;404;-1.0;Divinarium;3200;wölfgöttergeweihte
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;6.0;404;-1.0;Divinarium;1400;d
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;7.0;404;-1.0;Divinarium;900;ie
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;8.0;404;-1.0;Divinarium;1400;t
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;9.0;404;-1.0;Divinarium;900;radition
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;10.0;404;-1.0;Divinarium;1400;(b
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;11.0;404;-1.0;Divinarium;900;oronkirche
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;12.0;404;-1.0;Divinarium;1400;)
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;13.0;404;-1.0;Divinarium;900;als
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;14.0;404;-1.0;Divinarium;1400;s
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;15.0;404;-1.0;Divinarium;900;onderfertigkeit
PDType1CFont VAIDQD+DSASymboleRegular;false;false;16.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;17.0;404;-1.0;Divinarium;900;Untotenschreck: Borongeweihte Waffen richten doppelten Schaden gegen Untote an. Die Trefferpunkte werden ausgewürfelt, dann verdoppelt, anschließend wird der Rüstungsschutz abgezogen.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;18.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;19.0;404;-1.0;Divinarium;900;Gewöhnt an die Dunkelheit: Sichtmodifikatoren, die durch Dunkelheit entstehen, haben eine um eine Stufe schwächere Auswirkung für den Geweihten (z. B. wird Stufe II wie Stufe I behandelt). Bei vollständiger Dunkelheit kann der Geweihte aber dennoch nichts sehen.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;20.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;21.0;404;-1.0;Divinarium;900;Ein Borongeweihter muss sich an den Moralkodex (Prinzipientreue) halten. Die Wahl des Nachteils ist Voraussetzung, wenn der Spieler einen Geweihten der Kirche spielen will.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;22.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;23.0;404;-1.0;Divinarium;900;Wohlgefällige Talente: Einschüchtern, Götter & Kulte, Heilkunde Gift, Heilkunde Krankheiten, Heilkunde Seele, Heilkunde Wunden, Menschenkenntnis, Selbstbeherrschung, Sphärenkunde, Sternkunde, Verbergen, Willenskraft, Zechen
PDType1CFont VAIDQD+DSASymboleRegular;false;false;24.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;25.0;404;-1.0;Divinarium;900;Leiteigenschaft der Tradition ist Mut.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;26.0;404;-1.0;Divinarium;800;Voraussetzungen:
PDType1CFont YUYAGX+Litania-Regular;false;false;27.0;404;-1.0;Divinarium;900;Vorteil Geweihter
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;28.0;404;-1.0;Divinarium;800;AP-Wert:
PDType1CFont YUYAGX+Litania-Regular;false;false;29.0;404;-1.0;Divinarium;900;130 Abenteuerpunkte
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;30.0;404;-1.0;Divinarium;1400;d
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;31.0;404;-1.0;Divinarium;900;ie
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;32.0;404;-1.0;Divinarium;1400;t
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;33.0;404;-1.0;Divinarium;900;radition
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;34.0;404;-1.0;Divinarium;1400;(e
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;35.0;404;-1.0;Divinarium;900;fferdkirche
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;36.0;404;-1.0;Divinarium;1400;)
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;37.0;404;-1.0;Divinarium;900;als
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;38.0;404;-1.0;Divinarium;1400;s
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;39.0;404;-1.0;Divinarium;900;onderfertigkeit
PDType1CFont VAIDQD+DSASymboleRegular;false;false;40.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;41.0;404;-1.0;Divinarium;900;Meister des Meeres: Bei gelungenen Proben auf Boote & Schiffe, Fischen & Angeln, Orientierung und Schwimmen erhält der Efferdgeweihte +1 FP.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;42.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;43.0;404;-1.0;Divinarium;900;Kraft der Leidenschaft: Unter dem Einfluss zur Liturgie und Zeremonie passender Gefühle kann die Efferdgeweihte eine Erleichterung von bis zu +2 für die Fertigkeitsprobe erhalten. Werden ihre Gefühle künstlich gedämpft, zum Beispiel durch Ilmenblatt, oder wirkt sie Liturgien entgegen ihrer Gefühle, erschwert dies die Proben um bis zu –2. Die Efferdgeweihte kann sich gezielt in ihre Emotionen hineinsteigern, sodass sie innerhalb von zwei Kampfrunden die Erleichterung um +1 erhöhen kann, bis zu dem angegebenen Maximum von 2. Dieser Vorgang erfordert Konzentration. Der Einsatz dieser Fähigkeit bedarf einer freien Aktion.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;44.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;45.0;404;-1.0;Divinarium;900;Eine Efferdgeweihte muss sich an den Moralkodex (Prinzipientreue) halten. Die Wahl des Nachteils ist Voraussetzung, wenn der Spieler eine Geweihte der Kirche spielen will.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;46.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;47.0;404;-1.0;Divinarium;900;Wohlgefällige Talente: Boote & Schiffe, Einschüchtern, Fischen & Angeln, Geographie, Götter & Kulte, Holzbearbeitung, Körperbeherrschung, Orientierung, Schwimmen
PDType1CFont VAIDQD+DSASymboleRegular;false;false;48.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;49.0;404;-1.0;Divinarium;900;Leiteigenschaft der Tradition ist Charisma.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;50.0;404;-1.0;Divinarium;800;Voraussetzungen:
PDType1CFont YUYAGX+Litania-Regular;false;false;51.0;404;-1.0;Divinarium;900;Vorteil Geweihter
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;52.0;404;-1.0;Divinarium;800;AP-Wert:
PDType1CFont YUYAGX+Litania-Regular;false;false;53.0;404;-1.0;Divinarium;900;130 Abenteuerpunkte
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;54.0;404;-1.0;Divinarium;1400;d
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;55.0;404;-1.0;Divinarium;900;ie
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;56.0;404;-1.0;Divinarium;1400;t
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;57.0;404;-1.0;Divinarium;900;radition
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;58.0;404;-1.0;Divinarium;1400;(f
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;59.0;404;-1.0;Divinarium;900;irunkirche
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;60.0;404;-1.0;Divinarium;1400;)
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;61.0;404;-1.0;Divinarium;900;als
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;62.0;404;-1.0;Divinarium;1400;s
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;63.0;404;-1.0;Divinarium;900;onderfertigkeit
PDType1CFont VAIDQD+DSASymboleRegular;false;false;64.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;65.0;404;-1.0;Divinarium;900;Unbeugsamkeit: Proben auf Selbstbeherrschung und Willenskraft sind um +1 erleichtert.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;66.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;67.0;404;-1.0;Divinarium;900;Wildniskunde: Hat der Firungeweihte die Sonderfertigkeit Geländekunde, so erhält er in der entsprechenden Umgebung für gelungene Proben auf Talente, die durch die SF unterstützt werden, +1 FP. Bei mehr als einer vorhandenen SF Geländekunde gilt der Vorteil für alle verfügbaren Geländetypen.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;68.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;69.0;404;-1.0;Divinarium;900;Ein Firungeweihter muss sich an den Moralkodex (Prinzipientreue) halten. Die Wahl des Nachteils ist Voraussetzung, wenn der Spieler einen Geweihten der Kirche spielen will.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;70.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;71.0;404;-1.0;Divinarium;900;Wohlgefällige Talente: Kampftechniken, die bei der Jagd eingesetzt werden, Einschüchtern, Fährtensuchen, Fischen & Angeln, Holzbearbeitung, Körperbeherrschung, Kraftakt, Lederbearbeitung, Orientierung, Pflanzenkunde, Selbstbeherrschung, Sinnesschärfe, Steinbearbeitung, Tierkunde, Verbergen, Wildnisleben, Willenskraft
PDType1CFont VAIDQD+DSASymboleRegular;false;false;72.0;404;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;73.0;404;-1.0;Divinarium;900;Leiteigenschaft der Tradition ist Mut.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;74.0;404;-1.0;Divinarium;800;Voraussetzungen:
PDType1CFont YUYAGX+Litania-Regular;false;false;75.0;404;-1.0;Divinarium;900;Vorteil Geweihter
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;76.0;404;-1.0;Divinarium;800;AP-Wert:
PDTrueTypeFont DMJEYN+Dominican;false;false;1.0;405;-1.0;Divinarium;1500;403
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;2.0;405;-1.0;Divinarium;1400;d
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;3.0;405;-1.0;Divinarium;900;ie
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;4.0;405;-1.0;Divinarium;1400;t
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;5.0;405;-1.0;Divinarium;900;radition
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;6.0;405;-1.0;Divinarium;1400;(h
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;7.0;405;-1.0;Divinarium;900;esindekirche
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;8.0;405;-1.0;Divinarium;1400;)
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;9.0;405;-1.0;Divinarium;900;als
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;10.0;405;-1.0;Divinarium;1400;s
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;11.0;405;-1.0;Divinarium;900;onderfertigkeit
PDType1CFont VAIDQD+DSASymboleRegular;false;false;12.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;13.0;405;-1.0;Divinarium;900;Scharfe Sinne: Gegen Illusionen erhält eine Hesindegeweihte eine Erleichterung von +1 bei Proben auf Sinnesschärfe.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;14.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;15.0;405;-1.0;Divinarium;900;Klarer Verstand: Dieser Vorteil sorgt dafür, dass die Geweihte die Auswirkungen der höchsten Stufe des Zustands Verwirrung ignorieren darf. Sie erleidet lediglich die Auswirkungen der nächstniedrigeren Stufe. Wenn eine Geweihte also beispielsweise drei Stufen Verwirrung erlitten hat, gelten für sie nur die Auswirkungen von Stufe II. Bei Verwirrung Stufe IV wird die Geweihte dennoch handlungsunfähig.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;16.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;17.0;405;-1.0;Divinarium;900;Eine Hesindegeweihte muss sich an den Moralkodex (Prinzipientreue) halten. Die Wahl des Nachteils ist Voraussetzung, wenn der Spieler eine Geweihte der Kirche spielen will.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;18.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;19.0;405;-1.0;Divinarium;900;Wohlgefällige Talente: Alchimie, Bekehren & Überzeugen, Geographie, Geschichtswissen, Götter & Kulte, Magiekunde, Mechanik, Pflanzenkunde, Rechnen, Rechtskunde, Sagen & Legenden, Sinnesschärfe, Sphärenkunde, Sternkunde, Tierkunde, Willenskraft
PDType1CFont VAIDQD+DSASymboleRegular;false;false;20.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;21.0;405;-1.0;Divinarium;900;Leiteigenschaft der Tradition ist Klugheit.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;22.0;405;-1.0;Divinarium;800;Voraussetzungen:
PDType1CFont YUYAGX+Litania-Regular;false;false;23.0;405;-1.0;Divinarium;900;Vorteil Geweihter
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;24.0;405;-1.0;Divinarium;800;AP-Wert:
PDType1CFont YUYAGX+Litania-Regular;false;false;25.0;405;-1.0;Divinarium;900;130 Abenteuerpunkte
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;26.0;405;-1.0;Divinarium;1400;d
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;27.0;405;-1.0;Divinarium;900;ie
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;28.0;405;-1.0;Divinarium;1400;t
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;29.0;405;-1.0;Divinarium;900;radition
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;30.0;405;-1.0;Divinarium;1400;(i
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;31.0;405;-1.0;Divinarium;900;ngerimmkirche
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;32.0;405;-1.0;Divinarium;1400;)
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;33.0;405;-1.0;Divinarium;900;als
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;34.0;405;-1.0;Divinarium;1400;s
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;35.0;405;-1.0;Divinarium;900;onderfertigkeit
PDType1CFont VAIDQD+DSASymboleRegular;false;false;36.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;37.0;405;-1.0;Divinarium;900;Meister des Handwerks: Bei gelungenen Proben auf Holzbearbeitung, Lebensmittelbearbeitung, Malen & Zeichnen, Metallbearbeitung, Steinbearbeitung und Stoffbearbeitung erhält der Ingerimmgeweihte +1 FP.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;38.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;39.0;405;-1.0;Divinarium;900;Feuerschutz: Der Status Brennend wirkt weniger stark gegen Ingerimmgeweihte. Sollte der ganze Körper in Flammen stehen, wirkt der Status nur so, als ob eine große Fläche betroffen ist. Bei einer großen Fläche gilt nur der Schaden einer kleinen Fläche. Bei einer kleinen Fläche verursacht Brennend bei dem Ingerimmgeweihten nur 1 SP pro KR.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;40.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;41.0;405;-1.0;Divinarium;900;Ein Ingerimmgeweihter muss sich an den Moralkodex (Prinzipientreue) halten. Die Wahl des Nachteils ist Voraussetzung, wenn der Spieler einen Geweihten der Kirche spielen will.
PDType1CFont VAIDQD+DSASymboleRegular;false;false;42.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;43.0;405;-1.0;Divinarium;900;Wohlgefällige Talente: Bekehren & Überzeugen, Einschüchtern, Holzbearbeitung, Kraftakt, Mechanik, Metallbearbeitung, Rechnen, Selbstbeherrschung, Steinbearbeitung
PDType1CFont VAIDQD+DSASymboleRegular;false;false;44.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;45.0;405;-1.0;Divinarium;900;Leiteigenschaft der Tradition ist Intuition.
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;46.0;405;-1.0;Divinarium;800;Voraussetzungen:
PDType1CFont YUYAGX+Litania-Regular;false;false;47.0;405;-1.0;Divinarium;900;Vorteil Geweihter
PDTrueTypeFont AFVHIT+DominicanSmallCaps;false;false;48.0;405;-1.0;Divinarium;800;AP-Wert:
PDType1CFont YUYAGX+Litania-Regular;false;false;49.0;405;-1.0;Divinarium;900;125 Abenteuerpunkte
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;50.0;405;-1.0;Divinarium;1400;d
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;51.0;405;-1.0;Divinarium;900;ie
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;52.0;405;-1.0;Divinarium;1400;t
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;53.0;405;-1.0;Divinarium;900;radition
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;54.0;405;-1.0;Divinarium;1400;(p
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;55.0;405;-1.0;Divinarium;900;erainekirche
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;56.0;405;-1.0;Divinarium;1400;)
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;57.0;405;-1.0;Divinarium;900;als
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;58.0;405;-1.0;Divinarium;1400;s
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;59.0;405;-1.0;Divinarium;900;onderfertigkeit
PDType1CFont VAIDQD+DSASymboleRegular;false;false;60.0;405;-1.0;Divinarium;900;#
PDType1CFont YUYAGX+Litania-Regular;false;false;61.0;405;-1.0;Divinarium;900;Machtvoller Kleiner Heilsegen: Die Segnung
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;62.0;405;-1.0;Divinarium;900;k
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;63.0;405;-1.0;Divinarium;600;lei
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;64.0;405;-1.0;Divinarium;900;-
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;65.0;405;-1.0;Divinarium;600;ner
PDType1CFont KMXUSZ+Litania-Regular-SC700;false;false;66.0;405;-1.0;Divinarium;900;h
