FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont CIOYQT+Andalus;false;false;6.0;106;-1.0;Eiserne_Flamme;1800;Neue Regeln
PDTrueTypeFont IZOIWH+GentiumBasic-Bold;true;false;7.0;106;-1.0;Eiserne_Flamme;1300;Edelsteinschleifen
PDTrueTypeFont TABWUL+GentiumBasic;false;false;8.0;106;-1.0;Eiserne_Flamme;1000;Edelsteine zu schleifen ist eine eigene Kunst, die sehr
PDType0Font/PDCIDFontType2, PostScript name: BQVSLM+GentiumBasic;false;false;9.0;106;-1.0;Eiserne_Flamme;1000;viel filigraner als die normale
PDTrueTypeFont NZXHOX+GentiumBasic-Italic;false;true;10.0;106;-1.0;Eiserne_Flamme;1000;Steinbearbeitung
PDTrueTypeFont TABWUL+GentiumBasic;false;false;11.0;106;-1.0;Eiserne_Flamme;1000;ist. Es gibt
PDType0Font/PDCIDFontType2, PostScript name: BQVSLM+GentiumBasic;false;false;12.0;106;-1.0;Eiserne_Flamme;1000;viele spezielle Schliffe für Edelsteine, die für Schmuck
PDTrueTypeFont TABWUL+GentiumBasic;false;false;13.0;106;-1.0;Eiserne_Flamme;1000;-
PDType0Font/PDCIDFontType2, PostScript name: BQVSLM+GentiumBasic;false;false;14.0;106;-1.0;Eiserne_Flamme;1000;stücke und magische Artefakte verwendet werden.
PDTrueTypeFont IZOIWH+GentiumBasic-Bold;true;false;15.0;106;-1.0;Eiserne_Flamme;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: BQVSLM+GentiumBasic;false;false;16.0;106;-1.0;Eiserne_Flamme;1000;Der Held ist in der Lage, (Halb-)Edelsteine zu schleifen. Mit dieser Sonderfertigkeit erwirbt der Held im Talent
PDTrueTypeFont NZXHOX+GentiumBasic-Italic;false;true;17.0;106;-1.0;Eiserne_Flamme;1000;Steinbearbeitung
PDType0Font/PDCIDFontType2, PostScript name: BQVSLM+GentiumBasic;false;false;18.0;106;-1.0;Eiserne_Flamme;1000;das neue Anwen
PDTrueTypeFont TABWUL+GentiumBasic;false;false;19.0;106;-1.0;Eiserne_Flamme;1000;-dungsgebiet
PDTrueTypeFont NZXHOX+GentiumBasic-Italic;false;true;20.0;106;-1.0;Eiserne_Flamme;1000;Edelsteinschleifen
PDTrueTypeFont TABWUL+GentiumBasic;false;false;21.0;106;-1.0;Eiserne_Flamme;1000;.
PDTrueTypeFont IZOIWH+GentiumBasic-Bold;true;false;22.0;106;-1.0;Eiserne_Flamme;1000;Voraussetzungen
PDType0Font/PDCIDFontType2, PostScript name: BQVSLM+GentiumBasic;false;false;23.0;106;-1.0;Eiserne_Flamme;1000;Steinbearbeitung 8
PDTrueTypeFont IZOIWH+GentiumBasic-Bold;true;false;24.0;106;-1.0;Eiserne_Flamme;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: BQVSLM+GentiumBasic;false;false;25.0;106;-1.0;Eiserne_Flamme;1000;2 Abenteuerpunkte
