FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont LNRVWC+GentiumBasic-Bold;true;false;1.0;116;-1.0;Flüstern_aus_dem_Abgrund;1300;Oyomyaa – Priesterin der Vier
PDTrueTypeFont JKSJUG+GentiumBasic;false;false;2.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;Adoru-Priesterinnen und -Priester verfügen über keine direkte weltliche Macht, aber sie sind Hüter des Gleichgewichts und Vermittler von Weisheit und Wissen. Das Vertrauen, das man ihnen schenkt, ist immens, denn sie gelten als Symbole der Götter. Die Adoru sind überzeugt, dass Glück und Schicksal einer Stadt untrennbar mit dem Wirken ihrer Priesterschaft verbunden sind.Dass sie keine Karmaenergie haben, tut da keinen Abbruch – die Götter wirken durch die Taten ihrer Auserwählten. Oft, aber nicht immer, sind die Priester auch Träger magischen Bluts.Diese Diener von Feuer, Erz, Hitze, Licht und Gemeinschaft tragen im Tempeldienst oft rituelle Masken, meist Darstellungen jener Gottheit, zu der sie die tiefste Verbindung spüren – auch wenn sie letztlich allen Vieren dienen. In jeder Stadt stehen vier Priester dem Tempel vor, jeder stellvertreten von einem der Götter – nur im Haupttempel sind es 16.Priester der Vier werden oft schon als Kinder erkannt, durch ihre Magie, Wissensdurst und frühe Weisheit. Die Ausbildung an der Gelehrtenschule in Azur-Kanti ist geprägt von disziplinierter Meditation, empathischer Schulung und – bei vielen – der Entfaltung magischer Fähigkeiten. Als geistige Stütze des Volkes wirken sie vermittelnd und ordnend: Die Menschen kommen zu ihnen, um Rat zu su-
PDType0Font/PDCIDFontType2, PostScript name: KOCPIE+GentiumBasic;false;false;3.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;chen, Trost zu finden, Tote dem Feuer der Lava zu überge
PDTrueTypeFont JKSJUG+GentiumBasic;false;false;4.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;-ben oder Streit zu schlichten. Mit Empathie und feinsinniger Wahrnehmung halten sie die Gemeinschaft zusammen.
PDTrueTypeFont LNRVWC+GentiumBasic-Bold;true;false;5.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;Ausrüstung und Tracht
PDTrueTypeFont JKSJUG+GentiumBasic;false;false;6.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;Ein Schwertmeister trägt unter seiner Rüstung ein Un-
PDType0Font/PDCIDFontType2, PostScript name: KOCPIE+GentiumBasic;false;false;7.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;tergewand aus geschichteten Stofflagen aus Tangge
PDTrueTypeFont JKSJUG+GentiumBasic;false;false;8.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;-webe oder Seide in Rot oder Orange mit grauschwarzen Borten (Feuer) oder Grauschwarz oder Bräunlich mit roten Borten (Erz). Die Hose besteht aus demselben Stoff und ist weit geschnitten oder aus Pilzleder, um Bewegungsfreiheit zu sichern – teilweise ist sie mit Metallschutzplatten ergänzt. Manchmal wird diese Kombination mit einer geklappten, robusten Unterjacke kombiniert, um ergänzend zu polstern. Ein breiter Stoffgürtel, sorgfältig gebunden, dient zum Festigen der Kleidungsstruktur und Verstauen von Habseligkeiten.Die Schuhe sind eng und aus Pilzleder, um die Ober-
PDType0Font/PDCIDFontType2, PostScript name: KOCPIE+GentiumBasic;false;false;9.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;flächenbeschaffenheit des Bodens genau zu spüren.
PDTrueTypeFont JKSJUG+GentiumBasic;false;false;10.0;116;-1.0;Flüstern_aus_dem_Abgrund;1000;Manchmal ist eine Zehe oder mehrere herausgearbeitet, um dem Fuß mehr Freiraum und Beweglichkeit zu gewähren.Die individuell geschmiedeten und verliehenen Waffen – meist eine
