FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont HIIWXK+Andalus;false;false;1.0;13;-1.0;GMuH_Dampfende_Dschungel;1800;Allgemeine Sonderfertigkeiten
PDTrueTypeFont HIIWXK+Andalus;false;false;2.0;13;-1.0;GMuH_Dampfende_Dschungel;3100;SONDERFERTIGKEITEN
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;3.0;13;-1.0;GMuH_Dampfende_Dschungel;1300;Drohgebärden
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;4.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Barbarinnen und andere Kämpfer können durch wilde Schreie oder einschüchterndes Auftreten ihre Gegner in Angst und Schrecken versetzen.
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;5.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Regel
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;6.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Durch die Sonderfertigkeit erwirbt die Heldin eine Einsatzmöglichkeit für das Talent
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;7.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Einschüchtern
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;8.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;. Die Abenteurerin kann mittels
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;9.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Einschüchtern (Drohung)
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;10.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;ihre Gegner während eines Kampfes in Angst versetzen. Die Heldin muss 1 Aktion aufwenden. Danach legt ihre Spielerin eine Probe auf
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;11.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Einschüchtern (Drohung)
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;12.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;ab. Bis zu QS+1 andere Personen ihrer Wahl in ihrer Sicht- und Hörreichweite bekommen in der nächsten Kampfrunde einen Malus von –1 auf AT, VW und FK (der Malus ist nicht kumulativ mit weiteren Anwendungen der Sonderfertigkeit).
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;13.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Voraussetzungen
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;14.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Einschüchtern 4
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;15.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;AP-Wert
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;16.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;10 Abenteuerpunkte
PDTrueTypeFont HIIWXK+Andalus;false;false;17.0;13;-1.0;GMuH_Dampfende_Dschungel;1800;Talentstilsonderfertigkeiten
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;18.0;13;-1.0;GMuH_Dampfende_Dschungel;1300;Weg des Adligen
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;19.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Wer sich seiner adligen Privilegien bewusst ist, versteht
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;20.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;es häufig, sie zu seinen Gunsten einzusetzen. Ein Adli
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;21.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;-ger kann Personen niederen Standes deutlich leichter beeindrucken oder gar einschüchtern, wenn es darauf
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;22.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;ankommt.
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;23.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;24.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Ein Held mit diesem Talentstil verdoppelt die Erleichterungen in
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;25.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Bekehren & Überzeugen
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;26.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;,
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;27.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Einschüchtern
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;28.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;,
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;29.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Etikette (Benehmen)
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;30.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;und
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;31.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Überreden (Schmeicheln)
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;32.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;33.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;gegenüber Personen mit niedrigeren Sozialen Stand
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;34.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;(siehe
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;35.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Regelwerk
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;36.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Seite
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;37.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;338
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;38.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;) von +1 auf +2.
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;39.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Erweiterte Talentsonderfertigkeiten
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;40.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;41.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Herrschaftsanspruch, Soziale Kompetenz,
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;42.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Vertrauenswürdig
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;43.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Voraussetzung
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;44.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Etikette 8
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;45.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;46.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;15 Abenteuerpunkte
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;47.0;13;-1.0;GMuH_Dampfende_Dschungel;1300;Weg des Fischers
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;48.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Ob beim Hochseefischen, beim Forel
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;49.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;-lenangeln, beim Sammeln von Seeigeln
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;50.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;oder beim Tauchen nach Muscheln, wer
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;51.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;seinen Lebensunterhalt in und um das
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;52.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;nasse Element bestreitet, kann sich darin bes
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;53.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;54.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;ser fortbewegen als so manch anderer.
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;55.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;56.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Ein Held mit dieser Sonderfertigkeit erhält
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;57.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;bei Proben auf
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;58.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Schwimmen
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;59.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;oder
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;60.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Fischen & Angeln
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;61.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;eine Erleichterung von +1.
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;62.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Erweiterte Talentsonderfertigkeiten
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;63.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Erfolg
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;64.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;65.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;reicher Fischer, , Kind der Natur, Körperliches Geschick
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;66.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Voraussetzung
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;67.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Schwimmen 6, Fischen & Angeln 6
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;68.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: FNJWVT+GentiumBasic;false;false;69.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;12 Abenteuerpunkte
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;70.0;13;-1.0;GMuH_Dampfende_Dschungel;1300;Weg der Schmiedin
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;71.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Metall ist ein nützliches Material, das sich in jede erdenkliche Form bringen lässt. Eine begabte Schmiedin weiß genau, welche Eigenschaften das Metall aufweisen muss, um seine ihm zugedachte Funktion bestmöglich auszuüben.
PDTrueTypeFont JMUZBL+GentiumBasic-Bold;true;false;72.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Regel
PDTrueTypeFont GFGHLR+GentiumBasic;false;false;73.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Bei einer gelungenen Probe
PDTrueTypeFont BULHRW+GentiumBasic-Italic;false;true;74.0;13;-1.0;GMuH_Dampfende_Dschungel;1000;Metallbearbeitung
