FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont SDSEYD+Andalus;false;false;1.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1200;Glaube, Macht & Heldenmut – Die Streitenden Königreiche
PDTrueTypeFont SDSEYD+Andalus;false;false;2.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1800;Allgemeine Sonderfertigkeiten
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;3.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1300;Waffenbau
PDTrueTypeFont MUQUSP+TimesNewRomanPSMT;false;false;4.0;16;-1.0;GMuH_Die_streitenden_Königreiche;800;
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;5.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Nicht jeder Schmied versteht sich darauf, Schwerter und andere Waffen herzustellen. Vor allem leichte und geschwungene Klingen sind schwierig zu schmieden und erfordern viel Geschick vom Schmied.
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;6.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Regel
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;7.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Nur Handwerker, die sich mit dem Herstellen von Waffen auseinandergesetzt haben, sind auch in der Lage, richtige Waffen anzufertigen. Durch diese Sonderfertigkeit erlangt der Held das neue Anwendungsgebiet
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;8.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Waffenherstellung
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;9.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;in den Talenten
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;10.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Holzbearbeitung
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;11.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;,
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;12.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Metallbearbeitung
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;13.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;und
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;14.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Steinbearbeitung
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;15.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;. Damit kann er einfache und komplexe Waffen herstellen. Für komplexe Waffen benötigt er zusätzlich ein entsprechendes Berufsgeheimnis.
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;16.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Voraussetzung
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;17.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;je nach verwendeten Waffenmaterial: Holzbearbeitung 8, Metallbearbeitung 8 oder Steinbearbeitung 8
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;18.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;AP-Wert
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;19.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;12 Abenteuerpunkte
PDTrueTypeFont SDSEYD+Andalus;false;false;20.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1800;Talentstilsonderfertigkeiten
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;21.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1300;Weg der Bognerin
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;22.0;16;-1.0;GMuH_Die_streitenden_Königreiche;1000;Der Bau eines echten nostrianischen Langbogens erfordert ausgezeichnete Materialien, viel Geduld und eine sorgfältige Ausbildung.
