FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont SDSEYD+Andalus;false;false;1.0;5;-1.0;GMuH_Die_streitenden_Königreiche;3100;PROFESSIONEN
PDTrueTypeFont SDSEYD+Andalus;false;false;2.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1800;Weltliche Professionen
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;3.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1300;Bognerin
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;4.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Professionspaket
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;5.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;AP-Wert
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;6.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;190 Abenteuerpunkte
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;7.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Voraussetzungen
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;8.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;keine
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;9.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Sonderfertigkeiten
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;10.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Sprachen und Schriften für insgesamt 4 Abenteuerpunkte, Fertigkeitsspezialisierung Holzbearbeitung, Weg der Bognerin
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;11.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Kampftechniken
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;12.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Bögen 12, Dolche 8, Raufen 8
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;13.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Talente
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;14.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Körper:
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;15.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Kraftakt 3, Sinnesschärfe 4
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;16.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Gesellschaft:
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;17.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Menschenkenntnis 2, Überreden 2, Willenskraft 2
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;18.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Natur:
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;19.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Fährtensuchen 4, Fesseln 3, Orientierung 3,
PDType0Font/PDCIDFontType2, PostScript name: FXEEFI+GentiumBasic;false;false;20.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Pflanzenkunde 5, Tierkunde 5, Wildnisleben 3
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;21.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Wissen:
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;22.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Götter & Kulte 2, Kriegskunst 4, Rechnen 2, Sagen & Legenden 2
PDTrueTypeFont GBOKTG+GentiumBasic-Italic;false;true;23.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Handwerk:
PDType0Font/PDCIDFontType2, PostScript name: FXEEFI+GentiumBasic;false;false;24.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Handel 5, Holzbearbeitung 8, Malen &
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;25.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Zeichnen 2
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;26.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Empfohlene Vorteile
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;27.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Entfernungssinn, Herausragender Sinn (Sicht)
PDTrueTypeFont REDYKF+GentiumBasic-Bold;true;false;28.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;Empfohlene Nachteile
PDTrueTypeFont OXPGUL+GentiumBasic;false;false;29.0;5;-1.0;GMuH_Die_streitenden_Königreiche;1000;keine
