FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KOWCZU+Andalus;false;false;1.0;18;-1.0;GMuH_Havena;1200;Glaube, Macht & Heldenmut - Havena
PDTrueTypeFont KOWCZU+Andalus;false;false;2.0;18;-1.0;GMuH_Havena;1800;Talentstilsonderfertigkeiten
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;3.0;18;-1.0;GMuH_Havena;1300;Weg der Schmugglerin
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;4.0;18;-1.0;GMuH_Havena;1000;Mit ein wenig Erfahrung ist es leicht, vorherzusehen, wo ein Büttel als erstes nach Schmugglergut suchen wird.
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;5.0;18;-1.0;GMuH_Havena;1000;Regel
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;6.0;18;-1.0;GMuH_Havena;1000;Die Heldin erhält bei Proben auf
PDTrueTypeFont LOPBTX+GentiumBasic-Italic;false;true;7.0;18;-1.0;GMuH_Havena;1000;Verbergen (Gegenstände verbergen)
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;8.0;18;-1.0;GMuH_Havena;1000;eine Erleichterung von +1.
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;9.0;18;-1.0;GMuH_Havena;1000;Erweiterte Talentsonderfertigkeiten
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;10.0;18;-1.0;GMuH_Havena;1000;Körperliches Geschick, Meisterin der Tarnung, Transporteur
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;11.0;18;-1.0;GMuH_Havena;1000;Voraussetzung
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;12.0;18;-1.0;GMuH_Havena;1000;Verbergen 8
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;13.0;18;-1.0;GMuH_Havena;1000;AP-Wert
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;14.0;18;-1.0;GMuH_Havena;1000;5 Abenteuerpunkte
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;15.0;18;-1.0;GMuH_Havena;1300;Weg der Seefahrerin
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;16.0;18;-1.0;GMuH_Havena;1000;Auf einem Schiff muss man in der Lage sein, sich gegen die Wellen und den schwankenden Untergrund zu behaupten. Eine Seefahrerin ist so daran gewöhnt, dass ihr eine unruhige See kaum Kopfzerbrechen bereitet und sie auch in sonstigen Situationen einen sicheren Stand aufweist.
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;17.0;18;-1.0;GMuH_Havena;1000;Regel
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;18.0;18;-1.0;GMuH_Havena;1000;Die Heldin erhält bei
PDTrueTypeFont LOPBTX+GentiumBasic-Italic;false;true;19.0;18;-1.0;GMuH_Havena;1000;Körperbeherrschung (Balance)
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;20.0;18;-1.0;GMuH_Havena;1000;eine Erleichterung von +1.
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;21.0;18;-1.0;GMuH_Havena;1000;Erweiterte Talentsonderfertigkeiten
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;22.0;18;-1.0;GMuH_Havena;1000;Kind der Natur, Meister der Orientierung, Seemannsgarn
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;23.0;18;-1.0;GMuH_Havena;1000;Voraussetzung
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;24.0;18;-1.0;GMuH_Havena;1000;Körperbeherrschung 8
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;25.0;18;-1.0;GMuH_Havena;1000;AP-Wert
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;26.0;18;-1.0;GMuH_Havena;1000;5 Abenteuerpunkte
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;27.0;18;-1.0;GMuH_Havena;1300;Weg des Schatzsuchers
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;28.0;18;-1.0;GMuH_Havena;1000;Der erfahrene Schatzsucher weiß: Echte Reichtümer, aber auch tödliche Fallen, enthüllen sich nur dem Blick der Aufmerksamen. Mit Phexens Hilfe werden sie ihm jedoch nicht entgehen können!
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;29.0;18;-1.0;GMuH_Havena;1000;Regel
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;30.0;18;-1.0;GMuH_Havena;1000;Proben auf
PDTrueTypeFont LOPBTX+GentiumBasic-Italic;false;true;31.0;18;-1.0;GMuH_Havena;1000;Sinnesschärfe
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;32.0;18;-1.0;GMuH_Havena;1000;, um versteckte Fallen, verborgene Durchgänge oder Geheimfächer aufzuspüren, sind für den Helden um +1 erleichtert.
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;33.0;18;-1.0;GMuH_Havena;1000;Erweiterte Talentsonderfertigkeiten
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;34.0;18;-1.0;GMuH_Havena;1000;Gerüchte aufschnappen, Körperliches Geschick, Seemannsgarn
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;35.0;18;-1.0;GMuH_Havena;1000;Voraussetzung
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;36.0;18;-1.0;GMuH_Havena;1000;Sagen & Legenden 4, Sinnesschärfe 4
PDTrueTypeFont ILXQXY+GentiumBasic-Bold;true;false;37.0;18;-1.0;GMuH_Havena;1000;AP-Wert
PDTrueTypeFont GIYEVC+GentiumBasic;false;false;38.0;18;-1.0;GMuH_Havena;1000;15 Abenteuerpunkte
