FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont ZSCKJZ+GentiumBasic-Bold;true;false;1.0;15;-1.0;GMuH_Sonnenküste;1300;Ermutigender Gesang
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;2.0;15;-1.0;GMuH_Sonnenküste;1000;Der Held kennt eine Reihe von Musikstücken, die seine Zuhörer ermutigen können. Wenn er singt, vertreibt er die Angst aus den Herzen seiner Gefährten.
PDTrueTypeFont ZSCKJZ+GentiumBasic-Bold;true;false;3.0;15;-1.0;GMuH_Sonnenküste;1000;Regel
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;4.0;15;-1.0;GMuH_Sonnenküste;1000;Ermutigender Gesang ist eine Einsatzmöglichkeit des Talents
PDTrueTypeFont IPVVAH+GentiumBasic-Italic;false;true;5.0;15;-1.0;GMuH_Sonnenküste;1000;Singen
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;6.0;15;-1.0;GMuH_Sonnenküste;1000;. Wenn der Abenteurer ein entsprechendes Lied oder ein Musikstück vorträgt, was mindestens 1 Minute in Anspruch nimmt, kann er seinen freiwilligen Zuhörern einmal innerhalb von 4 Stunden eine Stufe
PDTrueTypeFont IPVVAH+GentiumBasic-Italic;false;true;7.0;15;-1.0;GMuH_Sonnenküste;1000;Furcht
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;8.0;15;-1.0;GMuH_Sonnenküste;1000;nehmen. Der Spieler würfelt eine Probe auf
PDTrueTypeFont IPVVAH+GentiumBasic-Italic;false;true;9.0;15;-1.0;GMuH_Sonnenküste;1000;Singen (unterschiedliche Anwendungsgebiete)
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;10.0;15;-1.0;GMuH_Sonnenküste;1000;. Die Reichweite der Wirkung liegt bei QS x 3 Schritt, maximal kann er QS Personen seiner Wahl von der
PDType0Font/PDCIDFontType2, PostScript name: OIWCWL+GentiumBasic;false;false;11.0;15;-1.0;GMuH_Sonnenküste;1000;Wirkung profitieren lassen.
PDTrueTypeFont ZSCKJZ+GentiumBasic-Bold;true;false;12.0;15;-1.0;GMuH_Sonnenküste;1000;Voraussetzungen
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;13.0;15;-1.0;GMuH_Sonnenküste;1000;Singen 8
PDTrueTypeFont ZSCKJZ+GentiumBasic-Bold;true;false;14.0;15;-1.0;GMuH_Sonnenküste;1000;AP-Wert
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;15.0;15;-1.0;GMuH_Sonnenküste;1000;10 Abenteuerpunkte
PDTrueTypeFont ZSCKJZ+GentiumBasic-Bold;true;false;16.0;15;-1.0;GMuH_Sonnenküste;1300;Faszinierender Gesang
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;17.0;15;-1.0;GMuH_Sonnenküste;1000;Es gibt viele Möglichkeiten, Aufmerksamkeit auf sich zu lenken und dafür andere abzulenken. Durch Gesang kann eine Abenteurerin beispielsweise ihre Zuhörer einlullen.
PDTrueTypeFont ZSCKJZ+GentiumBasic-Bold;true;false;18.0;15;-1.0;GMuH_Sonnenküste;1000;Regel
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;19.0;15;-1.0;GMuH_Sonnenküste;1000;Faszinierender Gesang ist eine Einsatzmöglichkeit des Talents
PDTrueTypeFont IPVVAH+GentiumBasic-Italic;false;true;20.0;15;-1.0;GMuH_Sonnenküste;1000;Singen
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;21.0;15;-1.0;GMuH_Sonnenküste;1000;. Wenn die Heldin ein entsprechendes Lied vorträgt, das maximal 5 Minuten andauern darf, sind alle ihre Zuhörer in diesem Zeitraum so gebannt, dass sie als leicht abgelenkt gelten und sie z. B. bei Proben auf
PDTrueTypeFont IPVVAH+GentiumBasic-Italic;false;true;22.0;15;-1.0;GMuH_Sonnenküste;1000;Sinnesschärfe
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;23.0;15;-1.0;GMuH_Sonnenküste;1000;eine Erschwernis von –1 erhalten. Die Spielerin würfelt eine Probe auf
PDTrueTypeFont IPVVAH+GentiumBasic-Italic;false;true;24.0;15;-1.0;GMuH_Sonnenküste;1000;Singen (unterschiedliche Anwendungsgebiete)
PDTrueTypeFont YTNEVB+GentiumBasic;false;false;25.0;15;-1.0;GMuH_Sonnenküste;1000;. Die Reichweite der Wirkung liegt bei QS x 3 Schritt, maximal kann die Abenteurerin QS Personen ihrer Wahl durch
