FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont IVQNMN+GentiumBasic-Italic;false;true;6.0;153;-1.0;Geschuppte_Tyrannen;1000;Wahren Drachen
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;7.0;153;-1.0;Geschuppte_Tyrannen;1000;aus, zu denen der Mantra’ke ein Dienerverhältnis hat und der Held kann die entsprechenden Vorteile des Wahren Drachenmeisters wählen.Einige der Drachenblut-Vorteile bringen körperliche Eigenheiten mit sich, die an Drachen gemahnen – etwa eine schuppige Haut oder sogar Flügel. Solche Merkmale sind überall in Aventurien extrem auffällig und dürften vielerorts – etwa unter Zwergen oder Tulamiden – zu massiven Anfeindungen führen. Entscheidet als Gruppe, ob ihr mit solchen Vorurteilen spielen oder sie abmildern wollt.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;8.0;153;-1.0;Geschuppte_Tyrannen;1300;Drachenblut (Einhorndrache)
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;9.0;153;-1.0;Geschuppte_Tyrannen;1000;Von allen Drachen sind die Einhorndrachen jene, die
PDType0Font/PDCIDFontType2, PostScript name: UVTANP+GentiumBasic;false;false;10.0;153;-1.0;Geschuppte_Tyrannen;1000;den freundlichsten Umgang mit Menschen pflegen. Sie
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;11.0;153;-1.0;Geschuppte_Tyrannen;1000;fressen die Sterblichen nicht und greifen sie nur an, wenn sie selbst angegriffen werden. In einigen Märchen gibt es Hinweise auf eine Verbindung zwischen ihnen und den Menschen und noch heute gibt es Drachenblütige, die aus Einhorndrachen hervorgegangen sind.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;12.0;153;-1.0;Geschuppte_Tyrannen;1000;Regel
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;13.0;153;-1.0;Geschuppte_Tyrannen;1000;Der Held besitzt eine intuitive Form der Empathie und kann sein Gegenüber sehr gut einschätzen. Proben auf
PDTrueTypeFont IVQNMN+GentiumBasic-Italic;false;true;14.0;153;-1.0;Geschuppte_Tyrannen;1000;Menschenkenntnis
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;15.0;153;-1.0;Geschuppte_Tyrannen;1000;sind um +2 erleichtert. Als Zauberer spart er bei allen Zaubern mit dem Merkmal
PDTrueTypeFont IVQNMN+GentiumBasic-Italic;false;true;16.0;153;-1.0;Geschuppte_Tyrannen;1000;Hellsicht
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;17.0;153;-1.0;Geschuppte_Tyrannen;1000;1 AsP (minimale Kosten 1 AsP) und die Wirkung erhöht sich um 1 QS (bis zu einem Maximum von 6 QS). Schaden durch Feuer wird für den Helden um –2 TP gesenkt.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;18.0;153;-1.0;Geschuppte_Tyrannen;1000;Voraussetzungen
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;19.0;153;-1.0;Geschuppte_Tyrannen;1000;kein anderer Ahnenblut-Vorteil
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;20.0;153;-1.0;Geschuppte_Tyrannen;1000;AP-Wert
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;21.0;153;-1.0;Geschuppte_Tyrannen;1000;30 Abenteuerpunkte
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;22.0;153;-1.0;Geschuppte_Tyrannen;1300;Drachenblut (Gletscherwurm)
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;23.0;153;-1.0;Geschuppte_Tyrannen;1000;Gletscherwürmer stehen aufgrund ihrer Herkunft von der Schwarzelfe Pardona den Menschen fast immer feindlich gegenüber und betrachten sie als Leckerbissen, nicht als Partner für eine Nachkommenschaft. Dennoch gibt es auch unter ihnen einige Exemplare, die aus verschiedenen Gründen Nachkommen mit Menschen gezeugt haben.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;24.0;153;-1.0;Geschuppte_Tyrannen;1000;Regel
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;25.0;153;-1.0;Geschuppte_Tyrannen;1000;Im waffenlosen Kampf kann der Held seinem Gegner zusätzlichen Schaden zufügen, indem er ihn vereist. Dieser Schaden wird wie der Status
PDTrueTypeFont IVQNMN+GentiumBasic-Italic;false;true;26.0;153;-1.0;Geschuppte_Tyrannen;1000;Brennend
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;27.0;153;-1.0;Geschuppte_Tyrannen;1000;auf kleiner Fläche behandelt. Eine unverteidigte
PDTrueTypeFont IVQNMN+GentiumBasic-Italic;false;true;28.0;153;-1.0;Geschuppte_Tyrannen;1000;Raufen
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;29.0;153;-1.0;Geschuppte_Tyrannen;1000;-AT reicht dazu aus. Schaden durch Feuer und Eis wird für den Helden um –2 TP gesenkt.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;30.0;153;-1.0;Geschuppte_Tyrannen;1000;Voraussetzungen
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;31.0;153;-1.0;Geschuppte_Tyrannen;1000;kein anderer Ahnenblut-Vorteil
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;32.0;153;-1.0;Geschuppte_Tyrannen;1000;AP-Wert
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;33.0;153;-1.0;Geschuppte_Tyrannen;1000;15 Abenteuerpunkte
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;34.0;153;-1.0;Geschuppte_Tyrannen;1300;Drachenblut (Höhlendrache)
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;35.0;153;-1.0;Geschuppte_Tyrannen;1000;Man sagt den Höhlendrachen eine besondere Beziehung zu Jungfrauen nach. Tatsächlich dienen diese dem Drachen vor allem als eine Art Kraftspeicher, doch es sollen auch schon Drachlinge aus einer solchen Beziehung entsprungen sein.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;36.0;153;-1.0;Geschuppte_Tyrannen;1000;Regel
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;37.0;153;-1.0;Geschuppte_Tyrannen;1000;Der Held erhält den Vorteil Dunkelsicht II (und muss diesen nicht gegen die Grenze von 80 AP in Vorteilen bei der Heldenerschaffung rechnen). Schaden durch Feuer wird für den Helden um –2 TP gesenkt.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;38.0;153;-1.0;Geschuppte_Tyrannen;1000;Voraussetzungen
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;39.0;153;-1.0;Geschuppte_Tyrannen;1000;kein anderer Ahnenblut-Vorteil
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;40.0;153;-1.0;Geschuppte_Tyrannen;1000;AP-Wert
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;41.0;153;-1.0;Geschuppte_Tyrannen;1000;25 Abenteuerpunkte
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;42.0;153;-1.0;Geschuppte_Tyrannen;1300;Drachenblut (Kaiserdrache)
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;43.0;153;-1.0;Geschuppte_Tyrannen;1000;Kaiserdrachen gelten als die mächtigsten aller Drachen
PDType0Font/PDCIDFontType2, PostScript name: UVTANP+GentiumBasic;false;false;44.0;153;-1.0;Geschuppte_Tyrannen;1000;Aventuriens. Häufiger als alle anderen Arten sollen sie
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;45.0;153;-1.0;Geschuppte_Tyrannen;1000;mit Menschen Verbindungen eingehen.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;46.0;153;-1.0;Geschuppte_Tyrannen;1000;Regel
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;47.0;153;-1.0;Geschuppte_Tyrannen;1000;Ein Held mit Kaiserdrachenblut in sich lässt sich von nichts so leicht beeindrucken. Proben auf
PDTrueTypeFont IVQNMN+GentiumBasic-Italic;false;true;48.0;153;-1.0;Geschuppte_Tyrannen;1000;Willenskraft
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;49.0;153;-1.0;Geschuppte_Tyrannen;1000;sind um +2 erleichtert. Proben auf
PDTrueTypeFont IVQNMN+GentiumBasic-Italic;false;true;50.0;153;-1.0;Geschuppte_Tyrannen;1000;Einschüchtern
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;51.0;153;-1.0;Geschuppte_Tyrannen;1000;erhalten +1 QS (bis zu einem maximum von 6 QS). Schaden durch Feuer wird für den Helden um –2 TP gesenkt.
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;52.0;153;-1.0;Geschuppte_Tyrannen;1000;Voraussetzungen
PDTrueTypeFont LZOYRC+GentiumBasic;false;false;53.0;153;-1.0;Geschuppte_Tyrannen;1000;kein anderer Ahnenblut-Vorteil
PDTrueTypeFont NCNKTY+GentiumBasic-Bold;true;false;54.0;153;-1.0;Geschuppte_Tyrannen;1000;AP-Wert
