FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont ADSCZO+Andalus;false;false;1.0;157;-1.0;Geschöpfe_der_Anderswelt;1200;Anhang
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;2.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;Seite teleportiert. Nach QS Stunden wird es wieder an seinen Ursprungsort transportiert, selbst wenn es in der Zwischenzeit verstorben ist. Gleiches gilt für eventuell abgetrennte oder entnommene Körperteile. Sollten sich am Ende der Wirkungsdauer noch Reiter
PDType0Font/PDCIDFontType2, PostScript name: QKKSUI+GentiumBasic;false;false;3.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;oder Ausrüstung auf dem Pferd befinden, fallen diese
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;4.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;zu Boden. Der Elf ruft kein bestimmtes Pferd von den Inseln, sondern ein zufälliges.Das beschworene Pferd verfügt über die Werte eines War’rhian (siehe Seite
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;5.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;74
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;6.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;), jedoch mit einer um 10 Punkte niedrigeren IN und halbierten FW. Außerdem kann es für die Dauer seines Aufenthalts keine Zauber einsetzen, wenn es auf diese Weise in die 3. Sphäre gelangt ist.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;7.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;Zauberdauer
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;8.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;16 Aktionen
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;9.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;AsP-Kosten
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;10.0;157;-1.0;Geschöpfe_der_Anderswelt;1000;16 AsP
