FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont ADSCZO+Andalus;false;false;33.0;148;-1.0;Geschöpfe_der_Anderswelt;1800;Feenpakte
PDTrueTypeFont ADSCZO+Andalus;false;false;1.0;149;-1.0;Geschöpfe_der_Anderswelt;1200;Anhang
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;2.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;3.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Der Pakt mit niederen Feen
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;4.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Die niedere Fee steht dem Helden zur Seite steht, wenn sie es vermag. Sie setzt beispielsweise Zauber für ihn ein, kann ihm aber keine besonderen Fähigkeiten verleihen.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;5.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Der Pakt mit mittleren Feen
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;6.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Eine mittlere Fee kann einem Helden ebenfalls mit ihren Kräften oder Magie beistehen. Meist geht ein solcher Pakt aber über die Möglichkeiten einer niederen Fee hinaus, und die mittlere Fee kann dem Helden z. B. einen magischen Gegenstand schenken, den er nutzen kann.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;7.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Der Pakt mit hohen Feen
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;8.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Hohe Feen stellen einem Helden neben den bereits erwähnen Hilfen auch Paktgeschenke zur Verfügung. Ist ein Held einen Bund mit einer hohen Fee eingegangen, kann dessen Spieler zudem für AP Paktgeschenke kaufen. Pro Feenpaktstufe darf er ein Paktgeschenk erwerben. Der Held kann zusätzlich eine neue Schicksalspunkte-Sonderfertigkeit einsetzen, um sich von der Fee aus einer lebensbedrohlichen Situation erretten zu lassen. Die Sonderfertigkeit muss zuvor jedoch ebenfalls mittels AP aktiviert werden.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;9.0;149;-1.0;Geschöpfe_der_Anderswelt;1300;Nachteile eines Paktschlusses
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;10.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Anders als etwa bei einem Dämonenpakt, verpfändet ein Sterblicher, der einen Pakt mit einer Fee eingeht, nicht seine Seele. Gegenstand des Paktes ist es, sich gegenseitig beizustehen oder ein gemeinsames Ziel zu verfolgen. Dennoch hinterlässt die Übereinkunft gewisse Spuren auf der Seele des Paktierers, die je nach Art und Domäne des feeischen Paktpartners unterschiedlich ausfallen. Diese bringen meist keine regeltechnischen Nachteile mit sich, und die genaue Ausgestaltung ist Meisterentscheid. Pakte mit mächtigeren Feen sollten dabei stärkere Anzeichen bieten, selbst bei Pakten mit hohen Feen sind sie jedoch subtil und behindern die sozialen Interaktionen des Paktierers kaum. Nach-
PDType0Font/PDCIDFontType2, PostScript name: WGFRKW+GentiumBasic;false;false;11.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;folgend findest du einige Anregungen:
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;12.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Von dem Paktierer geht ein intensiver Geruch nach frischem Holz oder verrottendem Laub aus (Domäne:
PDTrueTypeFont PKDJBK+GentiumBasic-Italic;false;true;13.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Wald
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;14.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;). In direktem Sonnenlicht weist die Haut des Paktierers ein leichtes Glitzern oder Schimmern auf (Domäne:
PDTrueTypeFont PKDJBK+GentiumBasic-Italic;false;true;15.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Licht
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;16.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;). Die Haut des Feenpaktierers wirkt bei Berührung unerwartet kalt und ist stets sehr blass (Domäne:
PDTrueTypeFont PKDJBK+GentiumBasic-Italic;false;true;17.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Finsternis
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;18.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;). Die Augen des Paktierers sind stets wässrig, in trockenen oder warmen Umgebungen tränen sie leicht (Domäne:
PDTrueTypeFont PKDJBK+GentiumBasic-Italic;false;true;19.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Wasser
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;20.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;). Die Stimme des Paktierers ist rau und kratzig und sein Atem klingt wie das Scharren von Sandkörnern im Wind (Domäne:
PDTrueTypeFont PKDJBK+GentiumBasic-Italic;false;true;21.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Berg
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;22.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;).
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;23.0;149;-1.0;Geschöpfe_der_Anderswelt;1300;Feenrettung I-III
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;24.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Hohe Feen können ihren verbündeten Sterblichen beistehen, sollte ein Schützling dem sicheren Tod ins Auge sehen.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;25.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Regel
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;26.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Die Fee rettet den Helden aus einer lebensgefährlichen Situation. Bei einem Feenpakt der Stufe I kostet dies 3 Schips, bei Stufe II 2 Schips, und bei Stufe III 1 Schip.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;27.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Voraussetzungen
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;28.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Feenpakt der entsprechenden Stufe
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;29.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;AP-Wert
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;30.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;3/6/9 Abenteuerpunkte
PDTrueTypeFont ADSCZO+Andalus;false;false;31.0;149;-1.0;Geschöpfe_der_Anderswelt;1800;Paktgeschenke
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;32.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Jede hohe Fee kann einem Sterblichen, mit dem sie einen Pakt eingegangen ist, Paktgeschenke anbieten, die regeltechnisch Sonderfertigkeiten sind. Ein Held muss die entsprechenden Voraussetzungen erfüllen und sein Spieler die AP aufwenden, um das Geschenk zu erhalten. Für jedes Paktgeschenk ist eine bestimmte Feenpaktstufe notwendig. Wenn nichts anderes angegeben ist, kostet der Einsatz eines Paktgeschenks den Helden 1 Aktion.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;33.0;149;-1.0;Geschöpfe_der_Anderswelt;1300;Auge der Fee
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;34.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Feen sind Meister der Illusionsmagie, aber sie können ihrem Bündnispartner auch die Macht verleihen, Trugbilder leichter zu durchschauen.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;35.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Regel
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;36.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Wenn der Held dieses Paktgeschenk aktiviert, sind Proben auf
PDTrueTypeFont PKDJBK+GentiumBasic-Italic;false;true;37.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Sinnesschärfe
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;38.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;, um Illusionen zu durchschauen, für ihn während der nächsten 10 Minuten um +2 erleichtert. Danach erleidet der Held 1 Stufe
PDTrueTypeFont PKDJBK+GentiumBasic-Italic;false;true;39.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Betäubung
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;40.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;41.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Voraussetzung
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;42.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Feenpakt Stufe I, Domäne beliebig
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;43.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;AP-Wert
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;44.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;8 Abenteuerpunkte
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;45.0;149;-1.0;Geschöpfe_der_Anderswelt;1300;Blut der Anderswelt
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;46.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Treue Untertanen belohnen einige feeische Paktherrn mit einem Tropfen ihres eigenen Blutes, das ungeahnte Fähigkeiten verleihen kann.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;47.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Regel
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;48.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Das Paktgeschenk simuliert die Wirkung eines zur Spezies seines Paktherrn passenden Feenblut-Vorteils (siehe Seite
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;49.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;144
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;50.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;), den er beim Erwerben des Paktgeschenks festlegen muss. Das Paktgeschenk kostet ebenso viele Abenteuerpunkte wie der Vorteil. Ein Ahnenblut-Vorteil kann auf diese Weise nicht simuliert werden. Auch kann kein Vorteil simuliert werden, über den der Held bereits verfügt.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;51.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Voraussetzung
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;52.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;Feenpakt Stufe III, Domäne beliebig
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;53.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;AP- Wert
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;54.0;149;-1.0;Geschöpfe_der_Anderswelt;1000;variabel
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;55.0;149;-1.0;Geschöpfe_der_Anderswelt;900;Mit diesem Paktgeschenk können also auch Nicht-Ahnenblütige oder Ahnenblütige einer anderen Art die Wirkung eines Feenblut-Vorteils erhalten, und Ahnenblütige mit dem passenden Feenblut können die Wirkung eines Vorteils erhalten, ohne dass er auf die Begrenzung von AP für Vorteile bei der Heldenerschaffung angerechnet wird.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;1.0;150;-1.0;Geschöpfe_der_Anderswelt;1300;Bund der Gefühle
