FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;2.0;144;-1.0;Geschöpfe_der_Anderswelt;1300;Feenblut (Dryade)
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;3.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;In der Ahnenreihe der Heldin befindet sich eine Dryade oder eine Vila. Das Aussehen gleicht meistens einem Menschen, aber das Haar wechselt während der Jahres
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;4.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;5.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;zeiten die Farbe. Die Heldin hat leicht spitze Ohren, und ein angenehmer Waldgeruch geht von ihr aus.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;6.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;7.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Die Heldin hat ein gutes Gespür für Bäume und wirkt auf alle humanoiden Spezies verführerisch. Sie erhält bei einer gelungenen Probe auf
PDType0Font/PDCIDFontType2, PostScript name: SRNOLE+GentiumBasic-Italic;false;true;8.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Pflanzenkunde
PDTrueTypeFont LQVAAM+GentiumBasic;false;false;9.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;10.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;+1 QS (bis zu einem Maximum von 6 QS), wenn es um Bäume geht, und bei Proben auf
PDType0Font/PDCIDFontType2, PostScript name: SRNOLE+GentiumBasic-Italic;false;true;11.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Betören
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;12.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;einen Bonus von +1 auf beide Teilproben von CH.Dafür erleidet sie eine Erschwernis von –1 bei Proben auf
PDType0Font/PDCIDFontType2, PostScript name: SRNOLE+GentiumBasic-Italic;false;true;13.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Willenskraft (Betören widerstehen)
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;14.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;15.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Voraussetzungen
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;16.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;kein anderer Ahnenblut-Vorteil
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;17.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;18.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;10 Abenteuerpunkte
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;19.0;144;-1.0;Geschöpfe_der_Anderswelt;1300;Feenblut (Großer Biestinger)
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;20.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;In der Ahnenreihe des Helden befindet sich ein Großer Biestinger, und auch Abkömmlinge von Levschije können über dieses Feenblut verfügen. Der Held verfügt über eine ausgeprägte Behaarung am Körper, die dem Fell eines Ebers oder einer Ziege gleicht.
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;21.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;22.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Der Held erhält bei einer gelungenen Probe auf
PDType0Font/PDCIDFontType2, PostScript name: SRNOLE+GentiumBasic-Italic;false;true;23.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Tierkunde
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;24.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;+1 FP (bis zu einem Maximum von 18 FP). Außerdem friert er kaum, da ihm selbst im Winter aufgrund eines dichten Fells am Körper warm ist. Bei der Bestimmung von Kälteschaden schützt der Vorteil wie dicke Wollsachen (Kältestufe –1, siehe
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;25.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Regelwerk
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;26.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Seite
PDTrueTypeFont PWTYEE+GentiumBasic-Bold;true;false;27.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;346
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;28.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;).Bei Proben auf
PDType0Font/PDCIDFontType2, PostScript name: SRNOLE+GentiumBasic-Italic;false;true;29.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Willenskraft
PDType0Font/PDCIDFontType2, PostScript name: UUMANA+GentiumBasic;false;false;30.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;, die zum Widerstehen von
PDType0Font/PDCIDFontType2, PostScript name: SRNOLE+GentiumBasic-Italic;false;true;31.0;144;-1.0;Geschöpfe_der_Anderswelt;1000;Einschüchtern (Provokation)
