FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;13.0;82;-1.0;Gestade_des_Gottwals;900;WerkzeugePreise
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;14.0;82;-1.0;Gestade_des_Gottwals;900;Olportmesser7 SilbertalerPeilscheibe10 SilbertalerSonnenstein12 SilbertalerThorwalscher Immanschläger10 Silbertaler
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;15.0;82;-1.0;Gestade_des_Gottwals;900;MusikinstrumentePreis
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;16.0;82;-1.0;Gestade_des_Gottwals;900;Flöte2 SilbertalerHandtrommel10 SilbertalerLaute150 SilbertalerLeier100 Silbertaler
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;17.0;82;-1.0;Gestade_des_Gottwals;900;KleidungPreis
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;18.0;82;-1.0;Gestade_des_Gottwals;900;Beinwickel2 SilbertalerEudach4 SilbertalerFellüberwurf8 SilbertalerGugel2 Silbertalerhalbhohe Stiefel12 SilbertalerHängerock 3,5 SilbertalerHose3 SilbertalerKlappenrock3 SilbertalerKleid6 SilbertalerRechteckmantel7 SilbertalerSchuhe5 SilbertalerStulpen4 SilbertalerTuch4 SilbertalerTunika1,5 SilbertalerWollmütze2 SilbertalerWollstrümpfe0,5 SilbertalerZipfelmütze1 Silbertaler
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;19.0;82;-1.0;Gestade_des_Gottwals;900;HacksilberPreis
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;20.0;82;-1.0;Gestade_des_Gottwals;900;Armreif (Silber)20 SilbertalerRing (Silber)5 Silbertaler
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;21.0;82;-1.0;Gestade_des_Gottwals;900;ProviantPreis
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;22.0;82;-1.0;Gestade_des_Gottwals;900;Proviantpaket0,5 Silbertaler
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;23.0;82;-1.0;Gestade_des_Gottwals;900;TätowierungPreis
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;24.0;82;-1.0;Gestade_des_Gottwals;900;Fingerkuppengroße Tätowierung, einfarbig
PDTrueTypeFont SWMCID+Vollkorn-Regular;false;false;25.0;82;-1.0;Gestade_des_Gottwals;900;1 S
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;26.0;82;-1.0;Gestade_des_Gottwals;900;Handflächengroße Tätowierung, einfarbig3 SGroßflächige Tätowierung, einfarbig
PDTrueTypeFont SWMCID+Vollkorn-Regular;false;false;27.0;82;-1.0;Gestade_des_Gottwals;900;8 S
