FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont IFGPYX+Vollkorn-Medium;false;false;1.0;18;-1.0;Gestade_des_Gottwals;900;17
PDType0Font/PDCIDFontType2, PostScript name: YNMMOR+JanaThorkPro;false;false;2.0;18;-1.0;Gestade_des_Gottwals;3400;Land & Leute
PDTrueTypeFont CEHASJ+MorrisJensonInitialen-Regular;false;false;3.0;18;-1.0;Gestade_des_Gottwals;4900;T
PDType0Font/PDCIDFontType2, PostScript name: OWGUEL+Vollkorn-Italic;false;true;4.0;18;-1.0;Gestade_des_Gottwals;900;horwal habe ich bereits gesehen. Das wohl, wie man dort sagt. Und damit meine ich, dass ich schon in der Stadt Thorwal war, aber auch in der gesamten Gegend. Ich begleitete einen Handelszug, der von Nostria aus über Land in die Stadt Thorwal zog. Bei den Göttern, so etwas wie Straßen haben die da nicht – der Weg über Kendrar bis Thorwal war eine grauenhafte Schotterpiste, die uns statt einer sorglosen Reise nur Reparaturen der Achsen einbrachte. Als wir endlich Thorwal erreichten, entschied mein Auftraggeber, dass wir auf einem Schiff weiterreisen würden – ganz so, wie es die Nordleute tun. Mir brachte das zwei freie Tage in der Stadt ein, und ich sage euch, die waren gar nicht schlecht. Die Thorwaler sind zwar laut und wild, sie wissen ordentlich zu trinken, doch wenn du ihr Vertrauen gewonnen hast, behandeln sie dich wie einen von ihnen. Am zweiten Abend war ich in einem Langhaus und wir zechten süßen Honig
PDTrueTypeFont INJKYX+Vollkorn-Italic;false;true;5.0;18;-1.0;Gestade_des_Gottwals;900;-
PDType0Font/PDCIDFontType2, PostScript name: OWGUEL+Vollkorn-Italic;false;true;6.0;18;-1.0;Gestade_des_Gottwals;900;wein, wobei ein Barde – Skalde nennen sie die – Geschichten von Heldentaten vortrug. Immer wieder fielen die Männer und Frauen grölend in seine Verse ein, dann gab es eine zünftige Keilerei, ehe sich alle wieder vertrugen und weiterzechten. Am nächsten Tag war ich ziemlich angeschla
PDTrueTypeFont INJKYX+Vollkorn-Italic;false;true;7.0;18;-1.0;Gestade_des_Gottwals;900;-
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;1.0;19;-1.0;Gestade_des_Gottwals;1000;Land & Leute
PDTrueTypeFont IFGPYX+Vollkorn-Medium;false;false;2.0;19;-1.0;Gestade_des_Gottwals;900;18
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;3.0;19;-1.0;Gestade_des_Gottwals;900;Die Gestade des Gottwals und das dazugehörige Binnenland sind eine raue Gegend, deren Bewohner sich den Kräften der Natur erwehren müssen. Die Winter sind lang, streng und schneereich. In den kurzen Sommern lässt sich mit der Landwirtschaft kaum genug Ertrag erwirtschaften.Die Bewohner dieses Landstriches gelten manchem Mittelreicher als Barbaren, unabhängig davon, ob sie aus Thorwal oder dem wilden Gjalskerland kommen. Tatsächlich sind beide Regionen und ihre Bewohner sehr unterschiedlich. Gibt es in Thorwal sogar mehrere große Städte und sieht man sich dort als ein Volk von Seefahrern, so findet man im Gjalskerland nur einzelne Siedlungen und die Gjalskerländer fürchten das Meer. Im Folgenden stellen wir die verschiedenen Landschaften der Gestade des Gottwals näher vor. Um dir die Orientierung zu erleichtern, verwenden wir unterschiedliche Symbole, um die Zugehörigkeit auf einen Blick zu verdeutlichen:
PDTrueTypeFont TORYWB+Andalus;false;false;4.0;19;-1.0;Gestade_des_Gottwals;1800;
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;5.0;19;-1.0;Gestade_des_Gottwals;900;für
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;6.0;19;-1.0;Gestade_des_Gottwals;900;
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;7.0;19;-1.0;Gestade_des_Gottwals;900;die Regionen Thorwals
PDTrueTypeFont QHIGGH+GentiumBasic-Bold;true;false;8.0;19;-1.0;Gestade_des_Gottwals;1300;
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;9.0;19;-1.0;Gestade_des_Gottwals;900;für
PDType0Font/PDCIDFontType2, PostScript name: RAAWUF+Vollkorn-Bold;true;false;10.0;19;-1.0;Gestade_des_Gottwals;900;
PDType0Font/PDCIDFontType2, PostScript name: YFOROR+Vollkorn-Regular;false;false;11.0;19;-1.0;Gestade_des_Gottwals;900;die Regionen des Gjalskerlands
PDTrueTypeFont FYXXID+TypeEmbellishmentsOne;false;false;12.0;19;-1.0;Gestade_des_Gottwals;2400;
PDTrueTypeFont FYXXID+TypeEmbellishmentsOne;false;false;13.0;19;-1.0;Gestade_des_Gottwals;2700;.
PDTrueTypeFont FYXXID+TypeEmbellishmentsOne;false;false;14.0;19;-1.0;Gestade_des_Gottwals;2400;
PDTrueTypeFont DVTLGH+MorrisBlackLetter;false;false;15.0;19;-1.0;Gestade_des_Gottwals;1800;Das Bodirtal & Südthorwal
PDTrueTypeFont TORYWB+Andalus;false;false;16.0;19;-1.0;Gestade_des_Gottwals;1800;
