FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;15.0;478;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;16.0;478;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;17.0;478;-1.0;Grimorium;1100;– e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;18.0;478;-1.0;Grimorium;700;is
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;19.0;478;-1.0;Grimorium;800;RitualSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;20.0;478;-1.0;Grimorium;800;Caldofrigo355Gletscherform377Hagelschlag und Sturmgebrüll378Klarheit des Eises389Lawinenfall und Trümmerfeld391
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;21.0;478;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;22.0;478;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;23.0;478;-1.0;Grimorium;1100;– e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;24.0;478;-1.0;Grimorium;700;rz
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;25.0;478;-1.0;Grimorium;800;RitualSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;26.0;478;-1.0;Grimorium;800;Adamantium341Erhabenheit des Marmors371Felsenform372
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;27.0;478;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;28.0;478;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;29.0;478;-1.0;Grimorium;1100;– f
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;30.0;478;-1.0;Grimorium;700;euer
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;31.0;478;-1.0;Grimorium;800;RitualSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;32.0;478;-1.0;Grimorium;800;Brandform353Caldofrigo355Reinheit der Lohe406
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;33.0;478;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;34.0;478;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;35.0;478;-1.0;Grimorium;1100;– h
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;36.0;478;-1.0;Grimorium;700;umus
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;37.0;478;-1.0;Grimorium;800;RitualSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;38.0;478;-1.0;Grimorium;800;Lawinenfall und Trümmerfeld391Pflanzenform404Weisheit der Bäume425
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;39.0;478;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;40.0;478;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;41.0;478;-1.0;Grimorium;1100;– l
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;42.0;478;-1.0;Grimorium;700;uft
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;43.0;478;-1.0;Grimorium;800;RitualSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;44.0;478;-1.0;Grimorium;800;Freiheit der Wolken373Hagelschlag und Sturmgebrüll378Wirbelform428
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;45.0;478;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;46.0;478;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;47.0;478;-1.0;Grimorium;1100;– w
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;48.0;478;-1.0;Grimorium;700;asser
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;49.0;478;-1.0;Grimorium;800;RitualSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;50.0;478;-1.0;Grimorium;800;Ergebenheit der Wogen369Hagelschlag und Sturmgebrüll378Wogenform429
