FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;3.0;474;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;4.0;474;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;5.0;474;-1.0;Grimorium;1100;– e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;6.0;474;-1.0;Grimorium;700;is
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;7.0;474;-1.0;Grimorium;800;ZauberspruchSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;8.0;474;-1.0;Grimorium;800;Corpofrigo95Eispfeil115Eiswand116Firnlauf133Frigifaxius142Frigisphaero143Frostleib146Warmes gefriere317Zorn der Elemente335
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;9.0;474;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;10.0;474;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;11.0;474;-1.0;Grimorium;1100;– e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;12.0;474;-1.0;Grimorium;700;rz
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;13.0;474;-1.0;Grimorium;800;ZauberspruchSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;14.0;474;-1.0;Grimorium;800;Archofaxius53Archosphaero54Basaltleib81Erzpfeil121Steinwand295Wüstenlauf331Zorn der Elemente335
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;15.0;474;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;16.0;474;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;17.0;474;-1.0;Grimorium;1100;– f
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;18.0;474;-1.0;Grimorium;700;euer
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;19.0;474;-1.0;Grimorium;800;ZauberspruchSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;20.0;474;-1.0;Grimorium;800;Drachenleib104Favilludo126Feuerpfeil132Flammenwand136Glutlauf153Ignifaxius186Ignisphaero187Incendio192Unentflammbarkeit309Zorn der Elemente335
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;1.0;475;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;2.0;475;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;3.0;475;-1.0;Grimorium;1100;– h
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;4.0;475;-1.0;Grimorium;700;umus
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;5.0;475;-1.0;Grimorium;800;ZauberspruchSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;6.0;475;-1.0;Grimorium;800;Dornenwand103Eichenleib109Haselbusch160Humofaxius181Humosphaero183Humuspfeil185Invinculo195Kraft des Humus204Sumpfstrudel299Wipfellauf327Zorn der Elemente335
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;7.0;475;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;8.0;475;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;9.0;475;-1.0;Grimorium;1100;– l
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;10.0;475;-1.0;Grimorium;700;uft
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;11.0;475;-1.0;Grimorium;800;ZauberspruchSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;12.0;475;-1.0;Grimorium;800;Aeolito38Aerofugo39Federleib127Himmelslauf177Luftpfeil214Nebelwand229Orcanofaxius241Orcanosphaero242Stillstand296Sturmwand298Windhose325Windstille326Zorn der Elemente335
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;13.0;475;-1.0;Grimorium;1100;e
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;14.0;475;-1.0;Grimorium;700;lementar
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;15.0;475;-1.0;Grimorium;1100;– w
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;16.0;475;-1.0;Grimorium;700;asser
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;17.0;475;-1.0;Grimorium;800;ZauberspruchSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;18.0;475;-1.0;Grimorium;800;Aquafaxius48Aquaqueris49Aquasphaero50Brandungsleib90Nebelwand229Sumpfstrudel299Wasserpfeil319
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;19.0;475;-1.0;Grimorium;800;ZauberspruchSeite
PDType1CFont TKFWVH+Litania-Regular;false;false;20.0;475;-1.0;Grimorium;800;Wellenlauf322Wellenwand324Zorn der Elemente335
