FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType1CFont TKFWVH+Litania-Regular;false;false;17.0;445;-1.0;Grimorium;800;AblativumAblativum Zauberwall – Schwächt Magie von überall!AbvenenumAbvenenum reine Speise – Gift und Galle weichen leise!AdleraugeAdlerauge Luchsenohr – Mein scharfer Sinn die Welt durchbohr!AdlerschwingeAdler, Fink und Vogelei – Tiergleich mein Erscheinen sei!AeolitoAeolito Windgebraus – Wehe Staub und Rauch hinaus!AerofugoAerofugo Vakuum – Luft verflücht’ge dich ringsum!AffenarmeAffenarme, flinke Hand – Geschickt hinauf an Fels und Wand!AffenrufAffenwesen groß und klein – Auf meinen Ruf hin stellt Euch ein!AlpgestaltAlpgestalt, Furchtgesichte – Mache Feindes Mut zunichte!AltisonusAltisonus Widerhall – Kräftig’ Stimme laut erschall!Analys ArkanstrukturAnalys Arkanstruktur – Entblöße die Magienatur!Angst auslösenHorribicaster Schreckenswort – Angst durchdringe diesen Ort!Ängste lindernCalmatio Paciferis – Weiche, Seelenfinsternis!AquafaxiusAquafaxius Wasserschwall – Meereszorn dem Feind zur Qual!AquaquerisAquaqueris Wasserfluch – Tiefe See dein Leichentuch!AquasphaeroAquasphaero Sturmesflut – Spül fort den Feind und all sein Gut!ArachneaArachnea Krabbeltier – Was kreucht und fleucht, kommt jetzt zu mir!ArchofaxiusArchofaxius ehern Speer – Durchschlage Panzerung und Wehr!ArchosphaeroArchosphaero Erzesfaust – Letztes, was du je erschaust!ArmatrutzArmatrutz – Schild und Schutz!
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;1.0;446;-1.0;Grimorium;800;ZauberspruchReimformel
PDType1CFont TKFWVH+Litania-Regular;false;false;2.0;446;-1.0;Grimorium;800;Aromatis IllusionisAromatis Illusionis – Dem Gaumen irriges Erlebnis!AtemnotDysnopatus Atemnot – Ohne Luft find dich der Tod!Attributo (Charisma)Charisma und Persönlichkeit – Hochgeachtet weit und breit!Attributo (Fingerfertigkeit)Fingerspiel und schnelle Hand – Größte Kunst im ganzen Land!Attributo (Gewandtheit)Gewandtheit und Geschicklichkeit – Anmut, Grazie, Sicherheit!Attributo (Intuition)Empathie und sechster Sinn – Ahnung schon von Anbeginn!Attributo (Klugheit)Klugheit, Wissen, Intellekt – Geist, Verstand, seid nun erweckt!Attributo (Konstitution)Belastbarkeit und Zähigkeit – Robust wie niemand, alle Zeit!Attributo (Körperkraft)Muskelstärke, Körperkraft – Mächt’ger Leib, der Neues schafft!Attributo (Mut)Wagemut, Entschlossenheit – Unerschüttert’ Tapferkeit!AufweckenAufgeweckt und frisch erwacht – Aus der Traum, vorbei die Nacht!Auge des LimbusAuge des Limbus, Mahlstrohm ins Nichts – Verschling jede Spur des Dämonengezüchts!Aura der ErschöpfungCephalgatum Gravium – Ein Feld der Schwäche um mich herum!AureolusAureolus Güldenglanz – Erstrahle golden, voll und ganz!Auris IllusionisAuris Illusionis – Den Ohren irriges Erlebnis!AvileaAvilea Zwitscherspiel – Fliegt alle her und flötet viel!AxxeleratusAxxeleratus blitzgeschwind – Flieg dahin wie Laub im Wind!Balsam SalabundeBalsam Salabunde – Heile, Wunde!Band und FesselBand und Fessel dich umringt – Und in meinen Bannkreis zwingt!BannbaladinBannbaladin – Dein Freund ich bin!
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;3.0;446;-1.0;Grimorium;800;ZauberspruchReimformel
PDType1CFont TKFWVH+Litania-Regular;false;false;4.0;446;-1.0;Grimorium;800;BasaltleibLeib aus Erz, Felsgestalt – Hart und ehern, fest und kalt!Blick aufs WesenEigenschaften seid gelesen – Enthülle mir dein inn’res Wesen!Blick in die GedankenIn dein Trachten, Fühlen, Denken – Will ich meine Sinne lenken!BlindheitBlinder Blick und trübe Sicht – Erloschen sei dein Augenlicht!Blitz dich findBlitz dich find – Werde blind!BlitzballGewitterkugel Himmelsglut – Knisternd brenn in deiner Wut!Böser BlickBöser Blick und schwarzer Spruch – Du tust mir nichts, nicht ein Versuch!BrandungsleibLeib aus Wasser, Strom und Meer – Feuersbrunst fürcht’ ich nicht mehr!Brennender HassBrennender Hass, lodere auf – Lass dem Wüten freien Lauf!ChamaelioniChamaelioni Mimikry – Feindes Auge sieht mich nie!ClaudibusClaudibus Clavistibor – Seid verschlossen, Tür und Tor!CorpofessoCorpofesso Gliederschmerz – Nadelstiche hinterwärts!CorpofrigoCorpofrigo Kälteschock – Starr und steif wie Stein und Stock!CryptographoCryptographo Zauberschrift – Weisheit denen, die’s betrifft!DämonenbannWider Dämon und Gezücht – Hier greift euer Zauber nicht!DämonenschildDefensius Dämonenwall – Gegen Niederhöllen all’!Dämonisches VergessenDementio mens corruptum – Dir fehlt das Wissen, du bist dumm!DebilitatioDebilitatio Schwächebund – Fremdem seien Grenzen kund!DesintegratusDesintegratus Pulverstaub – Lös dich auf wie welkes Laub!DisruptivoDisruptivo Netz und Knoten – Zauberkunst erschwert, verboten!DornenwandWand aus Humus, erhebe dich! – Vor Feind und Fährnis schütze mich!DrachenleibLeib aus Feuer, Aschehaut – Spürt keine Pein, wer dir vertraut!
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;1.0;447;-1.0;Grimorium;800;ZauberspruchReimformel
PDType1CFont TKFWVH+Litania-Regular;false;false;2.0;447;-1.0;Grimorium;800;DunkelheitDunkelheit und schwarze Nacht – Verschwunden allen Lichtes Macht!DuplicatusDuplicatus Doppelpein – Verflucht soll Feindes Auge sein!EcliptifactusEcliptifactus dunkle Macht – Kampfgefährte aus der Nacht!EichenleibLeib aus Humus, Holzgebilde – Sturm und Beben wüten milde!Eigene ÄngsteTimeatus Phobium – Was du fürchtest, treibt dich um!Eigene DummheitStultitia und Eselei – Verstand dir nun verwehret sei!EinflussbannWider Einfluss und Befehle – Feste Wand in Geist und Seele!EisenrostEisenrost und grüner Span – An Klingen nagt der Zeiten Zahn!Eiseskälte KämpferherzEiseskälte Kämpferherz – Fühle weder Angst noch Schmerz!EispfeilPfeil des Eises, winterkalt – Find in Feindes Flanke Halt!EiswandWand aus Eis, erhebe dich! – Vor Feind und Fährnis schütze mich!ElementarbannWider jedes Element – Alle sechs ineffizient!ElfenstimmeElfenstimme, Flötenton – Aus großer Weite hört man schon!Erinnerung verlasse dichErinnerung verlasse dich – Entfernt mit einem Messerstich!Erschöpfungen lindernWeiche, matte Müdigkeit – Süßer Unbekümmertheit!ErzpfeilPfeil des Erzes, bleiern schwer – Schwirrt vorbei an Feindes Wehr!EulenrufEulenfeder, schnell und leis’ – Eil herbei auf mein Geheiß!ExposamiExposami Creatur – Weise mir des Lebens Spur!FalkenaugeFalkenauge Meisterschuss – Triff mit Hast und ohn’ Verdruss!FavilludoFavilludo Lichtertanz – Erfüll die Luft mit buntem Glanz!FederleibLeib aus Luft, Windesspiel – Gebunden kaum, frei und agil!
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;3.0;447;-1.0;Grimorium;800;ZauberspruchReimformel
PDType1CFont TKFWVH+Litania-Regular;false;false;4.0;447;-1.0;Grimorium;800;FeenstaubNymphopulvis Feenstaub – Teichgesäusel, Sommerlaub!FesselfeldNach Eisen, Stahl, metall’nem Tand – Sumu greift mit starker Hand!FeuerpfeilPfeil des Feuers, fulminant – Stecke meinen Feind in Brand!FirnlaufÜber Eis und über Schnee – Ich wie über die Erde geh!FischflosseHering, Quall’ und Hammerhai – Tiergleich mein Erscheinen sei!FlammenwandWand aus Feuer, erhebe dich! – Vor Feind und Fährnis schütze mich!FledermausrufFlughund, Segler, Fledertier – Flattere schnell her zu mir!Flim FlamFlim Flam Funkel – Licht ins Dunkel!ForamenForamen Foraminor – Öffnet euch, Tür und Tor!FortifexFortifex Invisibil – Zauberkraft beschützt das Ziel!FrigifaxiusFrigifaxius kalter Stich – Mit der Lanze aus Eis töte ich dich!FrigisphaeroFrigisphaero Eiskristall – Scharfe Splitter überall!FrostleibLeib aus Eis, Gebein aus Reif – Brenne nicht und wird niemals steif!FulminictusFulminictus Donnerkeil – Triff und töte wie ein Pfeil!GardianumGardianum Paradei – Schütze mich vor Zauberei!GedankenbilderElfen, Freunde, hört den Ruf – Den ich stumm im Geist erschuf!GefundenVerliere keine Stunden – Was verschwunden, wird gefunden!GeisteressenzPhantasmatus Tenebra – Totenstimm’ und Geisterhaar!GifthautBerühre nicht die Krötenhaut – Vergiftet, wer sich dennoch traut!GlutlaufIn Glut und Lohe ohne Weg – Ich wie über die Erde geh!
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;1.0;448;-1.0;Grimorium;800;ZauberspruchReimformel
