FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont EYUKTL+SolberaImitation-SC700;false;false;1.0;341;-1.0;Grimorium;9800;A
PDTrueTypeFont CVVYRP+PrimitiveNew;false;false;2.0;341;-1.0;Grimorium;3200;ccuratum
PDType1CFont TKFWVH+Litania-Regular;false;false;3.0;341;-1.0;Grimorium;900;Dem Zauberer ist es mithilfe des Rituals möglich, seine Kleidung jedem Anlass entsprechend abzuwandeln.
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;4.0;341;-1.0;Grimorium;800;Probe:
PDType1CFont TKFWVH+Litania-Regular;false;false;5.0;341;-1.0;Grimorium;900;KL/CH/FF
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;6.0;341;-1.0;Grimorium;800;Wirkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;7.0;341;-1.0;Grimorium;900;Ein Satz Kleidung wird nach Wünschen des Zauberers abgeändert. Dies betrifft Schnitt und Farbe, nicht jedoch Menge und Art des Materials. Auf diesem Wege sind sowohl das simple Flicken zerrissener Hosen wie auch die Umwandlung eines Stoffballens oder einer schlichten Kutte in eine deutlich prächtigere Robe möglich. Die Kleidung kann nach Meisterentscheid Erschwernisse bei Gesellschaftstalenten ausgleichen, beispielsweise bei Etikette (Benehmen) oder Betören (Aufhübschen).
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;8.0;341;-1.0;Grimorium;800;Ritualdauer:
PDType1CFont TKFWVH+Litania-Regular;false;false;9.0;341;-1.0;Grimorium;900;5 Minuten
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;10.0;341;-1.0;Grimorium;800;AsP-Kosten:
PDType1CFont TKFWVH+Litania-Regular;false;false;11.0;341;-1.0;Grimorium;900;4 AsP
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;12.0;341;-1.0;Grimorium;800;Reichweite:
PDType1CFont TKFWVH+Litania-Regular;false;false;13.0;341;-1.0;Grimorium;900;Berührung
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;14.0;341;-1.0;Grimorium;800;Wirkungsdauer:
PDType1CFont TKFWVH+Litania-Regular;false;false;15.0;341;-1.0;Grimorium;900;QS x 3 Stunden
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;16.0;341;-1.0;Grimorium;800;Zielkategorie:
PDType1CFont TKFWVH+Litania-Regular;false;false;17.0;341;-1.0;Grimorium;900;Objekte
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;18.0;341;-1.0;Grimorium;800;Merkmal:
