FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont EYUKTL+SolberaImitation-SC700;false;false;1.0;34;-1.0;Grimorium;9800;A
PDTrueTypeFont CVVYRP+PrimitiveNew;false;false;2.0;34;-1.0;Grimorium;3200;blativum
PDType1CFont TKFWVH+Litania-Regular;false;false;3.0;34;-1.0;Grimorium;900;Der ABLATIVUM erschafft eine Barriere, die passierende Magie abschwächt oder sogar gänzlich neutralisiert.
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;4.0;34;-1.0;Grimorium;800;Probe:
PDType1CFont TKFWVH+Litania-Regular;false;false;5.0;34;-1.0;Grimorium;900;MU/KL/CH
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;6.0;34;-1.0;Grimorium;800;Wirkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;7.0;34;-1.0;Grimorium;900;Der Spruch erschafft eine unsichtbare Kuppel um den Magier herum, die sich mit ihm bewegt und darin Befindliches vor Zaubern schützt. Die Kuppel ist eigentlich eine Kugel, da jedoch der Magier meistens auf dem Boden steht, ist die Kugelform nur selten relevant. Die Kuppel verfügt über einen Radius von 3 Schritt und eine Schildstärke in Höhe von QS x 3. Wird ein freundlicher oder feindlicher Zauber gegen ein unter der Kuppel befindliches Ziel gerichtet, vermindert die Schildstärke dessen QS. Sinkt diese dadurch auf 0, tritt kein Effekt ein. Die Schildstärke wird jedoch im Rahmen dieses Prozesses verbraucht (–1 Schildstärke je aufgehaltener QS), und der ABLATIVUM endet vorzeitig, sobald seine QS unter 1 fällt.Sollte ein Flächenzauber, beispielsweise der IGNIS-PHAERO, teilweise den Schild des ABLATIVUM berühren, wirkt der Flächenzauber nur außerhalb der Kuppel mit unverminderter QS. Die Schildstärke wird um die QS/2 des Flächenzaubers vermindert. Wirkt ein Zauber über mehrere KR, so wird die Schildstärke jede KR um die QS vermindert.Sollte ein Zauber mehr QS aufweisen als der ABLA-TIVUM, dringt der Zauber mit den überzähligen QS durch den Schild. Die gesamten QS des Zaubers werden aber wie üblich von der Schildstärke abgezogen.
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;8.0;34;-1.0;Grimorium;800;Zauberdauer:
PDType1CFont TKFWVH+Litania-Regular;false;false;9.0;34;-1.0;Grimorium;900;1 Aktion
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;10.0;34;-1.0;Grimorium;800;AsP-Kosten:
PDType1CFont TKFWVH+Litania-Regular;false;false;11.0;34;-1.0;Grimorium;900;8 AsP (Kosten nicht modifizierbar)
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;12.0;34;-1.0;Grimorium;800;Reichweite:
PDType1CFont TKFWVH+Litania-Regular;false;false;13.0;34;-1.0;Grimorium;900;selbst
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;14.0;34;-1.0;Grimorium;800;Wirkungsdauer:
