FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;1.0;459;-1.0;Grimorium;1400;d
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;2.0;459;-1.0;Grimorium;900;ie
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;3.0;459;-1.0;Grimorium;1400;t
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;4.0;459;-1.0;Grimorium;900;radition
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;5.0;459;-1.0;Grimorium;1400;
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;6.0;459;-1.0;Grimorium;900;der
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;7.0;459;-1.0;Grimorium;1400;a
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;8.0;459;-1.0;Grimorium;900;nimisten
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;9.0;459;-1.0;Grimorium;1400;
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;10.0;459;-1.0;Grimorium;900;als
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;11.0;459;-1.0;Grimorium;1400;s
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;12.0;459;-1.0;Grimorium;900;onderfertigkeit
PDType1CFont GORWVH+DSASymboleRegular;false;false;13.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;14.0;459;-1.0;Grimorium;900;Ein Zauber der Tradition Animisten erfordert Sicht auf das Ziel, allerdings keine Geste oder Formel.
PDType1CFont GORWVH+DSASymboleRegular;false;false;15.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;16.0;459;-1.0;Grimorium;900;Animisten können maximal 3 Zaubersprüche erlernen (keine Rituale). Diese Zaubersprüche können aus jeder Tradition stammen oder allgemein sein, aber sie dürfen keinen Steigerungsfaktor von mehr als B aufweisen. Ein einziger Zauber darf der Kategorie C entstammen. Diese Zauber gelten für sie dann als Zaubersprüche ihrer eigenen Tradition. Die Meisterin hat das letzte Wort darüber, ob ein Animist einen bestimmten Spruch wählen darf. Zaubertricks sind von dieser Begrenzung nicht betroffen.
PDType1CFont GORWVH+DSASymboleRegular;false;false;17.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;18.0;459;-1.0;Grimorium;900;Animisten können keine Zaubermodifikationen durchführen.
PDType1CFont GORWVH+DSASymboleRegular;false;false;19.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;20.0;459;-1.0;Grimorium;900;Animismus existiert in verschiedenen Varianten, die abhängig von der gewählten Kultur des Helden sind. Jede dieser Stammestraditionen verfügt einen bestimmten Fundus an Animistenkräfte.
PDType1CFont GORWVH+DSASymboleRegular;false;false;21.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;22.0;459;-1.0;Grimorium;900;Animisten können keine weiteren magischen Traditionen erlernen und kein Held mit einer anderen Tradition kann sich die Tradition des Animisten aneignen.
PDType1CFont GORWVH+DSASymboleRegular;false;false;23.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;24.0;459;-1.0;Grimorium;900;Animisten können maximal 25 AP in magische Vorteile (neben dem Vorteil Zauberer) stecken und maximal 25 AP durch magische Nachteile gewinnen, statt der üblichen 50 AP (siehe
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;25.0;459;-1.0;Grimorium;800;Regelwerk
PDType1CFont TKFWVH+Litania-Regular;false;false;26.0;459;-1.0;Grimorium;900;Seite
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;27.0;459;-1.0;Grimorium;800;162
PDType1CFont TKFWVH+Litania-Regular;false;false;28.0;459;-1.0;Grimorium;900;). Sie dürfen keine Vor- und Nachteile wählen, die nur für Zaubersprüche und Rituale gelten, sondern nur jene, die auch ihre magischen Handlungen wie Animistenkräfte beeinflussen.
PDType1CFont GORWVH+DSASymboleRegular;false;false;29.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;30.0;459;-1.0;Grimorium;900;Animisten können spezielle animistische Traditionsartefakte ihrer Kultur herstellen und nutzen (z. B. die Animistenwaffe).
PDType1CFont GORWVH+DSASymboleRegular;false;false;31.0;459;-1.0;Grimorium;900;#
PDType1CFont TKFWVH+Litania-Regular;false;false;32.0;459;-1.0;Grimorium;900;Die Leiteigenschaft der Tradition ist Intuition, allerdings wird diese nur zur Hälfte (aufgerundet) in die Berechnung des AsP-Grundwerts und den Zukauf von AsP einbezogen.
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;33.0;459;-1.0;Grimorium;800;Voraussetzungen:
PDType1CFont TKFWVH+Litania-Regular;false;false;34.0;459;-1.0;Grimorium;900;Vorteil Zauberer, jeweilige Kultur der Stammestradition
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;35.0;459;-1.0;Grimorium;800;AP-Wert: 125 AP
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;36.0;459;-1.0;Grimorium;1400;d
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;37.0;459;-1.0;Grimorium;900;ie
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;38.0;459;-1.0;Grimorium;1400;t
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;39.0;459;-1.0;Grimorium;900;radition
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;40.0;459;-1.0;Grimorium;1400;
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;41.0;459;-1.0;Grimorium;900;der
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;42.0;459;-1.0;Grimorium;1400;b
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;43.0;459;-1.0;Grimorium;900;orbaradianer
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;44.0;459;-1.0;Grimorium;1400;
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;45.0;459;-1.0;Grimorium;900;als
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;46.0;459;-1.0;Grimorium;1400;s
PDType1CFont ASWMPT+Litania-Regular-SC700;false;false;47.0;459;-1.0;Grimorium;900;onderfertigkeit
PDType1CFont GORWVH+DSASymboleRegular;false;false;48.0;459;-1.0;Grimorium;900;#
