FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;5.0;15;-1.0;Grimorium;1000;Abkühlung
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;6.0;15;-1.0;Grimorium;800;Wirkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;7.0;15;-1.0;Grimorium;900;Der Zauberer senkt die Temperatur einer kleinen Menge Flüssigkeit (maximal ein Becher voll) um bis zu 10 Grad.
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;8.0;15;-1.0;Grimorium;800;Reichweite:
PDType1CFont TKFWVH+Litania-Regular;false;false;9.0;15;-1.0;Grimorium;900;Berührung
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;10.0;15;-1.0;Grimorium;800;Wirkungsdauer:
PDType1CFont TKFWVH+Litania-Regular;false;false;11.0;15;-1.0;Grimorium;900;sofort
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;12.0;15;-1.0;Grimorium;800;Zielkategorie:
PDType1CFont TKFWVH+Litania-Regular;false;false;13.0;15;-1.0;Grimorium;900;Objekte
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;14.0;15;-1.0;Grimorium;800;Merkmal:
PDType1CFont TKFWVH+Litania-Regular;false;false;15.0;15;-1.0;Grimorium;900;Elementar
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;16.0;15;-1.0;Grimorium;800;Anmerkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;17.0;15;-1.0;Grimorium;900;Zauberalchimisten
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;18.0;15;-1.0;Grimorium;1000;Aranische Rasur
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;19.0;15;-1.0;Grimorium;800;Wirkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;20.0;15;-1.0;Grimorium;900;Körperhaare werden durch diesen Zaubertrick entfernt. Der Zauberer kann festlegen, dass bestimmte Körperstellen nicht enthaart werden (beispielsweise, damit Augenbrauen oder ein Bart nicht entfernt werden).
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;21.0;15;-1.0;Grimorium;800;Reichweite:
PDType1CFont TKFWVH+Litania-Regular;false;false;22.0;15;-1.0;Grimorium;900;Berührung
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;23.0;15;-1.0;Grimorium;800;Wirkungsdauer:
PDType1CFont TKFWVH+Litania-Regular;false;false;24.0;15;-1.0;Grimorium;900;sofort
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;25.0;15;-1.0;Grimorium;800;Zielkategorie:
PDType1CFont TKFWVH+Litania-Regular;false;false;26.0;15;-1.0;Grimorium;900;Kulturschaffende
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;27.0;15;-1.0;Grimorium;800;Merkmal:
PDType1CFont TKFWVH+Litania-Regular;false;false;28.0;15;-1.0;Grimorium;900;Verwandlung
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;29.0;15;-1.0;Grimorium;800;Anmerkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;30.0;15;-1.0;Grimorium;900;Gildenmagier (Khelbara ay Baburia), Hexen, Scharlatane
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;31.0;15;-1.0;Grimorium;1000;Astrales Leuchten
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;32.0;15;-1.0;Grimorium;800;Wirkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;33.0;15;-1.0;Grimorium;900;Ein vom Zauberer durch eine Magische Analyse untersuchter magischer Gegenstand beginnt für alle Personen sichtbar rot zu schimmern.
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;34.0;15;-1.0;Grimorium;800;Reichweite:
PDType1CFont TKFWVH+Litania-Regular;false;false;35.0;15;-1.0;Grimorium;900;Berührung
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;36.0;15;-1.0;Grimorium;800;Wirkungsdauer:
PDType1CFont TKFWVH+Litania-Regular;false;false;37.0;15;-1.0;Grimorium;900;1 Minute
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;38.0;15;-1.0;Grimorium;800;Zielkategorie:
PDType1CFont TKFWVH+Litania-Regular;false;false;39.0;15;-1.0;Grimorium;900;Objekte (magische Objekte)
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;40.0;15;-1.0;Grimorium;800;Merkmal:
PDType1CFont TKFWVH+Litania-Regular;false;false;41.0;15;-1.0;Grimorium;900;Hellsicht
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;42.0;15;-1.0;Grimorium;800;Anmerkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;43.0;15;-1.0;Grimorium;900;Gildenmagier (Methumis), Kristallomanten, Zauberalchimisten
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;44.0;15;-1.0;Grimorium;1000;Astralmanifestation
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;45.0;15;-1.0;Grimorium;800;Wirkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;46.0;15;-1.0;Grimorium;900;Zwischen den Fingern einer oder beider Hände formen sich kleine Blitze, die den Anwender als Zauberer identifizieren.Die Meisterin kann festlegen, dass diese Machtdemonstration eine (Teil-)Erleichterung bei Proben auf Einschüchtern einbringt.
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;47.0;15;-1.0;Grimorium;800;Reichweite:
PDType1CFont TKFWVH+Litania-Regular;false;false;48.0;15;-1.0;Grimorium;900;selbst
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;49.0;15;-1.0;Grimorium;800;Wirkungsdauer:
PDType1CFont TKFWVH+Litania-Regular;false;false;50.0;15;-1.0;Grimorium;900;sofort
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;51.0;15;-1.0;Grimorium;800;Zielkategorie:
PDType1CFont TKFWVH+Litania-Regular;false;false;52.0;15;-1.0;Grimorium;900;Kulturschaffende
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;53.0;15;-1.0;Grimorium;800;Merkmal:
PDType1CFont TKFWVH+Litania-Regular;false;false;54.0;15;-1.0;Grimorium;900;Illusion
PDTrueTypeFont IRVIXD+DominicanSmallCaps;false;false;55.0;15;-1.0;Grimorium;800;Anmerkung:
PDType1CFont TKFWVH+Litania-Regular;false;false;56.0;15;-1.0;Grimorium;900;Gildenmagier, Scharlatane
