FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NYGQNX+Andalus;false;false;122.0;31;-1.0;Helden_der_Echsensümpfe;1800;Allgemeine Sonderfertigkeiten
PDTrueTypeFont JSDSJF+GentiumBasic-Bold;true;false;123.0;31;-1.0;Helden_der_Echsensümpfe;1300;Drohgebärden
PDType0Font/PDCIDFontType2, PostScript name: JMANUW+GentiumBasic;false;false;124.0;31;-1.0;Helden_der_Echsensümpfe;1000;Kämpfer können durch wilde Schreie oder einschüch
PDTrueTypeFont KRSYXD+GentiumBasic;false;false;125.0;31;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: JMANUW+GentiumBasic;false;false;126.0;31;-1.0;Helden_der_Echsensümpfe;1000;terndes Auftreten ihre Gegner in Angst und Schrecken versetzen.
PDTrueTypeFont JSDSJF+GentiumBasic-Bold;true;false;127.0;31;-1.0;Helden_der_Echsensümpfe;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: JMANUW+GentiumBasic;false;false;128.0;31;-1.0;Helden_der_Echsensümpfe;1000;Durch die Sonderfertigkeit erwirbt der Held eine Einsatzmöglichkeit für das Talent
PDTrueTypeFont YDRIUS+GentiumBasic-Italic;false;true;129.0;31;-1.0;Helden_der_Echsensümpfe;1000;Einschüchtern.
PDTrueTypeFont KRSYXD+GentiumBasic;false;false;130.0;31;-1.0;Helden_der_Echsensümpfe;1000;Der
PDType0Font/PDCIDFontType2, PostScript name: JMANUW+GentiumBasic;false;false;131.0;31;-1.0;Helden_der_Echsensümpfe;1000;Abenteurer kann mittels
PDTrueTypeFont YDRIUS+GentiumBasic-Italic;false;true;132.0;31;-1.0;Helden_der_Echsensümpfe;1000;Einschüchtern (Drohung)
PDTrueTypeFont KRSYXD+GentiumBasic;false;false;133.0;31;-1.0;Helden_der_Echsensümpfe;1000;sei-
PDType0Font/PDCIDFontType2, PostScript name: JMANUW+GentiumBasic;false;false;134.0;31;-1.0;Helden_der_Echsensümpfe;1000;ne Gegner während eines Kampfes in Angst versetzen.Der Held muss 1 Aktion aufwenden. Danach legt sein
PDTrueTypeFont JSDSJF+GentiumBasic-Bold;true;false;135.0;31;-1.0;Helden_der_Echsensümpfe;1000;Andere Achazstämme und Achaz-Rha-Städte
PDType0Font/PDCIDFontType2, PostScript name: MURKZZ+GentiumBasic;false;false;136.0;31;-1.0;Helden_der_Echsensümpfe;1000;Wenn du weitere, kleinere Achazstämme oder Be
