FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;62.0;81;-1.0;Helden_der_Echsensümpfe;1000;Flechtrüstung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;63.0;81;-1.0;Helden_der_Echsensümpfe;1000;
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;64.0;81;-1.0;Helden_der_Echsensümpfe;1000;Komplexität
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;65.0;81;-1.0;Helden_der_Echsensümpfe;1000;komp (2 AP)ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreis
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;66.0;81;-1.0;Helden_der_Echsensümpfe;1000;Flechtrüstung (Nry’drshk)
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;67.0;81;-1.0;Helden_der_Echsensümpfe;1000;31–1 GS, –1 INI3 Stn200 S
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;68.0;81;-1.0;Helden_der_Echsensümpfe;1000;Anmerkung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;69.0;81;-1.0;Helden_der_Echsensümpfe;1000;Die Achazmattenrüstung ist eine Variante der Lederrüstung.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;70.0;81;-1.0;Helden_der_Echsensümpfe;1000;Rüstungsvorteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;71.0;81;-1.0;Helden_der_Echsensümpfe;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;72.0;81;-1.0;Helden_der_Echsensümpfe;1000;Hiebwaffen
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;73.0;81;-1.0;Helden_der_Echsensümpfe;1000;,
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;74.0;81;-1.0;Helden_der_Echsensümpfe;1000;Raufen
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;75.0;81;-1.0;Helden_der_Echsensümpfe;1000;und
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;76.0;81;-1.0;Helden_der_Echsensümpfe;1000;Zweihandhiebaffen
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;77.0;81;-1.0;Helden_der_Echsensümpfe;1000;weist die Rüstung einen Rüstungsschutz von 4 auf. Außerdem sind Teilproben auf GE bei
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;78.0;81;-1.0;Helden_der_Echsensümpfe;1000;Schwimmen
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;79.0;81;-1.0;Helden_der_Echsensümpfe;1000;um +1 erleichtert
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;80.0;81;-1.0;Helden_der_Echsensümpfe;1000;Rüstungsnachteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;81.0;81;-1.0;Helden_der_Echsensümpfe;1000;Gegen Feuerangriffe weist die Achazmattenrüstung nur einen RS von 0 auf und wenn der Held den Status
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;82.0;81;-1.0;Helden_der_Echsensümpfe;1000;Brennend
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;83.0;81;-1.0;Helden_der_Echsensümpfe;1000;erleidet, so gilt dieser automatisch für den ganzen Körper.
PDTrueTypeFont EGYCTK+Andalus;false;false;84.0;81;-1.0;Helden_der_Echsensümpfe;1200;Rüstkammer der Echsensümpfe
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;1.0;82;-1.0;Helden_der_Echsensümpfe;1000;kurze Stöcke zur Stabilisierung. Die ganze Kons
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;2.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;3.0;82;-1.0;Helden_der_Echsensümpfe;1000;truktion ist über
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;4.0;82;-1.0;Helden_der_Echsensümpfe;1000;-raschend leicht und
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;5.0;82;-1.0;Helden_der_Echsensümpfe;1000;so stabil wie ein Lederpanzer, zudem verleiht sie einem Schwimmer deutlichen Auf
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;6.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;7.0;82;-1.0;Helden_der_Echsensümpfe;1000;trieb. Viele Achaz verzieren diese Rüstungen je nach Bedarf mit grellen oder tarnenden Farben. Ihre beste Schutzwirkung entfaltet die Mattenrüstung gegen stumpfe Hiebwaffen. Durch die enganlie
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;8.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;9.0;82;-1.0;Helden_der_Echsensümpfe;1000;gende Form ermüdet man kaum darin, auch wenn man sie tagelang trägt. Manche Echsenforscher vermuten, dass die Rüstung von den bunten Holzharnischen der maraskanischen Buskur-Kämpfer inspiriert wurde.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;10.0;82;-1.0;Helden_der_Echsensümpfe;1300;Der Giftkammpanzer
PDTrueTypeFont ZWLYBU+GentiumBasic-BoldItalic;true;true;11.0;82;-1.0;Helden_der_Echsensümpfe;1300;Szint’ssitt
PDType0Font/PDCIDFontType2, PostScript name: YXWSNW+GentiumBasic-Italic;false;true;12.0;82;-1.0;Helden_der_Echsensümpfe;1000;»Der gemeine Echsenmensch – halb Tier, halb Kulturwesen –
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;13.0;82;-1.0;Helden_der_Echsensümpfe;1000;ist von gar abscheulicher Hässlichkeit. Er lässt sich vor dem
PDType0Font/PDCIDFontType2, PostScript name: YXWSNW+GentiumBasic-Italic;false;true;14.0;82;-1.0;Helden_der_Echsensümpfe;1000;Kampfe den Rückenkamm abhäuten und trägt so dann ein Venenum auf, so dass seine Rückensporen einer Fischgräte ähnlich hervorstehen und zur tödlichen Waffe werden.«
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;15.0;82;-1.0;Helden_der_Echsensümpfe;1000;—aus dem Bestiarium von Belhanka, Belhankaner Ausgabe von 1027 BF
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;16.0;82;-1.0;Helden_der_Echsensümpfe;1000;Der Giftkammpanzer, zu Rssahh
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;17.0;82;-1.0;Helden_der_Echsensümpfe;1000;Szint’ssitt
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;18.0;82;-1.0;Helden_der_Echsensümpfe;1000;– hier etwa „Schlangenrache“ – ist eine besondere Art des echsi
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;19.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;20.0;82;-1.0;Helden_der_Echsensümpfe;1000;schen Brustharnisches. Hierbei wird der Panzer einer Landschildkröte oder ein verziertes Metallschild mit Bändern aus Echsenleder vor die Brust gespannt, wäh
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;21.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;22.0;82;-1.0;Helden_der_Echsensümpfe;1000;rend dessen Haltebänder auf besonders elegante Weise mit dem Rückenkamm des Kriegers verschnürt werden. Träger des Giftzackenkammpanzers lassen ihren Kamm vor jedem Kampf abhäuten, so dass die nackten Stacheln von den Bändern aufgestellt werden. Der Name der Rüs
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;23.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;24.0;82;-1.0;Helden_der_Echsensümpfe;1000;tung stammt daher, dass die Krieger ihre Rückensporen zusätzlich mit Gift präparieren lassen, was eine besondere Be
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;25.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;26.0;82;-1.0;Helden_der_Echsensümpfe;1000;drohung für Angreifer dar
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;27.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;28.0;82;-1.0;Helden_der_Echsensümpfe;1000;stellt. Der robuste Panzer stellt eine bevorzugte Rüstung von Stammesachaz dar, die in
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;29.0;82;-1.0;Helden_der_Echsensümpfe;1000;anhaltende Zeiten des Kon-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;30.0;82;-1.0;Helden_der_Echsensümpfe;1000;flikts verwickelt sind.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;31.0;82;-1.0;Helden_der_Echsensümpfe;1300;Iryanrüstung
PDType0Font/PDCIDFontType2, PostScript name: YXWSNW+GentiumBasic-Italic;false;true;32.0;82;-1.0;Helden_der_Echsensümpfe;1000;»Von meiner Expedition in die Echsensümpfe
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;33.0;82;-1.0;Helden_der_Echsensümpfe;1000;habe ich wenig mitgebracht, außer Narben und düstere Erinnerungen. Aber für eine Sache hat es sich dennoch gelohnt. Was du hier siehst, ist eine echte Iryanrüstung, gefertigt nach alter Tradition und so unverwüstlich, dass selbst das Feuer eines Drachen sie nicht zu durchdringen vermag.«—Bericht der Schatzsucherin Sarmita Colanez, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;34.0;82;-1.0;Helden_der_Echsensümpfe;1000;Zu den gefragtesten Handelswaren der Echsensümpfe zählt die Iryanrüstung, ein aus der Haut von Alligatoren oder Sumpfechsen gefertigter Lederharnisch, bei dem Lederteile in überlappenden Schichten angebracht wer
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;35.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;36.0;82;-1.0;Helden_der_Echsensümpfe;1000;den. Der Herstellungsprozess, bei dem das Leder alchimistisch bearbeitet wird, ist aufwändig, aber dafür passt sich das tiefschwarze Leder geschmeidig
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;37.0;82;-1.0;Helden_der_Echsensümpfe;1000;dem Träger an und ist deutlich leichter als ein eiserner
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;38.0;82;-1.0;Helden_der_Echsensümpfe;1000;Harnisch. Als besonders vor
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;39.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;40.0;82;-1.0;Helden_der_Echsensümpfe;1000;teilhafte Eigenschaften der Iryanrüstung gelten die besondere Stabilität und ihre Feuerresistenz. Deshalb ist sie nicht nur unter Questadores und Drachenjägerinnen begehrt, sondern auch bei Seeoffi
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;41.0;82;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;42.0;82;-1.0;Helden_der_Echsensümpfe;1000;zierinnen und den Geschützmann
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;43.0;82;-1.0;Helden_der_Echsensümpfe;1000;-schaften von Kriegsschiffen, die
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;44.0;82;-1.0;Helden_der_Echsensümpfe;1000;Giftkammpanzer
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;45.0;82;-1.0;Helden_der_Echsensümpfe;1000;
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;46.0;82;-1.0;Helden_der_Echsensümpfe;1000;Komplexität
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;47.0;82;-1.0;Helden_der_Echsensümpfe;1000;prim
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;48.0;82;-1.0;Helden_der_Echsensümpfe;1000;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisGiftkammpanzer (Szint’ssitt)
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;49.0;82;-1.0;Helden_der_Echsensümpfe;1000;31–1 GS, –1 INI5,5 Stn220 S
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;50.0;82;-1.0;Helden_der_Echsensümpfe;1000;Anmerkung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;51.0;82;-1.0;Helden_der_Echsensümpfe;1000;Der Giftzackenkammpanzer ist eine Variante der Lederrüstung.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;52.0;82;-1.0;Helden_der_Echsensümpfe;1000;Rüstungsvorteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;53.0;82;-1.0;Helden_der_Echsensümpfe;1000;Träger dieser Rüstung richten bei Treffern in der Reichweite kurz wegen der Stacheln +1 TP an. Ebenso fügen die Stacheln Gegnern, die den Träger treffen, +1 TP zu.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;54.0;82;-1.0;Helden_der_Echsensümpfe;1000;Rüstungsnachteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;55.0;82;-1.0;Helden_der_Echsensümpfe;1000;Bei einer gewürfelten 20 bei AT erleidet der Held automatisch einen bestätigten Patzer.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;56.0;82;-1.0;Helden_der_Echsensümpfe;1000;Iryanrüstung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;57.0;82;-1.0;Helden_der_Echsensümpfe;1000;
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;58.0;82;-1.0;Helden_der_Echsensümpfe;1000;Komplexität
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;59.0;82;-1.0;Helden_der_Echsensümpfe;1000;komp (4 AP)
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;60.0;82;-1.0;Helden_der_Echsensümpfe;1000;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisIryanrüstung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;61.0;82;-1.0;Helden_der_Echsensümpfe;1000;31–1 GS, –1 INI5 Stn400 S
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;62.0;82;-1.0;Helden_der_Echsensümpfe;1000;Anmerkung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;63.0;82;-1.0;Helden_der_Echsensümpfe;1000;Die Iryanrüstung ist eine Variante der Lederrüstung.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;64.0;82;-1.0;Helden_der_Echsensümpfe;1000;Rüstungsvorteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;65.0;82;-1.0;Helden_der_Echsensümpfe;1000;Gegen Angriffe durch Feuer (z. B. einen IGNIFAXIUS oder den Flammenstrahl eines Drachen) zählt der RS dreifach.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;66.0;82;-1.0;Helden_der_Echsensümpfe;1000;Rüstungsnachteil
PDType0Font/PDCIDFontType2, PostScript name: OLWLMQ+GentiumBasic;false;false;67.0;82;-1.0;Helden_der_Echsensümpfe;1000;Die Iryanrüstung benötigt jede Woche mindestens 8 Stunden Pflege, sonst steigen die zusätz
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;68.0;82;-1.0;Helden_der_Echsensümpfe;1000;-lichen Abzüge auf –2 GS, –2 INI an.
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;1.0;83;-1.0;Helden_der_Echsensümpfe;1000;mit Hylailer Feuer hantieren. Trotz des verhältnismäßig hohen Preises hat sie so über die Grenzen Südaventuriens hinaus Verbreitung gefunden. Besonders prächtige Exem
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;2.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;3.0;83;-1.0;Helden_der_Echsensümpfe;1000;plare sind aufwändig gefärbt und verziert, um ihren Trä
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;4.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;5.0;83;-1.0;Helden_der_Echsensümpfe;1000;ger noch imposanter erscheinen zu lassen.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;6.0;83;-1.0;Helden_der_Echsensümpfe;1300;Selemer Spiegelpanzer
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;7.0;83;-1.0;Helden_der_Echsensümpfe;1000;»Opulent und kunstfertig, zugleich aber abstoßend und düster. Ich weiß wohl, das klingt widersprüchlich, doch anders kann ich es nicht beschreiben. Wie bei so vielem, was ich in Selem erblickt habe, mischten sich in dieser Rüstung so gegensätzliche Elemente, dass sie in mir ein, kaum in Worte zu fassendes, Ge-
PDType0Font/PDCIDFontType2, PostScript name: YXWSNW+GentiumBasic-Italic;false;true;8.0;83;-1.0;Helden_der_Echsensümpfe;1000;menge an Eindrücken auslösten und mich mit einem vagen Ge
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;9.0;83;-1.0;Helden_der_Echsensümpfe;1000;-fühl der Beunruhigung zurückließen.
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;10.0;83;-1.0;Helden_der_Echsensümpfe;1000;«
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;11.0;83;-1.0;Helden_der_Echsensümpfe;1000;—aus einem Brief der bornländischen Navigatorin Bredewja Firnske an ihre Schwester in Festum, 1042 BF
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;12.0;83;-1.0;Helden_der_Echsensümpfe;1000;Der Spiegelpanzer besteht aus einem knielangen Ket
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;13.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;14.0;83;-1.0;Helden_der_Echsensümpfe;1000;tenhemd, in das zusätzliche verzierte Scheiben und eckige Platten aus Metall eingearbei
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;15.0;83;-1.0;Helden_der_Echsensümpfe;1000;-tet wurden. Dies dient nicht al-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;16.0;83;-1.0;Helden_der_Echsensümpfe;1000;lein dem zusätzlichen Schutz,
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;17.0;83;-1.0;Helden_der_Echsensümpfe;1000;sondern vornehmlich auch
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;18.0;83;-1.0;Helden_der_Echsensümpfe;1000;dem Schmuck des Trägers. Diese Form der Rüstung ist in
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;19.0;83;-1.0;Helden_der_Echsensümpfe;1000;den gesamten Tulamidenlan-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;20.0;83;-1.0;Helden_der_Echsensümpfe;1000;den verbreitet. Der Selemer Spiegelpanzer ist jedoch, den Gepflogenheiten und dem Modegeschmack der Stadt folgend, besonders kunst
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;21.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;22.0;83;-1.0;Helden_der_Echsensümpfe;1000;voll geschmückt und mit opulen
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;23.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;24.0;83;-1.0;Helden_der_Echsensümpfe;1000;ten Verzierungen versehen, so
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;25.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;26.0;83;-1.0;Helden_der_Echsensümpfe;1000;dass die kostspielige Rüstung besonders prunkvoll wirkt. Auf
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;27.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;28.0;83;-1.0;Helden_der_Echsensümpfe;1000;fällig sind neben der schieren Pracht des Spiegelpanzers
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;29.0;83;-1.0;Helden_der_Echsensümpfe;1000;auch die gerne gewählten
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;30.0;83;-1.0;Helden_der_Echsensümpfe;1000;Muster und Bildmotive auf den Metallplatten. Denn was in Selem für schick gehalten wird, gilt anderswo je nach Auslegung wahlweise als obszön, geschmacklos oder gar götterlästerlich.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;31.0;83;-1.0;Helden_der_Echsensümpfe;1300;Tracht der Gesichtslosen
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;32.0;83;-1.0;Helden_der_Echsensümpfe;1000;»Wie es eurem Wunsch entsprach, habe ich einen Zwischenhalt in Selem eingelegt, um mir aus erster Hand einen Eindruck von
PDType0Font/PDCIDFontType2, PostScript name: YXWSNW+GentiumBasic-Italic;false;true;33.0;83;-1.0;Helden_der_Echsensümpfe;1000;der Kampfkraft der Streiter des Groß
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;34.0;83;-1.0;Helden_der_Echsensümpfe;1000;-
